year,cp,name,population
2019,22001, Abiego,248,
2019,22002, Abizanda,150,
2019,22003, Adahuesca,177,
2019,22004, Agüero,129,
2019,22006, Aisa,320,
2019,22007, Albalate de Cinca,1103,
2019,22008, Albalatillo,176,
2019,22009, Albelda,698,
2019,22011, Albero Alto,117,
2019,22012, Albero Bajo,135,
2019,22013, Alberuela de Tubo,301,
2019,22014, Alcalá de Gurrea,248,
2019,22015, Alcalá del Obispo,318,
2019,22016, Alcampell,631,
2019,22017, Alcolea de Cinca,1155,
2019,22018, Alcubierre,360,
2019,22019, Alerre,199,
2019,22020, Alfántega,130,
2019,22021, Almudévar,2379,
2019,22022, Almunia de San Juan,658,
2019,22023, Almuniente,460,
2019,22024, Alquézar,303,
2019,22025, Altorricón,1417,
2019,22027, Angüés,354,
2019,22028, Ansó,405,
2019,22029, Antillón,140,
2019,22032, Aragüés del Puerto,115,
2019,22035, Arén,313,
2019,22036, Argavieso,95,
2019,22037, Arguis,127,
2019,22039, Ayerbe,1009,
2019,22040, Azanuy-Alins,168,
2019,22041, Azara,171,
2019,22042, Azlor,143,
2019,22043, Baélls,104,
2019,22044, Bailo,267,
2019,22045, Baldellou,76,
2019,22046, Ballobar,812,
2019,22047, Banastás,295,
2019,22048, Barbastro,16979,
2019,22049, Barbués,78,
2019,22050, Barbuñales,96,
2019,22051, Bárcabo,103,
2019,22052, Belver de Cinca,1275,
2019,22053, Benabarre,1124,
2019,22054, Benasque,2155,
2019,22055, Berbegal,347,
2019,22057, Bielsa,457,
2019,22058, Bierge,239,
2019,22059, Biescas,1463,
2019,22060, Binaced,1575,
2019,22061, Binéfar,9561,
2019,22062, Bisaurri,167,
2019,22063, Biscarrués,182,
2019,22064, Blecua y Torres,182,
2019,22066, Boltaña,1016,
2019,22067, Bonansa,88,
2019,22068, Borau,74,
2019,22069, Broto,522,
2019,22072, Caldearenas,229,
2019,22074, Campo,278,
2019,22075, Camporrélls,134,
2019,22076, Canal de Berdún,314,
2019,22077, Candasnos,462,
