cp,city,age,year,total
50001,Abanto,19 años,2020,1
50001,Abanto,20 años,2020,1
50001,Abanto,21 años,2020,0.0
50001,Abanto,22 años,2020,0.0
50001,Abanto,23 años,2020,0.0
50001,Abanto,24 años,2020,0.0
50001,Abanto,25 años,2020,0.0
50001,Abanto,26 años,2020,0.0
50001,Abanto,27 años,2020,0.0
50001,Abanto,28 años,2020,1
50001,Abanto,29 años,2020,1
50001,Abanto,30 años,2020,2
50001,Abanto,31 años,2020,1
50001,Abanto,32 años,2020,0.0
50001,Abanto,33 años,2020,1
50001,Abanto,34 años,2020,1
50001,Abanto,35 años,2020,0.0
50001,Abanto,36 años,2020,0.0
50001,Abanto,37 años,2020,0.0
50001,Abanto,38 años,2020,1
50001,Abanto,39 años,2020,0.0
50001,Abanto,40 años,2020,3
50002,Acered,19 años,2020,2
50002,Acered,20 años,2020,2
50002,Acered,21 años,2020,0.0
50002,Acered,22 años,2020,1
50002,Acered,23 años,2020,1
50002,Acered,24 años,2020,1
50002,Acered,25 años,2020,0.0
50002,Acered,26 años,2020,2
50002,Acered,27 años,2020,1
50002,Acered,28 años,2020,4
50002,Acered,29 años,2020,0.0
50002,Acered,30 años,2020,0.0
50002,Acered,31 años,2020,2
50002,Acered,32 años,2020,2
50002,Acered,33 años,2020,2
50002,Acered,34 años,2020,0.0
50002,Acered,35 años,2020,1
50002,Acered,36 años,2020,3
50002,Acered,37 años,2020,1
50002,Acered,38 años,2020,1
50002,Acered,39 años,2020,1
50002,Acered,40 años,2020,1
50003,Agón,19 años,2020,3
50003,Agón,20 años,2020,2
50003,Agón,21 años,2020,1
50003,Agón,22 años,2020,1
50003,Agón,23 años,2020,0.0
50003,Agón,24 años,2020,1
50003,Agón,25 años,2020,1
50003,Agón,26 años,2020,0.0
50003,Agón,27 años,2020,0.0
50003,Agón,28 años,2020,1
50003,Agón,29 años,2020,0.0
50003,Agón,30 años,2020,0.0
50003,Agón,31 años,2020,2
50003,Agón,32 años,2020,2
50003,Agón,33 años,2020,4
50003,Agón,34 años,2020,0.0
50003,Agón,35 años,2020,1
50003,Agón,36 años,2020,1
50003,Agón,37 años,2020,1
50003,Agón,38 años,2020,1
50003,Agón,39 años,2020,1
50003,Agón,40 años,2020,1
50004,Aguarón,19 años,2020,3
50004,Aguarón,20 años,2020,2
50004,Aguarón,21 años,2020,3
50004,Aguarón,22 años,2020,5
50004,Aguarón,23 años,2020,5
50004,Aguarón,24 años,2020,3
50004,Aguarón,25 años,2020,6
50004,Aguarón,26 años,2020,7
50004,Aguarón,27 años,2020,6
50004,Aguarón,28 años,2020,6
50004,Aguarón,29 años,2020,5
50004,Aguarón,30 años,2020,8
50004,Aguarón,31 años,2020,6
50004,Aguarón,32 años,2020,7
50004,Aguarón,33 años,2020,8
50004,Aguarón,34 años,2020,5
50004,Aguarón,35 años,2020,7
50004,Aguarón,36 años,2020,7
50004,Aguarón,37 años,2020,3
50004,Aguarón,38 años,2020,5
50004,Aguarón,39 años,2020,6
50004,Aguarón,40 años,2020,8
50005,Aguilón,19 años,2020,1
50005,Aguilón,20 años,2020,0.0
50005,Aguilón,21 años,2020,1
50005,Aguilón,22 años,2020,3
50005,Aguilón,23 años,2020,1
50005,Aguilón,24 años,2020,2
50005,Aguilón,25 años,2020,3
50005,Aguilón,26 años,2020,0.0
50005,Aguilón,27 años,2020,2
50005,Aguilón,28 años,2020,3
50005,Aguilón,29 años,2020,2
50005,Aguilón,30 años,2020,2
50005,Aguilón,31 años,2020,0.0
50005,Aguilón,32 años,2020,4
50005,Aguilón,33 años,2020,0.0
50005,Aguilón,34 años,2020,2
50005,Aguilón,35 años,2020,0.0
50005,Aguilón,36 años,2020,1
50005,Aguilón,37 años,2020,0.0
50005,Aguilón,38 años,2020,3
50005,Aguilón,39 años,2020,1
50005,Aguilón,40 años,2020,4
50006,Ainzón,19 años,2020,16
50006,Ainzón,20 años,2020,17
50006,Ainzón,21 años,2020,15
50006,Ainzón,22 años,2020,18
50006,Ainzón,23 años,2020,9
50006,Ainzón,24 años,2020,10
50006,Ainzón,25 años,2020,11
50006,Ainzón,26 años,2020,10
50006,Ainzón,27 años,2020,7
50006,Ainzón,28 años,2020,6
50006,Ainzón,29 años,2020,10
50006,Ainzón,30 años,2020,10
50006,Ainzón,31 años,2020,10
50006,Ainzón,32 años,2020,12
50006,Ainzón,33 años,2020,15
50006,Ainzón,34 años,2020,13
50006,Ainzón,35 años,2020,15
50006,Ainzón,36 años,2020,14
50006,Ainzón,37 años,2020,10
50006,Ainzón,38 años,2020,8
50006,Ainzón,39 años,2020,11
50006,Ainzón,40 años,2020,11
50007,Aladrén,19 años,2020,0.0
50007,Aladrén,20 años,2020,0.0
50007,Aladrén,21 años,2020,0.0
50007,Aladrén,22 años,2020,2
50007,Aladrén,23 años,2020,0.0
50007,Aladrén,24 años,2020,0.0
50007,Aladrén,25 años,2020,1
50007,Aladrén,26 años,2020,0.0
50007,Aladrén,27 años,2020,1
50007,Aladrén,28 años,2020,0.0
50007,Aladrén,29 años,2020,3
50007,Aladrén,30 años,2020,0.0
50007,Aladrén,31 años,2020,1
50007,Aladrén,32 años,2020,0.0
50007,Aladrén,33 años,2020,0.0
50007,Aladrén,34 años,2020,0.0
50007,Aladrén,35 años,2020,0.0
50007,Aladrén,36 años,2020,0.0
50007,Aladrén,37 años,2020,0.0
50007,Aladrén,38 años,2020,0.0
50007,Aladrén,39 años,2020,1
50007,Aladrén,40 años,2020,0.0
50008,Alagón,19 años,2020,70
50008,Alagón,20 años,2020,55
50008,Alagón,21 años,2020,59
50008,Alagón,22 años,2020,57
50008,Alagón,23 años,2020,71
50008,Alagón,24 años,2020,65
50008,Alagón,25 años,2020,66
50008,Alagón,26 años,2020,78
50008,Alagón,27 años,2020,71
