cp,city,age,year,total
50010,Alberite de San Juan,3 años,2016,0.0
50010,Alberite de San Juan,4 años,2016,0.0
50010,Alberite de San Juan,5 años,2016,0.0
50010,Alberite de San Juan,6 años,2016,0.0
50010,Alberite de San Juan,7 años,2016,2
50010,Alberite de San Juan,8 años,2016,1
50010,Alberite de San Juan,9 años,2016,1
50010,Alberite de San Juan,10 años,2016,0.0
50010,Alberite de San Juan,11 años,2016,0.0
50010,Alberite de San Juan,12 años,2016,1
50010,Alberite de San Juan,13 años,2016,0.0
50010,Alberite de San Juan,14 años,2016,2
50010,Alberite de San Juan,15 años,2016,0.0
50010,Alberite de San Juan,16 años,2016,0.0
50010,Alberite de San Juan,17 años,2016,1
50010,Alberite de San Juan,18 años,2016,0.0
50011,Albeta,0 años,2016,0.0
50011,Albeta,1 año,2016,1
50011,Albeta,2 años,2016,0.0
50011,Albeta,3 años,2016,1
50011,Albeta,4 años,2016,1
50011,Albeta,5 años,2016,1
50011,Albeta,6 años,2016,1
50011,Albeta,7 años,2016,1
50011,Albeta,8 años,2016,0.0
50011,Albeta,9 años,2016,0.0
50011,Albeta,10 años,2016,0.0
50011,Albeta,11 años,2016,1
50011,Albeta,12 años,2016,1
50011,Albeta,13 años,2016,1
50011,Albeta,14 años,2016,2
50011,Albeta,15 años,2016,2
50011,Albeta,16 años,2016,1
50011,Albeta,17 años,2016,2
50011,Albeta,18 años,2016,0.0
50012,Alborge,0 años,2016,0.0
50012,Alborge,1 año,2016,0.0
50012,Alborge,2 años,2016,0.0
50012,Alborge,3 años,2016,0.0
50012,Alborge,4 años,2016,0.0
50012,Alborge,5 años,2016,0.0
50012,Alborge,6 años,2016,1
50012,Alborge,7 años,2016,0.0
50012,Alborge,8 años,2016,2
50012,Alborge,9 años,2016,0.0
50012,Alborge,10 años,2016,0.0
50012,Alborge,11 años,2016,0.0
50012,Alborge,12 años,2016,2
50012,Alborge,13 años,2016,1
50012,Alborge,14 años,2016,0.0
50012,Alborge,15 años,2016,2
50012,Alborge,16 años,2016,0.0
50012,Alborge,17 años,2016,1
50012,Alborge,18 años,2016,2
50013,Alcalá de Ebro,0 años,2016,1
50013,Alcalá de Ebro,1 año,2016,2
