cp,city,age,year,total
50001,Abanto,41 años,2019,0.0
50001,Abanto,42 años,2019,0.0
50001,Abanto,43 años,2019,0.0
50001,Abanto,44 años,2019,3
50001,Abanto,45 años,2019,3
50001,Abanto,46 años,2019,1
50001,Abanto,47 años,2019,1
50001,Abanto,48 años,2019,1
50001,Abanto,49 años,2019,1
50001,Abanto,50 años,2019,3
50001,Abanto,51 años,2019,1
50001,Abanto,52 años,2019,0.0
50001,Abanto,53 años,2019,1
50001,Abanto,54 años,2019,2
50001,Abanto,55 años,2019,2
50001,Abanto,56 años,2019,3
50001,Abanto,57 años,2019,1
50001,Abanto,58 años,2019,2
50001,Abanto,59 años,2019,2
50001,Abanto,60 años,2019,4
50001,Abanto,61 años,2019,1
50001,Abanto,62 años,2019,0.0
50001,Abanto,63 años,2019,2
50001,Abanto,64 años,2019,3
50001,Abanto,65 años,2019,1
50002,Acered,41 años,2019,2
50002,Acered,42 años,2019,5
50002,Acered,43 años,2019,2
50002,Acered,44 años,2019,1
50002,Acered,45 años,2019,2
50002,Acered,46 años,2019,4
50002,Acered,47 años,2019,4
50002,Acered,48 años,2019,1
50002,Acered,49 años,2019,2
50002,Acered,50 años,2019,7
50002,Acered,51 años,2019,4
50002,Acered,52 años,2019,1
50002,Acered,53 años,2019,4
50002,Acered,54 años,2019,4
50002,Acered,55 años,2019,0.0
50002,Acered,56 años,2019,3
50002,Acered,57 años,2019,1
50002,Acered,58 años,2019,1
50002,Acered,59 años,2019,1
50002,Acered,60 años,2019,0.0
50002,Acered,61 años,2019,1
50002,Acered,62 años,2019,1
50002,Acered,63 años,2019,4
50002,Acered,64 años,2019,0.0
50002,Acered,65 años,2019,4
50003,Agón,41 años,2019,2
50003,Agón,42 años,2019,0.0
50003,Agón,43 años,2019,6
50003,Agón,44 años,2019,3
50003,Agón,45 años,2019,3
50003,Agón,46 años,2019,1
50003,Agón,47 años,2019,2
50003,Agón,48 años,2019,4
50003,Agón,49 años,2019,2
50003,Agón,50 años,2019,2
50003,Agón,51 años,2019,6
50003,Agón,52 años,2019,1
50003,Agón,53 años,2019,2
50003,Agón,54 años,2019,1
50003,Agón,55 años,2019,2
50003,Agón,56 años,2019,3
50003,Agón,57 años,2019,2
50003,Agón,58 años,2019,1
50003,Agón,59 años,2019,2
50003,Agón,60 años,2019,1
50003,Agón,61 años,2019,2
50003,Agón,62 años,2019,1
50003,Agón,63 años,2019,1
50003,Agón,64 años,2019,3
50003,Agón,65 años,2019,3
50004,Aguarón,41 años,2019,9
50004,Aguarón,42 años,2019,9
50004,Aguarón,43 años,2019,9
50004,Aguarón,44 años,2019,9
50004,Aguarón,45 años,2019,13
50004,Aguarón,46 años,2019,8
50004,Aguarón,47 años,2019,5
50004,Aguarón,48 años,2019,9
50004,Aguarón,49 años,2019,14
50004,Aguarón,50 años,2019,15
50004,Aguarón,51 años,2019,13
50004,Aguarón,52 años,2019,11
50004,Aguarón,53 años,2019,5
50004,Aguarón,54 años,2019,12
50004,Aguarón,55 años,2019,12
50004,Aguarón,56 años,2019,15
50004,Aguarón,57 años,2019,11
50004,Aguarón,58 años,2019,14
50004,Aguarón,59 años,2019,17
50004,Aguarón,60 años,2019,7
50004,Aguarón,61 años,2019,6
50004,Aguarón,62 años,2019,9
50004,Aguarón,63 años,2019,6
50004,Aguarón,64 años,2019,6
50004,Aguarón,65 años,2019,11
50005,Aguilón,41 años,2019,2
50005,Aguilón,42 años,2019,4
50005,Aguilón,43 años,2019,3
50005,Aguilón,44 años,2019,7
50005,Aguilón,45 años,2019,2
50005,Aguilón,46 años,2019,4
50005,Aguilón,47 años,2019,3
50005,Aguilón,48 años,2019,2
50005,Aguilón,49 años,2019,2
50005,Aguilón,50 años,2019,2
50005,Aguilón,51 años,2019,5
50005,Aguilón,52 años,2019,3
50005,Aguilón,53 años,2019,1
