cp,city,age,year,total
44009,Albarracín,5 años,2020,8
44009,Albarracín,6 años,2020,8
44009,Albarracín,7 años,2020,8
44009,Albarracín,8 años,2020,9
44009,Albarracín,9 años,2020,15
44009,Albarracín,10 años,2020,7
44009,Albarracín,11 años,2020,14
44009,Albarracín,12 años,2020,6
44009,Albarracín,13 años,2020,5
44009,Albarracín,14 años,2020,9
44009,Albarracín,15 años,2020,8
44009,Albarracín,16 años,2020,6
44009,Albarracín,17 años,2020,3
44009,Albarracín,18 años,2020,11
44010,Albentosa,0 años,2020,5
44010,Albentosa,1 año,2020,2
44010,Albentosa,2 años,2020,4
44010,Albentosa,3 años,2020,1
44010,Albentosa,4 años,2020,1
44010,Albentosa,5 años,2020,4
44010,Albentosa,6 años,2020,1
44010,Albentosa,7 años,2020,5
44010,Albentosa,8 años,2020,2
44010,Albentosa,9 años,2020,5
44010,Albentosa,10 años,2020,5
44010,Albentosa,11 años,2020,6
44010,Albentosa,12 años,2020,3
44010,Albentosa,13 años,2020,4
44010,Albentosa,14 años,2020,2
44010,Albentosa,15 años,2020,5
44010,Albentosa,16 años,2020,1
44010,Albentosa,17 años,2020,2
44010,Albentosa,18 años,2020,0.0
44011,Alcaine,0 años,2020,0.0
44011,Alcaine,1 año,2020,0.0
44011,Alcaine,2 años,2020,0.0
44011,Alcaine,3 años,2020,0.0
44011,Alcaine,4 años,2020,0.0
44011,Alcaine,5 años,2020,0.0
44011,Alcaine,6 años,2020,0.0
44011,Alcaine,7 años,2020,0.0
44011,Alcaine,8 años,2020,0.0
44011,Alcaine,9 años,2020,0.0
44011,Alcaine,10 años,2020,1
44011,Alcaine,11 años,2020,0.0
44011,Alcaine,12 años,2020,1
44011,Alcaine,13 años,2020,0.0
44011,Alcaine,14 años,2020,0.0
44011,Alcaine,15 años,2020,0.0
44011,Alcaine,16 años,2020,0.0
44011,Alcaine,17 años,2020,0.0
44011,Alcaine,18 años,2020,0.0
44012,Alcalá de la Selva,0 años,2020,1
44012,Alcalá de la Selva,1 año,2020,0.0
44012,Alcalá de la Selva,2 años,2020,0.0
44012,Alcalá de la Selva,3 años,2020,1
44012,Alcalá de la Selva,4 años,2020,0.0
44012,Alcalá de la Selva,5 años,2020,0.0
44012,Alcalá de la Selva,6 años,2020,2
44012,Alcalá de la Selva,7 años,2020,0.0
44012,Alcalá de la Selva,8 años,2020,1
44012,Alcalá de la Selva,9 años,2020,4
44012,Alcalá de la Selva,10 años,2020,1
44012,Alcalá de la Selva,11 años,2020,1
44012,Alcalá de la Selva,12 años,2020,0.0
44012,Alcalá de la Selva,13 años,2020,3
44012,Alcalá de la Selva,14 años,2020,4
44012,Alcalá de la Selva,15 años,2020,2
44012,Alcalá de la Selva,16 años,2020,5
44012,Alcalá de la Selva,17 años,2020,0.0
44012,Alcalá de la Selva,18 años,2020,2
44013,Alcañiz,0 años,2020,131
44013,Alcañiz,1 año,2020,150
44013,Alcañiz,2 años,2020,148
44013,Alcañiz,3 años,2020,156
44013,Alcañiz,4 años,2020,156
44013,Alcañiz,5 años,2020,185
44013,Alcañiz,6 años,2020,172
44013,Alcañiz,7 años,2020,197
44013,Alcañiz,8 años,2020,186
44013,Alcañiz,9 años,2020,211
44013,Alcañiz,10 años,2020,178
44013,Alcañiz,11 años,2020,190
44013,Alcañiz,12 años,2020,210
44013,Alcañiz,13 años,2020,212
44013,Alcañiz,14 años,2020,193
44013,Alcañiz,15 años,2020,167
44013,Alcañiz,16 años,2020,171
44013,Alcañiz,17 años,2020,174
44013,Alcañiz,18 años,2020,176
44014,Alcorisa,0 años,2020,30
44014,Alcorisa,1 año,2020,33
44014,Alcorisa,2 años,2020,30
44014,Alcorisa,3 años,2020,31
44014,Alcorisa,4 años,2020,37
44014,Alcorisa,5 años,2020,30
44014,Alcorisa,6 años,2020,28
