name,age,year,total
Ababuj,0-18,2015,7
Ababuj,18-40,2015,18
Ababuj,40-65,2015,22
Ababuj,65-100,2015,26
Ababuj,0-18,2016,7
Ababuj,18-40,2016,18
Ababuj,40-65,2016,24
Ababuj,65-100,2016,27
Ababuj,0-18,2017,6
Ababuj,18-40,2017,15
Ababuj,40-65,2017,27
Ababuj,65-100,2017,25
Ababuj,0-18,2018,7
Ababuj,18-40,2018,15
Ababuj,40-65,2018,27
Ababuj,65-100,2018,27
Ababuj,0-18,2019,8
Ababuj,18-40,2019,11
Ababuj,40-65,2019,28
Ababuj,65-100,2019,26
Ababuj,0-18,2020,9
Ababuj,18-40,2020,13
Ababuj,40-65,2020,31
Ababuj,65-100,2020,24
Abejuela,0-18,2015,1
Abejuela,18-40,2015,13
Abejuela,40-65,2015,22
Abejuela,65-100,2015,18
Abejuela,0-18,2016,3
Abejuela,18-40,2016,11
Abejuela,40-65,2016,23
Abejuela,65-100,2016,19
Abejuela,0-18,2017,2
Abejuela,18-40,2017,6
Abejuela,40-65,2017,23
Abejuela,65-100,2017,19
Abejuela,0-18,2018,2
Abejuela,18-40,2018,4
Abejuela,40-65,2018,26
Abejuela,65-100,2018,17
Abejuela,0-18,2019,2
Abejuela,18-40,2019,6
Abejuela,40-65,2019,23
Abejuela,65-100,2019,17
Abejuela,0-18,2020,2
Abejuela,18-40,2020,6
Abejuela,40-65,2020,25
Abejuela,65-100,2020,17
Aguatón,0-18,2015,0
Aguatón,18-40,2015,5
Aguatón,40-65,2015,6
Aguatón,65-100,2015,8
Aguatón,0-18,2016,0
Aguatón,18-40,2016,5
Aguatón,40-65,2016,6
Aguatón,65-100,2016,8
Aguatón,0-18,2017,0
Aguatón,18-40,2017,4
Aguatón,40-65,2017,7
Aguatón,65-100,2017,8
Aguatón,0-18,2018,0
Aguatón,18-40,2018,4
Aguatón,40-65,2018,6
Aguatón,65-100,2018,8
Aguatón,0-18,2019,1
Aguatón,18-40,2019,3
Aguatón,40-65,2019,7
Aguatón,65-100,2019,7
Aguatón,0-18,2020,1
Aguatón,18-40,2020,2
Aguatón,40-65,2020,9
Aguatón,65-100,2020,7
Aguaviva,0-18,2015,99
Aguaviva,18-40,2015,144
Aguaviva,40-65,2015,202
Aguaviva,65-100,2015,141
Aguaviva,0-18,2016,90
Aguaviva,18-40,2016,134
Aguaviva,40-65,2016,191
Aguaviva,65-100,2016,135
Aguaviva,0-18,2017,82
Aguaviva,18-40,2017,130
Aguaviva,40-65,2017,195
Aguaviva,65-100,2017,124
Aguaviva,0-18,2018,81
Aguaviva,18-40,2018,134
Aguaviva,40-65,2018,190
Aguaviva,65-100,2018,117
Aguaviva,0-18,2019,84
Aguaviva,18-40,2019,129
Aguaviva,40-65,2019,194
Aguaviva,65-100,2019,107
Aguaviva,0-18,2020,87
Aguaviva,18-40,2020,124
Aguaviva,40-65,2020,198
Aguaviva,65-100,2020,107
Aguilar del Alfambra,0-18,2015,4
Aguilar del Alfambra,18-40,2015,14
Aguilar del Alfambra,40-65,2015,19
Aguilar del Alfambra,65-100,2015,29
Aguilar del Alfambra,0-18,2016,6
Aguilar del Alfambra,18-40,2016,13
Aguilar del Alfambra,40-65,2016,18
Aguilar del Alfambra,65-100,2016,27
Aguilar del Alfambra,0-18,2017,7
Aguilar del Alfambra,18-40,2017,16
Aguilar del Alfambra,40-65,2017,17
Aguilar del Alfambra,65-100,2017,25
Aguilar del Alfambra,0-18,2018,8
Aguilar del Alfambra,18-40,2018,16
Aguilar del Alfambra,40-65,2018,17
Aguilar del Alfambra,65-100,2018,22
Aguilar del Alfambra,0-18,2019,9
Aguilar del Alfambra,18-40,2019,15
Aguilar del Alfambra,40-65,2019,19
Aguilar del Alfambra,65-100,2019,20
Aguilar del Alfambra,0-18,2020,8
Aguilar del Alfambra,18-40,2020,16
Aguilar del Alfambra,40-65,2020,25
Aguilar del Alfambra,65-100,2020,20
Alacón,0-18,2015,24
Alacón,18-40,2015,53
Alacón,40-65,2015,92
Alacón,65-100,2015,124
Alacón,0-18,2016,19
Alacón,18-40,2016,53
Alacón,40-65,2016,84
Alacón,65-100,2016,123
Alacón,0-18,2017,18
Alacón,18-40,2017,49
Alacón,40-65,2017,85
Alacón,65-100,2017,122
Alacón,0-18,2018,17
Alacón,18-40,2018,49
Alacón,40-65,2018,83
Alacón,65-100,2018,115
Alacón,0-18,2019,14
Alacón,18-40,2019,46
Alacón,40-65,2019,81
Alacón,65-100,2019,111
Alacón,0-18,2020,13
Alacón,18-40,2020,36
Alacón,40-65,2020,83
Alacón,65-100,2020,106
Alba,0-18,2015,567
Alba,18-40,2015,1003
Alba,40-65,2015,1441
Alba,65-100,2015,1168
Alba,0-18,2016,554
Alba,18-40,2016,988
Alba,40-65,2016,1448
Alba,65-100,2016,1158
Alba,0-18,2017,538
Alba,18-40,2017,966
Alba,40-65,2017,1449
Alba,65-100,2017,1125
Alba,0-18,2018,548
Alba,18-40,2018,953
