cp,city,age,year,total
22001,Abiego,0 años,2017,1
22001,Abiego,1 año,2017,0.0
22001,Abiego,2 años,2017,0.0
22001,Abiego,3 años,2017,1
22001,Abiego,4 años,2017,0.0
22001,Abiego,5 años,2017,1
22001,Abiego,6 años,2017,2
22001,Abiego,7 años,2017,0.0
22001,Abiego,8 años,2017,3
22001,Abiego,9 años,2017,0.0
22001,Abiego,10 años,2017,3
22001,Abiego,11 años,2017,1
22001,Abiego,12 años,2017,2
22001,Abiego,13 años,2017,1
22001,Abiego,14 años,2017,1
22001,Abiego,15 años,2017,1
22001,Abiego,16 años,2017,3
22001,Abiego,17 años,2017,0.0
22001,Abiego,18 años,2017,1
22002,Abizanda,0 años,2017,0.0
22002,Abizanda,1 año,2017,2
22002,Abizanda,2 años,2017,1
22002,Abizanda,3 años,2017,1
22002,Abizanda,4 años,2017,3
22002,Abizanda,5 años,2017,0.0
22002,Abizanda,6 años,2017,1
22002,Abizanda,7 años,2017,0.0
22002,Abizanda,8 años,2017,1
22002,Abizanda,9 años,2017,1
22002,Abizanda,10 años,2017,2
22002,Abizanda,11 años,2017,0.0
22002,Abizanda,12 años,2017,1
22002,Abizanda,13 años,2017,0.0
22002,Abizanda,14 años,2017,1
22002,Abizanda,15 años,2017,0.0
22002,Abizanda,16 años,2017,1
22002,Abizanda,17 años,2017,0.0
22002,Abizanda,18 años,2017,2
22003,Adahuesca,0 años,2017,3
22003,Adahuesca,1 año,2017,2
22003,Adahuesca,2 años,2017,3
22003,Adahuesca,3 años,2017,4
22003,Adahuesca,4 años,2017,3
22003,Adahuesca,5 años,2017,0.0
22003,Adahuesca,6 años,2017,1
22003,Adahuesca,7 años,2017,1
22003,Adahuesca,8 años,2017,0.0
22003,Adahuesca,9 años,2017,0.0
22003,Adahuesca,10 años,2017,1
22003,Adahuesca,11 años,2017,2
22003,Adahuesca,12 años,2017,0.0
22003,Adahuesca,13 años,2017,3
22003,Adahuesca,14 años,2017,0.0
22003,Adahuesca,15 años,2017,3
22003,Adahuesca,16 años,2017,1
22003,Adahuesca,17 años,2017,2
22003,Adahuesca,18 años,2017,0.0
22004,Agüero,0 años,2017,1
22004,Agüero,1 año,2017,1
22004,Agüero,2 años,2017,1
22004,Agüero,3 años,2017,0.0
22004,Agüero,4 años,2017,0.0
22004,Agüero,5 años,2017,0.0
22004,Agüero,6 años,2017,0.0
22004,Agüero,7 años,2017,0.0
22004,Agüero,8 años,2017,0.0
22004,Agüero,9 años,2017,0.0
22004,Agüero,10 años,2017,0.0
22004,Agüero,11 años,2017,0.0
22004,Agüero,12 años,2017,0.0
22004,Agüero,13 años,2017,1
22004,Agüero,14 años,2017,0.0
22004,Agüero,15 años,2017,0.0
22004,Agüero,16 años,2017,0.0
22004,Agüero,17 años,2017,1
22004,Agüero,18 años,2017,1
22006,Aisa,0 años,2017,0.0
22006,Aisa,1 año,2017,0.0
22006,Aisa,2 años,2017,1
22006,Aisa,3 años,2017,3
22006,Aisa,4 años,2017,1
22006,Aisa,5 años,2017,1
22006,Aisa,6 años,2017,2
22006,Aisa,7 años,2017,3
22006,Aisa,8 años,2017,1
22006,Aisa,9 años,2017,1
22006,Aisa,10 años,2017,3
22006,Aisa,11 años,2017,5
22006,Aisa,12 años,2017,2
22006,Aisa,13 años,2017,4
22006,Aisa,14 años,2017,2
22006,Aisa,15 años,2017,4
22006,Aisa,16 años,2017,1
22006,Aisa,17 años,2017,2
22006,Aisa,18 años,2017,1
22007,Albalate de Cinca,0 años,2017,6
22007,Albalate de Cinca,1 año,2017,15
22007,Albalate de Cinca,2 años,2017,11
22007,Albalate de Cinca,3 años,2017,12
22007,Albalate de Cinca,4 años,2017,9
22007,Albalate de Cinca,5 años,2017,6
22007,Albalate de Cinca,6 años,2017,6
22007,Albalate de Cinca,7 años,2017,10
22007,Albalate de Cinca,8 años,2017,13
22007,Albalate de Cinca,9 años,2017,12
22007,Albalate de Cinca,10 años,2017,12
22007,Albalate de Cinca,11 años,2017,14
22007,Albalate de Cinca,12 años,2017,5
22007,Albalate de Cinca,13 años,2017,4
22007,Albalate de Cinca,14 años,2017,6
22007,Albalate de Cinca,15 años,2017,8
22007,Albalate de Cinca,16 años,2017,7
22007,Albalate de Cinca,17 años,2017,6
22007,Albalate de Cinca,18 años,2017,12
22008,Albalatillo,0 años,2017,0.0
22008,Albalatillo,1 año,2017,0.0
22008,Albalatillo,2 años,2017,1
22008,Albalatillo,3 años,2017,0.0
22008,Albalatillo,4 años,2017,3
22008,Albalatillo,5 años,2017,0.0
22008,Albalatillo,6 años,2017,2
22008,Albalatillo,7 años,2017,1
22008,Albalatillo,8 años,2017,0.0
22008,Albalatillo,9 años,2017,1
22008,Albalatillo,10 años,2017,2
22008,Albalatillo,11 años,2017,0.0
22008,Albalatillo,12 años,2017,1
22008,Albalatillo,13 años,2017,1
22008,Albalatillo,14 años,2017,0.0
22008,Albalatillo,15 años,2017,1
22008,Albalatillo,16 años,2017,0.0
22008,Albalatillo,17 años,2017,0.0
22008,Albalatillo,18 años,2017,1
22009,Albelda,0 años,2017,4
22009,Albelda,1 año,2017,5
22009,Albelda,2 años,2017,3
22009,Albelda,3 años,2017,1
22009,Albelda,4 años,2017,5
22009,Albelda,5 años,2017,3
22009,Albelda,6 años,2017,3
22009,Albelda,7 años,2017,6
22009,Albelda,8 años,2017,4
22009,Albelda,9 años,2017,9
22009,Albelda,10 años,2017,9
22009,Albelda,11 años,2017,6
22009,Albelda,12 años,2017,4
22009,Albelda,13 años,2017,7
22009,Albelda,14 años,2017,8
22009,Albelda,15 años,2017,2
22009,Albelda,16 años,2017,4
22009,Albelda,17 años,2017,8
22009,Albelda,18 años,2017,2
