name,age,year,total
Alarba,40-65,2015,80
Alarba,65-100,2015,94
Alarba,0-18,2016,16
Alarba,18-40,2016,42
Alarba,40-65,2016,73
Alarba,65-100,2016,91
Alarba,0-18,2017,19
Alarba,18-40,2017,53
Alarba,40-65,2017,75
Alarba,65-100,2017,88
Alarba,0-18,2018,14
Alarba,18-40,2018,52
Alarba,40-65,2018,74
Alarba,65-100,2018,85
Alarba,0-18,2019,14
Alarba,18-40,2019,47
Alarba,40-65,2019,71
Alarba,65-100,2019,83
Alarba,0-18,2020,8
Alarba,18-40,2020,39
Alarba,40-65,2020,74
Alarba,65-100,2020,83
Alberite de San Juan,0-18,2015,9
Alberite de San Juan,18-40,2015,13
Alberite de San Juan,40-65,2015,35
Alberite de San Juan,65-100,2015,27
Alberite de San Juan,0-18,2016,8
Alberite de San Juan,18-40,2016,11
Alberite de San Juan,40-65,2016,35
Alberite de San Juan,65-100,2016,26
Alberite de San Juan,0-18,2017,7
Alberite de San Juan,18-40,2017,10
Alberite de San Juan,40-65,2017,33
Alberite de San Juan,65-100,2017,27
Alberite de San Juan,0-18,2018,3
Alberite de San Juan,18-40,2018,10
Alberite de San Juan,40-65,2018,31
Alberite de San Juan,65-100,2018,28
Alberite de San Juan,0-18,2019,3
Alberite de San Juan,18-40,2019,9
Alberite de San Juan,40-65,2019,31
Alberite de San Juan,65-100,2019,26
Alberite de San Juan,0-18,2020,8
Alberite de San Juan,18-40,2020,11
Alberite de San Juan,40-65,2020,31
Alberite de San Juan,65-100,2020,24
Albeta,0-18,2015,17
Albeta,18-40,2015,40
Albeta,40-65,2015,57
Albeta,65-100,2015,31
Albeta,0-18,2016,16
Albeta,18-40,2016,37
Albeta,40-65,2016,53
Albeta,65-100,2016,33
Albeta,0-18,2017,18
Albeta,18-40,2017,34
Albeta,40-65,2017,51
Albeta,65-100,2017,31
Albeta,0-18,2018,17
Albeta,18-40,2018,35
Albeta,40-65,2018,49
Albeta,65-100,2018,31
Albeta,0-18,2019,18
Albeta,18-40,2019,33
Albeta,40-65,2019,50
Albeta,65-100,2019,32
Albeta,0-18,2020,16
Albeta,18-40,2020,35
Albeta,40-65,2020,47
Albeta,65-100,2020,36
Alborge,0-18,2015,14
Alborge,18-40,2015,27
Alborge,40-65,2015,37
Alborge,65-100,2015,43
Alborge,0-18,2016,11
Alborge,18-40,2016,27
Alborge,40-65,2016,36
Alborge,65-100,2016,37
Alborge,0-18,2017,11
Alborge,18-40,2017,25
Alborge,40-65,2017,36
Alborge,65-100,2017,33
Alborge,0-18,2018,10
Alborge,18-40,2018,27
Alborge,40-65,2018,40
Alborge,65-100,2018,31
Alborge,0-18,2019,10
Alborge,18-40,2019,25
Alborge,40-65,2019,41
Alborge,65-100,2019,31
Alborge,0-18,2020,10
Alborge,18-40,2020,26
Alborge,40-65,2020,41
Alborge,65-100,2020,30
Alcalá de Ebro,0-18,2015,44
Alcalá de Ebro,18-40,2015,67
Alcalá de Ebro,40-65,2015,92
Alcalá de Ebro,65-100,2015,76
Alcalá de Ebro,0-18,2016,41
Alcalá de Ebro,18-40,2016,60
Alcalá de Ebro,40-65,2016,87
Alcalá de Ebro,65-100,2016,75
Alcalá de Ebro,0-18,2017,42
Alcalá de Ebro,18-40,2017,60
Alcalá de Ebro,40-65,2017,89
Alcalá de Ebro,65-100,2017,79
Alcalá de Ebro,0-18,2018,35
Alcalá de Ebro,18-40,2018,57
Alcalá de Ebro,40-65,2018,87
Alcalá de Ebro,65-100,2018,72
Alcalá de Ebro,0-18,2019,35
Alcalá de Ebro,18-40,2019,49
Alcalá de Ebro,40-65,2019,93
Alcalá de Ebro,65-100,2019,69
Alcalá de Ebro,0-18,2020,36
Alcalá de Ebro,18-40,2020,43
Alcalá de Ebro,40-65,2020,94
Alcalá de Ebro,65-100,2020,72
Alcalá de Moncayo,0-18,2015,21
Alcalá de Moncayo,18-40,2015,32
Alcalá de Moncayo,40-65,2015,70
Alcalá de Moncayo,65-100,2015,63
Alcalá de Moncayo,0-18,2016,21
Alcalá de Moncayo,18-40,2016,26
Alcalá de Moncayo,40-65,2016,69
Alcalá de Moncayo,65-100,2016,59
Alcalá de Moncayo,0-18,2017,15
Alcalá de Moncayo,18-40,2017,24
Alcalá de Moncayo,40-65,2017,61
Alcalá de Moncayo,65-100,2017,52
Alcalá de Moncayo,0-18,2018,14
Alcalá de Moncayo,18-40,2018,25
Alcalá de Moncayo,40-65,2018,57
Alcalá de Moncayo,65-100,2018,48
Alcalá de Moncayo,0-18,2019,14
Alcalá de Moncayo,18-40,2019,25
Alcalá de Moncayo,40-65,2019,59
Alcalá de Moncayo,65-100,2019,45
Alcalá de Moncayo,0-18,2020,16
Alcalá de Moncayo,18-40,2020,23
Alcalá de Moncayo,40-65,2020,62
Alcalá de Moncayo,65-100,2020,42
Alconchel de Ariza,0-18,2015,0
Alconchel de Ariza,18-40,2015,1
Alconchel de Ariza,40-65,2015,30
Alconchel de Ariza,65-100,2015,49
Alconchel de Ariza,0-18,2016,0
Alconchel de Ariza,18-40,2016,1
Alconchel de Ariza,40-65,2016,27
Alconchel de Ariza,65-100,2016,48
Alconchel de Ariza,0-18,2017,0
Alconchel de Ariza,18-40,2017,0
Alconchel de Ariza,40-65,2017,25
Alconchel de Ariza,65-100,2017,45
Alconchel de Ariza,0-18,2018,0
Alconchel de Ariza,18-40,2018,0
Alconchel de Ariza,40-65,2018,24
Alconchel de Ariza,65-100,2018,39
Alconchel de Ariza,0-18,2019,0
Alconchel de Ariza,18-40,2019,1
Alconchel de Ariza,40-65,2019,24
Alconchel de Ariza,65-100,2019,37
Alconchel de Ariza,0-18,2020,5
Alconchel de Ariza,18-40,2020,4
Alconchel de Ariza,40-65,2020,34
Alconchel de Ariza,65-100,2020,33
Aldehuela de Liestos,0-18,2015,0
Aldehuela de Liestos,18-40,2015,11
Aldehuela de Liestos,40-65,2015,23
Aldehuela de Liestos,65-100,2015,23
Aldehuela de Liestos,0-18,2016,0
Aldehuela de Liestos,18-40,2016,11
Aldehuela de Liestos,40-65,2016,19
Aldehuela de Liestos,65-100,2016,23
Aldehuela de Liestos,0-18,2017,1
Aldehuela de Liestos,18-40,2017,12
Aldehuela de Liestos,40-65,2017,19
Aldehuela de Liestos,65-100,2017,21
Aldehuela de Liestos,0-18,2018,1
Aldehuela de Liestos,18-40,2018,7
Aldehuela de Liestos,40-65,2018,19
Aldehuela de Liestos,65-100,2018,22
Aldehuela de Liestos,0-18,2019,1
Aldehuela de Liestos,18-40,2019,7
Aldehuela de Liestos,40-65,2019,21
Aldehuela de Liestos,65-100,2019,19
Aldehuela de Liestos,0-18,2020,1
Aldehuela de Liestos,18-40,2020,8
Aldehuela de Liestos,40-65,2020,25
Aldehuela de Liestos,65-100,2020,17
Alfajarín,0-18,2015,451
Alfajarín,18-40,2015,643
Alfajarín,40-65,2015,809
Alfajarín,65-100,2015,363
Alfajarín,0-18,2016,459
Alfajarín,18-40,2016,628
Alfajarín,40-65,2016,838
Alfajarín,65-100,2016,373
Alfajarín,0-18,2017,459
Alfajarín,18-40,2017,604
Alfajarín,40-65,2017,834
Alfajarín,65-100,2017,391
Alfajarín,0-18,2018,460
Alfajarín,18-40,2018,591
Alfajarín,40-65,2018,866
Alfajarín,65-100,2018,395
Alfajarín,0-18,2019,471
Alfajarín,18-40,2019,570
Alfajarín,40-65,2019,872
Alfajarín,65-100,2019,402
Alfajarín,0-18,2020,486
Alfajarín,18-40,2020,551
Alfajarín,40-65,2020,883
Alfajarín,65-100,2020,419
Alfamén,0-18,2015,221
Alfamén,18-40,2015,472
Alfamén,40-65,2015,515
Alfamén,65-100,2015,258
Alfamén,0-18,2016,225
Alfamén,18-40,2016,458
Alfamén,40-65,2016,519
Alfamén,65-100,2016,264
Alfamén,0-18,2017,253
Alfamén,18-40,2017,436
Alfamén,40-65,2017,516
Alfamén,65-100,2017,255
Alfamén,0-18,2018,243
Alfamén,18-40,2018,418
Alfamén,40-65,2018,522
Alfamén,65-100,2018,258
Alfamén,0-18,2019,251
Alfamén,18-40,2019,408
Alfamén,40-65,2019,531
Alfamén,65-100,2019,256
Alfamén,0-18,2020,234
Alfamén,18-40,2020,411
Alfamén,40-65,2020,537
Alfamén,65-100,2020,261
Alforque,0-18,2015,4
Alforque,18-40,2015,7
Alforque,40-65,2015,29
Alforque,65-100,2015,24
Alforque,0-18,2016,3
Alforque,18-40,2016,6
Alforque,40-65,2016,26
Alforque,65-100,2016,23
Alforque,0-18,2017,3
Alforque,18-40,2017,8
Alforque,40-65,2017,25
Alforque,65-100,2017,21
Alforque,0-18,2018,3
Alforque,18-40,2018,9
Alforque,40-65,2018,30
Alforque,65-100,2018,20
Alforque,0-18,2019,2
Alforque,18-40,2019,12
Alforque,40-65,2019,35
Alforque,65-100,2019,19
Alforque,0-18,2020,2
Alforque,18-40,2020,10
Alforque,40-65,2020,34
Alforque,65-100,2020,19
Alhama de Aragón,0-18,2015,186
Alhama de Aragón,18-40,2015,264
Alhama de Aragón,40-65,2015,381
Alhama de Aragón,65-100,2015,246
Alhama de Aragón,0-18,2016,174
Alhama de Aragón,18-40,2016,242
Alhama de Aragón,40-65,2016,370
Alhama de Aragón,65-100,2016,248
Alhama de Aragón,0-18,2017,183
Alhama de Aragón,18-40,2017,246
Alhama de Aragón,40-65,2017,377
Alhama de Aragón,65-100,2017,247
Alhama de Aragón,0-18,2018,171
Alhama de Aragón,18-40,2018,240
Alhama de Aragón,40-65,2018,379
Alhama de Aragón,65-100,2018,246
Alhama de Aragón,0-18,2019,168
Alhama de Aragón,18-40,2019,229
Alhama de Aragón,40-65,2019,373
Alhama de Aragón,65-100,2019,250
Alhama de Aragón,0-18,2020,159
Alhama de Aragón,18-40,2020,241
Alhama de Aragón,40-65,2020,372
Alhama de Aragón,65-100,2020,239
Almochuel,0-18,2015,0
Almochuel,18-40,2015,5
Almochuel,40-65,2015,14
Almochuel,65-100,2015,15
Almochuel,0-18,2016,0
Almochuel,18-40,2016,5
Almochuel,40-65,2016,14
Almochuel,65-100,2016,12
Almochuel,0-18,2017,0
Almochuel,18-40,2017,5
Almochuel,40-65,2017,12
Almochuel,65-100,2017,13
Almochuel,0-18,2018,0
Almochuel,18-40,2018,5
Almochuel,40-65,2018,11
Almochuel,65-100,2018,13
Almochuel,0-18,2019,0
Almochuel,18-40,2019,4
Almochuel,40-65,2019,12
Almochuel,65-100,2019,9
Almochuel,0-18,2020,0
Almochuel,18-40,2020,4
Almochuel,40-65,2020,10
Almochuel,65-100,2020,10
Almolda La,0-18,2015,54
Almolda La,18-40,2015,138
Almolda La,40-65,2015,211
Almolda La,65-100,2015,190
Almolda La,0-18,2016,52
Almolda La,18-40,2016,134
Almolda La,40-65,2016,205
Almolda La,65-100,2016,190
Almolda La,0-18,2017,45
Almolda La,18-40,2017,127
Almolda La,40-65,2017,205
Almolda La,65-100,2017,185
Almolda La,0-18,2018,48
Almolda La,18-40,2018,123
Almolda La,40-65,2018,217
Almolda La,65-100,2018,179
Almolda La,0-18,2019,47
Almolda La,18-40,2019,120
Almolda La,40-65,2019,207
Almolda La,65-100,2019,179
Almolda La,0-18,2020,45
Almolda La,18-40,2020,128
Almolda La,40-65,2020,206
Almolda La,65-100,2020,175
Almonacid de la Cuba,0-18,2015,28
Almonacid de la Cuba,18-40,2015,45
Almonacid de la Cuba,40-65,2015,80
Almonacid de la Cuba,65-100,2015,102
Almonacid de la Cuba,0-18,2016,30
Almonacid de la Cuba,18-40,2016,46
Almonacid de la Cuba,40-65,2016,80
Almonacid de la Cuba,65-100,2016,105
Almonacid de la Cuba,0-18,2017,31
Almonacid de la Cuba,18-40,2017,46
Almonacid de la Cuba,40-65,2017,80
Almonacid de la Cuba,65-100,2017,103
Almonacid de la Cuba,0-18,2018,33
Almonacid de la Cuba,18-40,2018,45
Almonacid de la Cuba,40-65,2018,78
Almonacid de la Cuba,65-100,2018,96
Almonacid de la Cuba,0-18,2019,31
Almonacid de la Cuba,18-40,2019,40
Almonacid de la Cuba,40-65,2019,79
Almonacid de la Cuba,65-100,2019,93
Almonacid de la Cuba,0-18,2020,29
Almonacid de la Cuba,18-40,2020,38
Almonacid de la Cuba,40-65,2020,75
Almonacid de la Cuba,65-100,2020,88
Almonacid de la Sierra,0-18,2015,83
Almonacid de la Sierra,18-40,2015,179
Almonacid de la Sierra,40-65,2015,248
Almonacid de la Sierra,65-100,2015,221
Almonacid de la Sierra,0-18,2016,77
Almonacid de la Sierra,18-40,2016,171
Almonacid de la Sierra,40-65,2016,238
Almonacid de la Sierra,65-100,2016,217
Almonacid de la Sierra,0-18,2017,76
Almonacid de la Sierra,18-40,2017,171
Almonacid de la Sierra,40-65,2017,240
Almonacid de la Sierra,65-100,2017,214
Almonacid de la Sierra,0-18,2018,77
Almonacid de la Sierra,18-40,2018,169
Almonacid de la Sierra,40-65,2018,240
Almonacid de la Sierra,65-100,2018,205
Almonacid de la Sierra,0-18,2019,73
Almonacid de la Sierra,18-40,2019,182
Almonacid de la Sierra,40-65,2019,270
Almonacid de la Sierra,65-100,2019,210
Almonacid de la Sierra,0-18,2020,92
Almonacid de la Sierra,18-40,2020,186
Almonacid de la Sierra,40-65,2020,278
Almonacid de la Sierra,65-100,2020,197
Almunia de Doña Godina La,0-18,2015,1595
Almunia de Doña Godina La,18-40,2015,2318
Almunia de Doña Godina La,40-65,2015,2633
Almunia de Doña Godina La,65-100,2015,1134
Almunia de Doña Godina La,0-18,2016,1606
Almunia de Doña Godina La,18-40,2016,2244
Almunia de Doña Godina La,40-65,2016,2695
Almunia de Doña Godina La,65-100,2016,1147
Almunia de Doña Godina La,0-18,2017,1603
Almunia de Doña Godina La,18-40,2017,2135
Almunia de Doña Godina La,40-65,2017,2761
Almunia de Doña Godina La,65-100,2017,1161
Almunia de Doña Godina La,0-18,2018,1632
Almunia de Doña Godina La,18-40,2018,2170
Almunia de Doña Godina La,40-65,2018,2846
Almunia de Doña Godina La,65-100,2018,1171
Almunia de Doña Godina La,0-18,2019,1641
Almunia de Doña Godina La,18-40,2019,2216
Almunia de Doña Godina La,40-65,2019,2933
Almunia de Doña Godina La,65-100,2019,1161
Almunia de Doña Godina La,0-18,2020,1666
Almunia de Doña Godina La,18-40,2020,2213
Almunia de Doña Godina La,40-65,2020,3032
Almunia de Doña Godina La,65-100,2020,1180
Alpartir,0-18,2015,93
Alpartir,18-40,2015,143
Alpartir,40-65,2015,170
Alpartir,65-100,2015,158
Alpartir,0-18,2016,82
Alpartir,18-40,2016,140
Alpartir,40-65,2016,172
Alpartir,65-100,2016,153
Alpartir,0-18,2017,80
Alpartir,18-40,2017,140
Alpartir,40-65,2017,173
Alpartir,65-100,2017,153
Alpartir,0-18,2018,85
Alpartir,18-40,2018,151
Alpartir,40-65,2018,186
Alpartir,65-100,2018,157
Alpartir,0-18,2019,82
Alpartir,18-40,2019,135
Alpartir,40-65,2019,187
Alpartir,65-100,2019,151
Alpartir,0-18,2020,83
Alpartir,18-40,2020,139
Alpartir,40-65,2020,200
Alpartir,65-100,2020,146
Ambel,0-18,2015,21
Ambel,18-40,2015,63
Ambel,40-65,2015,78
Ambel,65-100,2015,94
Ambel,0-18,2016,25
Ambel,18-40,2016,61
Ambel,40-65,2016,79
Ambel,65-100,2016,91
Ambel,0-18,2017,28
Ambel,18-40,2017,54
Ambel,40-65,2017,80
Ambel,65-100,2017,92
Ambel,0-18,2018,27
Ambel,18-40,2018,54
Ambel,40-65,2018,82
Ambel,65-100,2018,93
Ambel,0-18,2019,28
Ambel,18-40,2019,49
Ambel,40-65,2019,83
Ambel,65-100,2019,94
Ambel,0-18,2020,27
Ambel,18-40,2020,47
Ambel,40-65,2020,87
Ambel,65-100,2020,92
Anento,0-18,2015,8
Anento,18-40,2015,26
Anento,40-65,2015,43
Anento,65-100,2015,28
Anento,0-18,2016,11
Anento,18-40,2016,28
Anento,40-65,2016,39
Anento,65-100,2016,23
Anento,0-18,2017,10
Anento,18-40,2017,27
Anento,40-65,2017,36
Anento,65-100,2017,20
Anento,0-18,2018,12
Anento,18-40,2018,28
Anento,40-65,2018,40
Anento,65-100,2018,15
Anento,0-18,2019,15
Anento,18-40,2019,31
Anento,40-65,2019,45
Anento,65-100,2019,15
Anento,0-18,2020,8
Anento,18-40,2020,22
Anento,40-65,2020,49
Anento,65-100,2020,16
Aniñón,0-18,2015,92
Aniñón,18-40,2015,166
Aniñón,40-65,2015,227
Aniñón,65-100,2015,276
Aniñón,0-18,2016,88
Aniñón,18-40,2016,152
Aniñón,40-65,2016,222
Aniñón,65-100,2016,278
Aniñón,0-18,2017,73
Aniñón,18-40,2017,152
Aniñón,40-65,2017,224
Aniñón,65-100,2017,274
Aniñón,0-18,2018,61
Aniñón,18-40,2018,152
Aniñón,40-65,2018,228
Aniñón,65-100,2018,267
Aniñón,0-18,2019,59
Aniñón,18-40,2019,154
Aniñón,40-65,2019,231
Aniñón,65-100,2019,262
Aniñón,0-18,2020,53
Aniñón,18-40,2020,154
Aniñón,40-65,2020,235
Aniñón,65-100,2020,242
Añón de Moncayo,0-18,2015,7
Añón de Moncayo,18-40,2015,46
Añón de Moncayo,40-65,2015,68
Añón de Moncayo,65-100,2015,85
Añón de Moncayo,0-18,2016,7
Añón de Moncayo,18-40,2016,40
Añón de Moncayo,40-65,2016,66
Añón de Moncayo,65-100,2016,84
Añón de Moncayo,0-18,2017,10
Añón de Moncayo,18-40,2017,36
Añón de Moncayo,40-65,2017,71
Añón de Moncayo,65-100,2017,83
Añón de Moncayo,0-18,2018,15
Añón de Moncayo,18-40,2018,37
Añón de Moncayo,40-65,2018,78
Añón de Moncayo,65-100,2018,83
Añón de Moncayo,0-18,2019,17
Añón de Moncayo,18-40,2019,36
Añón de Moncayo,40-65,2019,79
Añón de Moncayo,65-100,2019,80
Añón de Moncayo,0-18,2020,20
Añón de Moncayo,18-40,2020,35
Añón de Moncayo,40-65,2020,82
Añón de Moncayo,65-100,2020,85
Aranda de Moncayo,0-18,2015,15
Aranda de Moncayo,18-40,2015,30
Aranda de Moncayo,40-65,2015,83
Aranda de Moncayo,65-100,2015,59
Aranda de Moncayo,0-18,2016,15
Aranda de Moncayo,18-40,2016,29
Aranda de Moncayo,40-65,2016,87
Aranda de Moncayo,65-100,2016,55
Aranda de Moncayo,0-18,2017,13
Aranda de Moncayo,18-40,2017,28
Aranda de Moncayo,40-65,2017,83
Aranda de Moncayo,65-100,2017,50
Aranda de Moncayo,0-18,2018,6
Aranda de Moncayo,18-40,2018,28
Aranda de Moncayo,40-65,2018,71
Aranda de Moncayo,65-100,2018,55
Aranda de Moncayo,0-18,2019,5
Aranda de Moncayo,18-40,2019,28
Aranda de Moncayo,40-65,2019,65
Aranda de Moncayo,65-100,2019,54
Aranda de Moncayo,0-18,2020,4
Aranda de Moncayo,18-40,2020,28
Aranda de Moncayo,40-65,2020,62
Aranda de Moncayo,65-100,2020,51
Arándiga,0-18,2015,27
Arándiga,18-40,2015,70
Arándiga,40-65,2015,92
Arándiga,65-100,2015,151
Arándiga,0-18,2016,23
Arándiga,18-40,2016,60
Arándiga,40-65,2016,89
