cp,city,age,year,total
22001,Abiego,66 años,2016,5
22001,Abiego,67 años,2016,2
22001,Abiego,68 años,2016,4
22001,Abiego,69 años,2016,4
22001,Abiego,70 años,2016,6
22001,Abiego,71 años,2016,3
22001,Abiego,72 años,2016,3
22001,Abiego,73 años,2016,3
22001,Abiego,74 años,2016,5
22001,Abiego,75 años,2016,3
22001,Abiego,76 años,2016,1
22001,Abiego,77 años,2016,1
22001,Abiego,78 años,2016,0.0
22001,Abiego,79 años,2016,3
22001,Abiego,80 años,2016,4
22001,Abiego,81 años,2016,0.0
22001,Abiego,82 años,2016,3
22001,Abiego,83 años,2016,3
22001,Abiego,84 años,2016,3
22001,Abiego,85 años,2016,3
22001,Abiego,86 años,2016,4
22001,Abiego,87 años,2016,4
22001,Abiego,88 años,2016,3
22001,Abiego,89 años,2016,2
22001,Abiego,90 años,2016,1
22001,Abiego,91 años,2016,0.0
22001,Abiego,92 años,2016,1
22001,Abiego,93 años,2016,1
22001,Abiego,94 años,2016,1
22001,Abiego,95 años,2016,0.0
22001,Abiego,96 años,2016,0.0
22001,Abiego,97 años,2016,0.0
22001,Abiego,98 años,2016,1
22001,Abiego,99 años,2016,1
22001,Abiego,100 y más años,2016,0.0
22002,Abizanda,66 años,2016,1
22002,Abizanda,67 años,2016,1
22002,Abizanda,68 años,2016,1
22002,Abizanda,69 años,2016,0.0
22002,Abizanda,70 años,2016,2
22002,Abizanda,71 años,2016,1
22002,Abizanda,72 años,2016,6
22002,Abizanda,73 años,2016,2
22002,Abizanda,74 años,2016,1
22002,Abizanda,75 años,2016,4
22002,Abizanda,76 años,2016,2
22002,Abizanda,77 años,2016,2
22002,Abizanda,78 años,2016,0.0
22002,Abizanda,79 años,2016,2
22002,Abizanda,80 años,2016,3
22002,Abizanda,81 años,2016,2
22002,Abizanda,82 años,2016,0.0
22002,Abizanda,83 años,2016,4
22002,Abizanda,84 años,2016,0.0
22002,Abizanda,85 años,2016,2
22002,Abizanda,86 años,2016,0.0
22002,Abizanda,87 años,2016,1
22002,Abizanda,88 años,2016,0.0
22002,Abizanda,89 años,2016,0.0
22002,Abizanda,90 años,2016,0.0
22002,Abizanda,91 años,2016,0.0
22002,Abizanda,92 años,2016,0.0
22002,Abizanda,93 años,2016,0.0
22002,Abizanda,94 años,2016,0.0
22002,Abizanda,95 años,2016,0.0
22002,Abizanda,96 años,2016,0.0
22002,Abizanda,97 años,2016,0.0
22002,Abizanda,98 años,2016,0.0
22002,Abizanda,99 años,2016,0.0
22002,Abizanda,100 y más años,2016,0.0
22003,Adahuesca,66 años,2016,2
22003,Adahuesca,67 años,2016,5
22003,Adahuesca,68 años,2016,0.0
22003,Adahuesca,69 años,2016,4
22003,Adahuesca,70 años,2016,1
22003,Adahuesca,71 años,2016,1
22003,Adahuesca,72 años,2016,0.0
22003,Adahuesca,73 años,2016,1
22003,Adahuesca,74 años,2016,3
22003,Adahuesca,75 años,2016,3
22003,Adahuesca,76 años,2016,1
22003,Adahuesca,77 años,2016,0.0
22003,Adahuesca,78 años,2016,0.0
22003,Adahuesca,79 años,2016,2
22003,Adahuesca,80 años,2016,2
22003,Adahuesca,81 años,2016,3
22003,Adahuesca,82 años,2016,1
22003,Adahuesca,83 años,2016,2
22003,Adahuesca,84 años,2016,3
22003,Adahuesca,85 años,2016,2
22003,Adahuesca,86 años,2016,0.0
22003,Adahuesca,87 años,2016,1
22003,Adahuesca,88 años,2016,3
22003,Adahuesca,89 años,2016,2
22003,Adahuesca,90 años,2016,0.0
22003,Adahuesca,91 años,2016,0.0
22003,Adahuesca,92 años,2016,0.0
22003,Adahuesca,93 años,2016,2
22003,Adahuesca,94 años,2016,0.0
22003,Adahuesca,95 años,2016,2
22003,Adahuesca,96 años,2016,0.0
22003,Adahuesca,97 años,2016,0.0
22003,Adahuesca,98 años,2016,0.0
22003,Adahuesca,99 años,2016,0.0
22003,Adahuesca,100 y más años,2016,1
22004,Agüero,66 años,2016,0.0
22004,Agüero,67 años,2016,1
22004,Agüero,68 años,2016,2
22004,Agüero,69 años,2016,4
22004,Agüero,70 años,2016,2
22004,Agüero,71 años,2016,3
22004,Agüero,72 años,2016,2
22004,Agüero,73 años,2016,3
22004,Agüero,74 años,2016,1
22004,Agüero,75 años,2016,2
22004,Agüero,76 años,2016,2
22004,Agüero,77 años,2016,1
22004,Agüero,78 años,2016,1
22004,Agüero,79 años,2016,3
22004,Agüero,80 años,2016,1
22004,Agüero,81 años,2016,1
22004,Agüero,82 años,2016,2
22004,Agüero,83 años,2016,3
22004,Agüero,84 años,2016,0.0
22004,Agüero,85 años,2016,6
22004,Agüero,86 años,2016,2
22004,Agüero,87 años,2016,0.0
22004,Agüero,88 años,2016,1
22004,Agüero,89 años,2016,3
22004,Agüero,90 años,2016,2
22004,Agüero,91 años,2016,0.0
22004,Agüero,92 años,2016,0.0
22004,Agüero,93 años,2016,1
22004,Agüero,94 años,2016,1
22004,Agüero,95 años,2016,1
22004,Agüero,96 años,2016,0.0
22004,Agüero,97 años,2016,0.0
22004,Agüero,98 años,2016,0.0
22004,Agüero,99 años,2016,0.0
22004,Agüero,100 y más años,2016,0.0
22006,Aisa,66 años,2016,4
22006,Aisa,67 años,2016,7
22006,Aisa,68 años,2016,5
22006,Aisa,69 años,2016,4
22006,Aisa,70 años,2016,2
22006,Aisa,71 años,2016,5
22006,Aisa,72 años,2016,3
22006,Aisa,73 años,2016,2
22006,Aisa,74 años,2016,4
22006,Aisa,75 años,2016,2
22006,Aisa,76 años,2016,3
22006,Aisa,77 años,2016,4
22006,Aisa,78 años,2016,2
22006,Aisa,79 años,2016,4
22006,Aisa,80 años,2016,2
22006,Aisa,81 años,2016,2
22006,Aisa,82 años,2016,2
22006,Aisa,83 años,2016,3
22006,Aisa,84 años,2016,1
22006,Aisa,85 años,2016,2
22006,Aisa,86 años,2016,1
22006,Aisa,87 años,2016,2
22006,Aisa,88 años,2016,0.0
22006,Aisa,89 años,2016,0.0
22006,Aisa,90 años,2016,2
22006,Aisa,91 años,2016,2
22006,Aisa,92 años,2016,0.0
22006,Aisa,93 años,2016,0.0
22006,Aisa,94 años,2016,0.0
