name,age,year,total
Abiego,0-18,2015,17
Abiego,18-40,2015,62
Abiego,40-65,2015,99
Abiego,65-100,2015,75
Abiego,0-18,2016,19
Abiego,18-40,2016,58
Abiego,40-65,2016,92
Abiego,65-100,2016,78
Abiego,0-18,2017,21
Abiego,18-40,2017,53
Abiego,40-65,2017,98
Abiego,65-100,2017,74
Abiego,0-18,2018,20
Abiego,18-40,2018,48
Abiego,40-65,2018,98
Abiego,65-100,2018,71
Abiego,0-18,2019,27
Abiego,18-40,2019,51
Abiego,40-65,2019,101
Abiego,65-100,2019,69
Abiego,0-18,2020,31
Abiego,18-40,2020,53
Abiego,40-65,2020,103
Abiego,65-100,2020,71
Abizanda,0-18,2015,13
Abizanda,18-40,2015,44
Abizanda,40-65,2015,49
Abizanda,65-100,2015,36
Abizanda,0-18,2016,14
Abizanda,18-40,2016,40
Abizanda,40-65,2016,51
Abizanda,65-100,2016,37
Abizanda,0-18,2017,17
Abizanda,18-40,2017,47
Abizanda,40-65,2017,53
Abizanda,65-100,2017,39
Abizanda,0-18,2018,14
Abizanda,18-40,2018,47
Abizanda,40-65,2018,49
Abizanda,65-100,2018,41
Abizanda,0-18,2019,15
Abizanda,18-40,2019,43
Abizanda,40-65,2019,53
Abizanda,65-100,2019,39
Abizanda,0-18,2020,13
Abizanda,18-40,2020,36
Abizanda,40-65,2020,55
Abizanda,65-100,2020,35
Adahuesca,0-18,2015,26
Adahuesca,18-40,2015,54
Adahuesca,40-65,2015,45
Adahuesca,65-100,2015,48
Adahuesca,0-18,2016,28
Adahuesca,18-40,2016,48
Adahuesca,40-65,2016,43
Adahuesca,65-100,2016,47
Adahuesca,0-18,2017,29
Adahuesca,18-40,2017,49
Adahuesca,40-65,2017,47
Adahuesca,65-100,2017,47
Adahuesca,0-18,2018,28
Adahuesca,18-40,2018,48
Adahuesca,40-65,2018,49
Adahuesca,65-100,2018,47
Adahuesca,0-18,2019,35
Adahuesca,18-40,2019,48
Adahuesca,40-65,2019,52
Adahuesca,65-100,2019,42
Adahuesca,0-18,2020,33
Adahuesca,18-40,2020,48
Adahuesca,40-65,2020,57
Adahuesca,65-100,2020,42
Agüero,0-18,2015,7
Agüero,18-40,2015,21
Agüero,40-65,2015,61
Agüero,65-100,2015,56
Agüero,0-18,2016,5
Agüero,18-40,2016,25
Agüero,40-65,2016,60
Agüero,65-100,2016,51
Agüero,0-18,2017,6
Agüero,18-40,2017,26
Agüero,40-65,2017,59
Agüero,65-100,2017,48
Agüero,0-18,2018,5
Agüero,18-40,2018,22
Agüero,40-65,2018,53
Agüero,65-100,2018,50
Agüero,0-18,2019,3
Agüero,18-40,2019,20
Agüero,40-65,2019,53
Agüero,65-100,2019,53
Agüero,0-18,2020,3
Agüero,18-40,2020,18
Agüero,40-65,2020,51
Agüero,65-100,2020,53
Aisa,0-18,2015,40
Aisa,18-40,2015,100
Aisa,40-65,2015,142
Aisa,65-100,2015,76
Aisa,0-18,2016,38
Aisa,18-40,2016,96
Aisa,40-65,2016,137
Aisa,65-100,2016,74
Aisa,0-18,2017,37
Aisa,18-40,2017,85
Aisa,40-65,2017,138
Aisa,65-100,2017,71
Aisa,0-18,2018,36
Aisa,18-40,2018,75
Aisa,40-65,2018,139
Aisa,65-100,2018,71
Aisa,0-18,2019,39
Aisa,18-40,2019,72
Aisa,40-65,2019,139
Aisa,65-100,2019,70
Aisa,0-18,2020,36
Aisa,18-40,2020,77
Aisa,40-65,2020,124
Aisa,65-100,2020,76
Albalate de Cinca,0-18,2015,170
Albalate de Cinca,18-40,2015,313
Albalate de Cinca,40-65,2015,406
Albalate de Cinca,65-100,2015,262
Albalate de Cinca,0-18,2016,181
Albalate de Cinca,18-40,2016,299
Albalate de Cinca,40-65,2016,408
Albalate de Cinca,65-100,2016,259
Albalate de Cinca,0-18,2017,174
Albalate de Cinca,18-40,2017,279
Albalate de Cinca,40-65,2017,413
Albalate de Cinca,65-100,2017,254
Albalate de Cinca,0-18,2018,158
Albalate de Cinca,18-40,2018,283
Albalate de Cinca,40-65,2018,408
Albalate de Cinca,65-100,2018,253
Albalate de Cinca,0-18,2019,169
Albalate de Cinca,18-40,2019,286
Albalate de Cinca,40-65,2019,404
Albalate de Cinca,65-100,2019,244
Albalate de Cinca,0-18,2020,168
Albalate de Cinca,18-40,2020,280
Albalate de Cinca,40-65,2020,407
Albalate de Cinca,65-100,2020,244
Albalatillo,0-18,2015,19
Albalatillo,18-40,2015,41
Albalatillo,40-65,2015,63
Albalatillo,65-100,2015,82
Albalatillo,0-18,2016,16
Albalatillo,18-40,2016,33
Albalatillo,40-65,2016,64
Albalatillo,65-100,2016,83
Albalatillo,0-18,2017,14
Albalatillo,18-40,2017,29
Albalatillo,40-65,2017,62
Albalatillo,65-100,2017,82
Albalatillo,0-18,2018,16
Albalatillo,18-40,2018,29
Albalatillo,40-65,2018,61
Albalatillo,65-100,2018,75
Albalatillo,0-18,2019,16
Albalatillo,18-40,2019,25
Albalatillo,40-65,2019,60
Albalatillo,65-100,2019,75
Albalatillo,0-18,2020,12
Albalatillo,18-40,2020,28
Albalatillo,40-65,2020,57
Albalatillo,65-100,2020,66
Albelda,0-18,2015,95
Albelda,18-40,2015,123
Albelda,40-65,2015,270
Albelda,65-100,2015,262
Albelda,0-18,2016,99
Albelda,18-40,2016,120
Albelda,40-65,2016,265
Albelda,65-100,2016,251
Albelda,0-18,2017,93
Albelda,18-40,2017,121
Albelda,40-65,2017,265
Albelda,65-100,2017,249
Albelda,0-18,2018,95
Albelda,18-40,2018,116
Albelda,40-65,2018,262
Albelda,65-100,2018,248
Albelda,0-18,2019,90
Albelda,18-40,2019,114
Albelda,40-65,2019,248
Albelda,65-100,2019,246
Albelda,0-18,2020,103
Albelda,18-40,2020,120
Albelda,40-65,2020,251
Albelda,65-100,2020,234
Albero Alto,0-18,2015,25
Albero Alto,18-40,2015,25
Albero Alto,40-65,2015,47
Albero Alto,65-100,2015,27
Albero Alto,0-18,2016,22
Albero Alto,18-40,2016,24
Albero Alto,40-65,2016,42
Albero Alto,65-100,2016,26
Albero Alto,0-18,2017,22
Albero Alto,18-40,2017,23
Albero Alto,40-65,2017,44
Albero Alto,65-100,2017,25
Albero Alto,0-18,2018,18
Albero Alto,18-40,2018,18
Albero Alto,40-65,2018,44
Albero Alto,65-100,2018,25
Albero Alto,0-18,2019,18
Albero Alto,18-40,2019,24
Albero Alto,40-65,2019,47
Albero Alto,65-100,2019,28
Albero Alto,0-18,2020,17
Albero Alto,18-40,2020,27
Albero Alto,40-65,2020,44
Albero Alto,65-100,2020,32
Albero Bajo,0-18,2015,29
Albero Bajo,18-40,2015,29
Albero Bajo,40-65,2015,51
Albero Bajo,65-100,2015,29
Albero Bajo,0-18,2016,25
Albero Bajo,18-40,2016,28
Albero Bajo,40-65,2016,55
Albero Bajo,65-100,2016,29
Albero Bajo,0-18,2017,25
Albero Bajo,18-40,2017,26
Albero Bajo,40-65,2017,59
Albero Bajo,65-100,2017,28
Albero Bajo,0-18,2018,26
Albero Bajo,18-40,2018,31
Albero Bajo,40-65,2018,55
Albero Bajo,65-100,2018,29
Albero Bajo,0-18,2019,24
Albero Bajo,18-40,2019,30
Albero Bajo,40-65,2019,51
Albero Bajo,65-100,2019,30
Albero Bajo,0-18,2020,22
Albero Bajo,18-40,2020,26
Albero Bajo,40-65,2020,52
Albero Bajo,65-100,2020,32
Alberuela de Tubo,0-18,2015,22
Alberuela de Tubo,18-40,2015,80
Alberuela de Tubo,40-65,2015,121
Alberuela de Tubo,65-100,2015,91
Alberuela de Tubo,0-18,2016,24
Alberuela de Tubo,18-40,2016,84
Alberuela de Tubo,40-65,2016,115
Alberuela de Tubo,65-100,2016,92
Alberuela de Tubo,0-18,2017,21
Alberuela de Tubo,18-40,2017,84
Alberuela de Tubo,40-65,2017,111
Alberuela de Tubo,65-100,2017,94
Alberuela de Tubo,0-18,2018,24
Alberuela de Tubo,18-40,2018,79
Alberuela de Tubo,40-65,2018,108
Alberuela de Tubo,65-100,2018,98
Alberuela de Tubo,0-18,2019,20
Alberuela de Tubo,18-40,2019,78
Alberuela de Tubo,40-65,2019,105
Alberuela de Tubo,65-100,2019,98
Alberuela de Tubo,0-18,2020,18
Alberuela de Tubo,18-40,2020,72
Alberuela de Tubo,40-65,2020,105
Alberuela de Tubo,65-100,2020,95
Alcalá de Gurrea,0-18,2015,15
Alcalá de Gurrea,18-40,2015,52
Alcalá de Gurrea,40-65,2015,98
Alcalá de Gurrea,65-100,2015,108
Alcalá de Gurrea,0-18,2016,15
Alcalá de Gurrea,18-40,2016,49
Alcalá de Gurrea,40-65,2016,101
Alcalá de Gurrea,65-100,2016,101
Alcalá de Gurrea,0-18,2017,18
Alcalá de Gurrea,18-40,2017,48
Alcalá de Gurrea,40-65,2017,102
Alcalá de Gurrea,65-100,2017,99
Alcalá de Gurrea,0-18,2018,12
Alcalá de Gurrea,18-40,2018,39
Alcalá de Gurrea,40-65,2018,99
Alcalá de Gurrea,65-100,2018,96
Alcalá de Gurrea,0-18,2019,10
Alcalá de Gurrea,18-40,2019,41
Alcalá de Gurrea,40-65,2019,98
Alcalá de Gurrea,65-100,2019,99
Alcalá de Gurrea,0-18,2020,12
Alcalá de Gurrea,18-40,2020,35
Alcalá de Gurrea,40-65,2020,97
Alcalá de Gurrea,65-100,2020,95
Alcalá del Obispo,0-18,2015,16
Alcalá del Obispo,18-40,2015,80
Alcalá del Obispo,40-65,2015,139
Alcalá del Obispo,65-100,2015,107
Alcalá del Obispo,0-18,2016,15
Alcalá del Obispo,18-40,2016,78
Alcalá del Obispo,40-65,2016,139
Alcalá del Obispo,65-100,2016,108
Alcalá del Obispo,0-18,2017,16
Alcalá del Obispo,18-40,2017,71
Alcalá del Obispo,40-65,2017,134
Alcalá del Obispo,65-100,2017,111
Alcalá del Obispo,0-18,2018,17
Alcalá del Obispo,18-40,2018,65
Alcalá del Obispo,40-65,2018,132
Alcalá del Obispo,65-100,2018,111
Alcalá del Obispo,0-18,2019,17
Alcalá del Obispo,18-40,2019,61
Alcalá del Obispo,40-65,2019,126
Alcalá del Obispo,65-100,2019,114
Alcalá del Obispo,0-18,2020,14
Alcalá del Obispo,18-40,2020,54
Alcalá del Obispo,40-65,2020,117
Alcalá del Obispo,65-100,2020,113
Alcampell,0-18,2015,68
Alcampell,18-40,2015,119
Alcampell,40-65,2015,229
Alcampell,65-100,2015,281
Alcampell,0-18,2016,58
Alcampell,18-40,2016,124
