cp,munipio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
44001,Ababuj,0,0,0,1,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0
44002,Abejuela,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
44003,Aguatón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44004,Aguaviva,3,2,5,5,3,5,6,2,3,5,7,4,7,1,8,6,2,4,3
44005,Aguilar del Alfambra,1,1,2,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
44006,Alacón,2,0,0,0,0,1,1,1,0,2,2,1,1,1,1,0,2,1,1
44007,Alba,0,1,1,1,0,1,0,0,1,0,4,0,0,1,0,0,2,1,1
44008,Albalate del Arzobispo,18,12,18,10,16,18,13,20,16,17,20,11,15,17,11,18,16,13,14
44009,Albarracín,6,7,7,8,7,8,9,14,7,13,6,6,9,8,6,4,11,12,9
44010,Albentosa,3,0,1,4,1,5,2,4,4,6,2,3,2,5,1,2,0,7,2
44011,Alcaine,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0
44012,Alcalá de la Selva,1,0,0,0,1,1,0,4,1,1,0,3,4,2,6,0,2,1,4
44013,Alcañiz,142,151,156,171,168,191,189,208,180,184,204,210,191,169,172,173,169,165,154
44014,Alcorisa,25,28,32,30,26,25,34,36,37,46,32,31,30,37,33,31,39,29,37
44016,Alfambra,0,5,2,3,1,6,0,3,2,6,2,2,2,3,5,0,0,4,3
44017,Aliaga,2,6,1,2,3,2,3,6,3,4,3,3,4,0,2,3,4,2,3
44018,Almohaja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44019,Alobras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44020,Alpeñés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44021,Allepuz,0,3,0,1,0,2,1,0,0,2,1,1,1,0,1,1,1,1,2
44022,Alloza,3,4,2,5,3,4,2,5,5,5,3,6,6,1,4,2,3,4,3
44023,Allueva,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
44024,Anadón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
