year,name,menor,mayor,population
2024,Orrios,0.826,35.53,121
2024,Palomar de Arroyos,5.625,33.75,160
2024,Pancrudo,6.194,29.20,113
2024,Peracense,6.849,34.24,73
2024,Peralejos,12.35,33.70,89
2024,Perales del Alfambra,13.13,24.45,274
2024,Peñarroya de Tastavins,13.53,28.16,458
2024,Pitarque,1.639,40.98,61
2024,Plou,0,52.17,46
2024,Pozondón,0,31.48,54
2024,Pozuel del Campo,5.970,41.79,67
2024,Puertomingalvo,17.14,25,140
2024,Rillo,7.000,20,100
2024,Riodeva,4.132,40.49,121
2024,Royuela,8,27.11,225
2024,Rubiales,4.651,27.90,43
2024,Rubielos de Mora,11.75,21.57,621
2024,Rubielos de la Cérida,0,46.15,26
2024,Ráfales,14.28,37.01,154
2024,Ródenas,4.918,39.34,61
2024,Salcedillo,0,30.76,13
2024,Saldón,15.38,34.61,26
2024,Samper de Calanda,6.976,32.55,731
2024,San Agustín,6.569,32.84,137
2024,San Martín del Río,5.185,48.14,135
2024,Santa Cruz de Nogueras,0,54.16,24
2024,Santa Eulalia,10.11,28.29,1018
2024,Sarrión,18.27,21.39,1215
2024,Segura de los Baños,6.25,39.58,48
2024,Seno,2.631,36.84,38
2024,Singra,1.333,30.66,75
2024,Terriente,7.211,36.53,208
2024,Teruel,0.116,99.18,2582
2024,Toril y Masegoso,0,20.58,34
2024,Tormón,0,45.16,31
2024,Tornos,4.878,42.27,246
2024,Torralba de los Sisones,6.164,26.02,146
2024,Torre de Arcas,2.439,34.14,82
2024,Torre de las Arcas,5,30,20
2024,Torre del Compte,6.666,46.66,120
2024,Torre los Negros,2.5,43.75,80
2024,Torrecilla de Alcañiz,8.447,36.30,438
2024,Torrecilla del Rebollar,2.564,50.42,117
2024,Torrelacárcel,4.580,41.22,131
2024,Torremocha de Jiloca,6.796,38.83,103
2024,Torres de Albarracín,12.56,25.65,191
2024,Torrevelilla,13.25,31.49,181
2024,Torrijas,11.11,25,36
2024,Torrijo del Campo,13.20,33.2,500
2024,Tramacastiel,0,46.55,58
2024,Tramacastilla,7.874,32.28,127
2024,Tronchón,3.333,38.33,60
2024,Urrea de Gaén,8.883,36.90,439
2024,Utrillas,13.28,20.86,3101
2024,Valacloche,6.25,34.37,32
2024,Valbona,6.25,36.97,192
2024,Valdealgorfa,10.49,36.31,581
2024,Valdecuenca,7.142,32.14,28
2024,Valdelinares,4,24,75
2024,Valdeltormo,13.11,33.44,305
2024,Valderrobres,14.18,21.23,2524
2024,Valjunquera,9.451,33.53,328
2024,Veguillas de la Sierra,0,25,24
2024,Villafranca del Campo,7.457,31.18,295
2024,Villahermosa del Campo,8.602,32.25,93
2024,Villanueva del Rebollar de la Sierra,2.083,35.41,48
2024,Villar del Cobo,4.968,37.88,161
2024,Villar del Salz,3.703,37.03,54
2024,Villarluengo,10.30,30.90,165
2024,Villarquemado,10.56,28.93,871
2024,Villarroya de los Pinares,10.97,23.78,164
2024,Villastar,18.43,15.14,548
2024,Villel,13.60,23.66,338
2024,Vinaceite,5,33.33,180
2024,Visiedo,9.160,50.38,131
2024,Vivel del Río Martín,3.174,52.38,63
