name,population
Ababuj,459
Abejuela,698
Aguatón,181
Aguaviva,1781
Aguilar del Alfambra,524
Alacón,931
Alba,634
Albalate del Arzobispo,4291
Albarracín,1932
Albentosa,1003
Alcaine,1103
Alcalá de la Selva,1648
Alcañiz,7699
Alcorisa,3119
Alfambra,1355
Aliaga,1754
Almohaja,243
Alobras,546
Alpeñés,224
Allepuz,1040
Alloza,1773
Allueva,216
Anadón,355
Andorra,2704
Arcos de las Salinas,1353
Arens de Lledó,759
Argente,716
Ariño,1366
Azaila,742
Bádenas,454
Báguena,1420
Bañón,693
Barrachina,697
Bea,170
Beceite,2252
Belmonte de San José,817
Bello,989
Berge,816
Bezas,357
Blancas,859
Blesa,1325
Bordón,586
Bronchales,950
Bueña,352
Burbáguena,1350
Cabra de Mora,563
Calaceite,2579
Calamocha,6017
Calanda,3924
Calomarde,422
Camañas,450
Camarena de la Sierra,882
Camarillas,816
Caminreal,1349
Cantavieja,1962
Cañada de Benatanduz,642
Cañada de Verich (La),287
Cañada Vellida,201
Cañizar del Olivar,507
Cascante del Río,574
Castejón de Tornos,475
Castel de Cabra,623
Castelnou,680
Castelserás,2177
Castellar (El),489
Castellote,5122
Cedrillas,957
Celadas,876
Cella,2567
Cerollera (La),450
Codoñera (La),1342
Corbalán,484
Cortes de Aragón,492
Cosa,385
Cretas,1562
Crivillén,937
Cuba (La),357
Cubla,363
Cucalón,525
Cuervo (El),576
Cuevas de Almudén,243
Cuevas Labradas,401
Ejulve,1291
Escorihuela,493
Escucha,707
Estercuel,964
Ferreruela de Huerva,262
Fonfría,205
Formiche Alto,1029
Fórnoles,742
Fortanete,1570
Foz-Calanda,786
Fresneda (La),1799
Frías de Albarracín,665
Fuenferrada,402
Fuentes Calientes,243
Fuentes Claras,1123
Fuentes de Rubielos,895
Fuentespalda,927
Galve,468
Gargallo,644
Gea de Albarracín,1168
Ginebrosa (La),1116
Griegos,415
Guadalaviar,492
Gúdar,730
Híjar,3330
Hinojosa de Jarque,546
Hoz de la Vieja (La),924
Huesa del Común,1284
Iglesuela del Cid (La),1485
Jabaloyas,934
Jarque de la Val,277
Jatiel,255
Jorcas,462
Josa,615
Lagueruela,252
Lanzuela,243
Libros,607
Lidón,308
Linares de Mora,1592
Loscos,1507
Lledó,580
Maicas,391
Manzanera,2750
Martín del Río,729
Mas de las Matas,1981
Mata de los Olmos (La),458
Mazaleón,1403
Mezquita de Jarque,327
Mirambel,835
Miravete de la Sierra,486
Molinos,1405
Monforte de Moyuela,694
Monreal del Campo,2330
Monroyo,1284
Montalbán,2020
Monteagudo del Castillo,489
Monterde de Albarracín,488
Mora de Rubielos,3213
Moscardón,494
Mosqueruela,3103
Muniesa,1860
Noguera de Albarracín,489
Nogueras,359
Nogueruelas,1156
Obón,1257
Odón,974
Ojos Negros,1436
Olba,1802
Oliete,2146
Olmos (Los),600
Orihuela del Tremedal,945
Orrios,430
Palomar de Arroyos,612
Pancrudo,1000
Parras de Castellote (Las),1107
Peñarroya de Tastavins,1702
Peracense,385
Peralejos,286
Perales del Alfambra,817
Pitarque,938
Plou,529
Pobo (El),497
Portellada (La),860
Pozondón,539
Pozuel del Campo,598
Puebla de Híjar (La),1921
Puebla de Valverde (La),1982
Puertomingalvo,1271
Ráfales,859
Rillo,502
Riodeva,716
Ródenas,415
Royuela,459
Rubiales,290
Rubielos de la Cérida,501
Rubielos de Mora,2284
Salcedillo,155
Saldón,435
Samper de Calanda,2647
San Agustín,1204
San Martín del Río,1330
Santa Cruz de Nogueras,346
Santa Eulalia,1164
Sarrión,2233
Segura de los Baños,795
Seno,453
Singra,399
Terriente,1109
Teruel,12745
Toril y Masegoso,366
Tormón,303
Tornos,578
Torralba de los Sisones,608
Torrecilla de Alcañiz,1105
Torrecilla del Rebollar,891
Torre de Arcas,485
Torre de las Arcas,545
Torre del Compte,748
Torrelacárcel,521
Torre los Negros,456
Torremocha de Jiloca,420
Torres de Albarracín,591
Torrevelilla,776
Torrijas,689
Torrijo del Campo,1308
Tramacastiel,668
Tramacastilla,455
Tronchón,997
Urrea de Gaén,1195
Utrillas,712
Valacloche,219
Valbona,675
Valdealgorfa,1665
Valdecuenca,320
Valdelinares,825
Valdeltormo,699
Valderrobres,3058
Valjunquera,1225
Vallecillo (El),467
Veguillas de la Sierra,292
Villafranca del Campo,988
Villahermosa del Campo,236
Villanueva del Rebollar de la Sierra,309
Villar del Cobo,596
Villar del Salz,412
Villarluengo,2128
Villarquemado,872
Villarroya de los Pinares,1095
Villastar,737
Villel,1182
Vinaceite,544
Visiedo,656
Vivel del Río Martín,946
Zoma (La),181
