name,age,year,total
Ababuj,0-16,2003,4
Ababuj,0-16,2004,4
Ababuj,0-16,2005,3
Ababuj,0-16,2006,1
Ababuj,0-16,2007,1
Ababuj,0-16,2008,1
Ababuj,0-16,2009,3
Ababuj,0-16,2010,1
Ababuj,0-16,2011,4
Ababuj,0-16,2012,3
Ababuj,0-16,2013,3
Ababuj,0-16,2014,3
Ababuj,0-16,2015,6
Ababuj,0-16,2016,6
Ababuj,0-16,2017,6
Ababuj,0-16,2018,6
Ababuj,0-16,2019,7
Ababuj,0-16,2020,6
Ababuj,0-16,2021,6
Ababuj,0-16,2022,6
Ababuj,16-64,2003,51
Ababuj,16-64,2004,54
Ababuj,16-64,2005,51
Ababuj,16-64,2006,50
Ababuj,16-64,2007,48
Ababuj,16-64,2008,47
Ababuj,16-64,2009,46
Ababuj,16-64,2010,51
Ababuj,16-64,2011,48
Ababuj,16-64,2012,44
Ababuj,16-64,2013,37
Ababuj,16-64,2014,36
Ababuj,16-64,2015,41
Ababuj,16-64,2016,43
Ababuj,16-64,2017,40
Ababuj,16-64,2018,42
Ababuj,16-64,2019,40
Ababuj,16-64,2020,47
Ababuj,16-64,2021,47
Ababuj,16-64,2022,45
Ababuj,65-100,2003,30
Ababuj,65-100,2004,31
Ababuj,65-100,2005,30
Ababuj,65-100,2006,33
Ababuj,65-100,2007,33
Ababuj,65-100,2008,35
Ababuj,65-100,2009,31
Ababuj,65-100,2010,25
Ababuj,65-100,2011,26
Ababuj,65-100,2012,26
Ababuj,65-100,2013,25
Ababuj,65-100,2014,26
Ababuj,65-100,2015,26
Ababuj,65-100,2016,27
Ababuj,65-100,2017,27
Ababuj,65-100,2018,28
Ababuj,65-100,2019,26
Ababuj,65-100,2020,24
Ababuj,65-100,2021,23
Ababuj,65-100,2022,21
Abejuela,0-16,2003,4
Abejuela,0-16,2004,6
Abejuela,0-16,2005,6
Abejuela,0-16,2006,2
Abejuela,0-16,2007,2
Abejuela,0-16,2008,1
Abejuela,0-16,2009,1
Abejuela,0-16,2010,1
Abejuela,0-16,2011,2
Abejuela,0-16,2012,0
Abejuela,0-16,2013,0
Abejuela,0-16,2014,0
Abejuela,0-16,2015,1
Abejuela,0-16,2016,3
Abejuela,0-16,2017,2
Abejuela,0-16,2018,2
Abejuela,0-16,2019,2
Abejuela,0-16,2020,1
Abejuela,0-16,2021,2
Abejuela,0-16,2022,1
Abejuela,16-64,2003,30
Abejuela,16-64,2004,36
Abejuela,16-64,2005,35
Abejuela,16-64,2006,35
Abejuela,16-64,2007,41
Abejuela,16-64,2008,37
Abejuela,16-64,2009,37
Abejuela,16-64,2010,35
Abejuela,16-64,2011,45
Abejuela,16-64,2012,39
Abejuela,16-64,2013,28
Abejuela,16-64,2014,26
Abejuela,16-64,2015,34
Abejuela,16-64,2016,33
Abejuela,16-64,2017,28
Abejuela,16-64,2018,28
Abejuela,16-64,2019,29
Abejuela,16-64,2020,31
Abejuela,16-64,2021,37
Abejuela,16-64,2022,35
Abejuela,65-100,2003,25
