densidad
1.51
5.50
7.88
17.23
3.95
26.81
2.46
292.89
7.00
6.41
49.81
22.31
25.43
10.46
1.80
1.28
16.80
14.12
5.83
33.26
.90
4.31
4.56
12.51
138.02
17.79
4.19
4.41
13.49
3.31
1.75
6.15
2.63
11.04
5.37
5.19
4.49
21.16
3.27
4.13
.39
.89
19.13
9.54
5.58
4.53
2.42
1.73
1.71
7.40
8.64
42.81
1.34
45.87
25.13
124.43
2.13
8.31
8.52
18.21
97.82
9.46
58.38
.81
328.07
129.88
59.41
1.15
2.09
4.04
5.66
39.70
18.93
5.23
5.12
12.58
6.51
9.27
1.48
7.51
2.91
49.77
3.61
17.42
2.91
2.63
11.58
1458.65
2.86
1.19
13.03
7.07
38.34
27.22
.87
5.14
22.65
18.19
10.84
11.33
3.70
5.26
36.34
72.98
2.04
2.93
7.89
10.97
10.45
1.95
32.05
8.37
5.18
63.00
13.81
3.22
19.71
4.61
125.68
4.81
7.17
119.22
1.54
6.54
10.13
5.14
164.41
4.69
2.63
27.10
6.06
6.50
3.03
11.34
11.06
11.15
.87
16.60
.71
22.98
34.89
2.44
1.17
27.98
2.26
11.47
14.41
4.43
2.73
3237.50
57.06
23.49
82.38
3.65
8.58
52.39
5.13
7.48
5.58
3.95
2.15
7.80
2.25
1.54
3.41
2.84
5.34
23.91
12.21
15.56
6.83
5.72
14.97
16.83
38.18
9.39
5.86
3.18
1.66
2.16
1.65
8.63
77.27
21.36
7.76
100.73
5.25
2.07
5.95
1.90
4.33
16.08
13.40
18.78
4.93
78.26
30.85
4.92
5.25
4.28
7.67
242.88
.46
8.71
16.82
2.66
.66
.92
8.84
22.55
1.57
362.47
4.45
1.01
16.47
58.40
2.94
31.04
6.09
3.02
6.19
10.21
121.11
2.43
9.74
52.76
43.75
5.53
6.40
1.21
3.42
3.88
44.52
8.11
9.05
5.83
.86
.74
90.29
2.71
3.76
1.34
43.06
17.06
14.37
2.90
6.60
2.12
4.25
2.35
2.98
2.04
98.81
26.87
2.76
2.62
4.87
1.67
2.81
1.27
16.30
1.01
3.17
1049.77
3.77
2.49
2.21
3.56
20.66
3.59
9.00
13.01
27.71
8.94
5.12
7.72
13.04
7.42
7.94
61.33
.60
6.09
2.08
10.09
5.12
.74
2.24
26.34
684.83
25.17
1.07
5.08
30.17
