densidad
6.20
3.36
3.27
1.38
3.96
24.91
19.78
13.88
5.44
6.34
14.86
3.44
6.79
11.24
13.93
3.14
22.48
14.49
11.88
18.33
12.53
9.14
43.47
6.49
1.93
6.64
1.80
2.66
10.66
2.05
16.29
3.43
12.00
9.62
2.61
1.69
2.53
6.44
62.66
158.35
3.93
5.06
1.19
15.63
7.04
9.25
7.03
2.35
1.59
7.82
19.81
377.40
2.86
6.26
5.08
7.07
2.30
1.91
4.14
1.13
14.12
5.12
2.40
2.58
7.43
10.23
5.83
2.02
12.38
30.23
42.88
3.10
15.42
3.24
11.03
8.30
2.80
9.81
3.30
38.94
7.41
12.85
15.75
1.42
.79
.51
1.92
16.77
1.62
34.22
2.72
1.98
6.68
14.13
11.02
7.68
6.10
2.51
325.77
6.49
36.77
3.32
2.00
31.53
11.50
9.07
5.31
10.35
6.56
8.03
4.61
4.26
2.81
6.42
4.44
3.08
2.63
1.17
13.82
1.23
110.05
5.68
7.71
3.61
3.14
3.89
24.83
1.87
8.27
3.98
1.15
4.83
1.90
12.43
3.62
3.74
3.89
3.10
6.05
14.77
21.84
1.91
2.15
2.49
33.79
29.26
8.45
15.75
4.00
14.85
12.91
3.38
9.02
7.12
6.79
2.73
8.22
9.22
3.47
15.12
3.07
2.17
4.67
1.99
5.41
23.73
13.55
2.13
31.90
10.50
2.50
115.90
2.08
1.60
2.55
3.18
20.22
3.24
19.08
6.42
2.09
.74
1.40
27.99
1.22
.33
8.43
22.55
7.68
5.18
1.61
1.98
19.16
3.57
5.40
7.63
5.40
3.09
7.70
7.55
3.93
38.47
