densidad
1.40
.56
.83
12.38
1.61
5.61
2.56
9.74
2.24
3.77
1.09
3.30
33.76
27.07
4.33
1.85
.62
2.01
.76
1.87
7.18
1.55
1.09
53.99
.92
6.01
3.16
8.64
1.15
.63
12.35
2.81
4.74
1.32
5.59
2.58
4.28
5.72
2.65
1.71
1.18
3.53
7.50
1.54
6.22
1.60
12.43
13.64
33.03
2.62
1.57
1.42
1.70
13.94
5.73
1.11
8.01
1.52
4.39
2.19
3.53
3.53
4.31
26.36
1.03
2.87
8.56
3.94
20.90
2.96
16.40
1.32
2.49
.94
10.84
1.61
6.29
1.11
2.50
4.14
3.40
3.20
1.64
2.43
21.28
3.77
3.08
1.36
1.93
2.30
1.21
6.28
11.22
2.28
1.71
4.03
12.48
2.92
7.33
2.62
2.95
6.59
2.50
4.50
8.61
1.18
10.33
3.26
1.94
1.08
10.27
1.05
2.39
3.69
1.30
1.20
2.96
1.68
2.66
1.37
2.14
1.79
11.01
1.09
3.07
7.59
42.41
11.16
6.24
3.14
2.55
.95
3.05
1.36
27.32
4.29
15.15
1.12
1.39
9.27
2.04
2.07
4.64
2.80
1.32
2.18
.65
2.76
4.14
10.76
4.25
2.77
6.80
3.60
5.02
1.09
1.25
5.27
2.65
2.44
2.12
1.45
2.49
1.80
11.37
.70
2.44
53.31
26.60
1.08
4.01
1.74
4.19
1.37
6.43
1.82
.57
9.50
1.00
.91
5.51
2.20
27.30
1.89
12.80
8.06
.72
2.18
2.17
3.81
81.04
.97
1.05
4.35
3.86
15.80
4.74
2.59
.75
6.78
4.33
3.01
3.15
6.46
5.65
.66
10.14
1.35
4.27
1.13
10.60
74.58
1.39
4.27
13.25
1.87
1.57
17.43
19.25
7.76
2.22
1.46
4.66
4.94
.61
3.02
1.55
1.12
15.27
1.75
12.65
3.82
4.97
2.25
1.54
1.14
