municipio,cp,superficie,densidad
Santa Cruz de La Serós,22209,19.51,9.22
Santaliestra y San QuÃ­lez,22212,23.34,3.47
Sariñena,22213,275.57,15.12
Secastilla,22214,47.42,3.07
Seira,22215,69,2.17
Sena,22217,104.69,4.67
SenÃ©s de Alcubierre,22218,20.53,1.99
Sesa,22220,30.84,5.41
Sesué,22221,5.35,23.73
Siétamo,22222,48.98,13.55
Sopeira,22223,44.09,2.13
Tamarite de Litera,22225,110.58,31.90
Tardienta,22226,90.65,10.50
Tella-Sin,22227,90.33,2.50
Tierz,22228,6.54,115.90
Tolva,22229,58.97,2.08
Torla-Ordesa,22230,185.21,1.60
Torralba de Aragón,22232,40.39,2.55
Torre La Ribera,22233,32.06,3.18
Torrente de Cinca,22234,56.77,20.22
Torres de Alcanadre,22235,28.31,3.24
Torres de BarbuÃ©s,22236,13.94,19.08
Tramaced,22239,15.42,6.42
Valfarta,22242,33,2.09
Valle de BardajÃ­,22243,45.48,0.74
Valle de Lierp,22244,32.76,1.40
Velilla de Cinca,22245,16.54,27.99
Beranuy,22246,63.75,0.33
Viacamp y Litera,22247,107.74,8.43
Vicién,22248,13.76,22.55
Villanova,22249,7.05,7.68
Villanúa,22250,58.19,5.18
Villanueva de Sigena,22251,75.99,1.61
Yebra de Basa,22252,90.88,1.98
Yésero,22253,30.23,19.16
ZaidÃ­n,22254,92.55,3.57
Valle de Hecho,22901,234.43,5.40
Puente La Reina de Jaca,22902,48.13,7.63
San Miguel del Cinca,22903,106.49,5.40
La Sotonera,22904,165.54,3.09
Lupiñén-Ortilla,22905,110.07,7.70
Santa MarÃ­a de Dulcis,22906,27,7.55
AÃ­nsa-Sobrarbe,22907,284.77,3.93
Hoz y Costeán,22908,57.48,38.47
