cp,name,2018,2017,2016,2015,2014,2013,2012,2011,
50001, Abanto,97.0,98.0,106.0,113.0,113.0,133.0,127.0,130.0
50002, Acered,165.0,171.0,223.0,217.0,220.0,245.0,243.0,198.0
50003, Agón,146.0,146.0,155.0,155.0,155.0,155.0,167.0,164.0
50004, Aguarón,631.0,684.0,686.0,724.0,796.0,743.0,848.0,873.0
50005, Aguilón,235.0,238.0,247.0,254.0,260.0,252.0,254.0,258.0
50006, Ainzón,1085.0,1095.0,1136.0,1143.0,1162.0,1187.0,1214.0,1245.0
50007, Aladrén,52.0,47.0,48.0,52.0,54.0,54.0,60.0,67.0
50008, Alagón,7094.0,7025.0,7045.0,7014.0,7052.0,7175.0,7167.0,7112.0
50009, Alarba,133.0,144.0,137.0,152.0,153.0,152.0,161.0,160.0
50010, Alberite de San Juan,72.0,77.0,80.0,84.0,86.0,91.0,97.0,99.0
50011, Albeta,132.0,134.0,139.0,145.0,153.0,144.0,149.0,149.0
50012, Alborge,108.0,105.0,111.0,121.0,124.0,119.0,118.0,121.0
50013, Alcalá de Ebro,251.0,270.0,263.0,279.0,281.0,270.0,284.0,283.0
50014, Alcalá de Moncayo,144.0,152.0,175.0,186.0,183.0,184.0,193.0,205.0
50015, Alconchel de Ariza,63.0,70.0,76.0,80.0,82.0,85.0,90.0,96.0
50016, Aldehuela de Liestos,49.0,53.0,53.0,57.0,50.0,48.0,51.0,52.0
50017, Alfajarín,2312.0,2288.0,2298.0,2266.0,2250.0,2235.0,2259.0,2215.0
50018, Alfamén,1441.0,1460.0,1466.0,1466.0,1475.0,1517.0,1609.0,1577.0
50019, Alforque,62.0,57.0,58.0,64.0,70.0,78.0,86.0,87.0
50020, Alhama de Aragón,1036.0,1053.0,1034.0,1077.0,1115.0,1106.0,1124.0,1146.0
50021, Almochuel,29.0,30.0,31.0,34.0,35.0,38.0,42.0,37.0
50022, Almolda, La,567.0,562.0,581.0,593.0,602.0,608.0,611.0,615.0
50023, Almonacid de la Cuba,252.0,260.0,261.0,255.0,244.0,244.0,252.0,270.0
50024, Almonacid de la Sierra,691.0,701.0,703.0,731.0,752.0,744.0,781.0,824.0
50025, Almunia de Doña Godina, La,7819.0,7660.0,7692.0,7680.0,7836.0,7766.0,7792.0,7851.0
50026, Alpartir,579.0,546.0,547.0,564.0,574.0,567.0,570.0,570.0
50027, Ambel,256.0,254.0,256.0,256.0,258.0,270.0,281.0,290.0
50028, Anento,95.0,93.0,101.0,105.0,105.0,108.0,126.0,133.0
50029, Aniñón,708.0,723.0,740.0,761.0,757.0,789.0,801.0,803.0
50030, Añón de Moncayo,213.0,200.0,197.0,206.0,210.0,212.0,213.0,208.0
50031, Aranda de Moncayo,160.0,174.0,186.0,187.0,186.0,185.0,198.0,208.0
50032, Arándiga,309.0,308.0,317.0,340.0,369.0,367.0,385.0,412.0
50033, Ardisa,72.0,72.0,72.0,74.0,70.0,81.0,83.0,85.0
50034, Ariza,1139.0,1133.0,1139.0,1196.0,1185.0,1207.0,1227.0,1286.0
50035, Artieda,73.0,75.0,79.0,81.0,86.0,90.0,90.0,92.0
50036, Asín,96.0,102.0,106.0,104.0,105.0,103.0,115.0,110.0
50037, Atea,156.0,145.0,131.0,112.0,155.0,167.0,152.0,128.0
50038, Ateca,1793.0,1825.0,1856.0,1968.0,2019.0,2061.0,2099.0,2160.0
50039, Azuara,543.0,551.0,576.0,606.0,630.0,643.0,680.0,702.0
50040, Badules,83.0,87.0,88.0,95.0,97.0,102.0,100.0,100.0
50041, Bagüés,12.0,11.0,12.0,13.0,15.0,20.0,20.0,21.0
50042, Balconchán,17.0,16.0,14.0,13.0,12.0,14.0,14.0,15.0
50043, Bárboles,300.0,312.0,326.0,340.0,317.0,316.0,327.0,326.0
50044, Bardallur,261.0,258.0,272.0,282.0,297.0,311.0,325.0,328.0
50045, Belchite,1528.0,1526.0,1559.0,1562.0,1589.0,1633.0,1655.0,1683.0
50046, Belmonte de Gracián,198.0,206.0,211.0,211.0,221.0,233.0,238.0,236.0
50047, Berdejo,47.0,51.0,52.0,53.0,55.0,61.0,63.0,71.0
