nombre,provincia,slug,codigoINE,poblacion1900,poblacion2024,poblacion2014,variacion1900,perdidaAbsoluta,perdidaPorcentual,varUltimosAnios,porcentajeMayores,porcentajeMenores,densidad
Valpalmas,zaragoza,valpalmas,50276,415,126,0,-69.63855421686746,289,69.63855421686746,0,41.7,0.8,0
Samper del Salz,zaragoza,samper-del-salz,50233,404,82,0,-79.70297029702971,322,79.70297029702971,0,41.5,7.3,0
Calmarza,zaragoza,calmarza,50070,343,58,0,-83.09037900874635,285,83.09037900874635,0,41.4,10.3,0
Fuentes de Jiloca,zaragoza,fuentes-de-jiloca,50116,1099,209,0,-80.98271155595997,890,80.98271155595997,0,41.4,5.2,0
Bureta,zaragoza,bureta,50061,685,208,0,-69.63503649635037,477,69.63503649635037,0,41.3,6.7,0
Griegos,teruel,griegos,44119,415,142,0,-65.78313253012048,273,65.78313253012048,0,41.3,6.3,0
Torres de Alcanadre,huesca,torres-de-alcanadre,22235,499,92,0,-81.56312625250501,407,81.56312625250501,0,41.3,4.3,0
Cuevas Labradas,teruel,cuevas-labradas,44094,401,136,0,-66.08478802992519,265,66.08478802992519,0,41.2,5.1,0
Torrelacárcel,teruel,torrelacarcel,44226,521,131,0,-74.85604606525912,390,74.85604606525912,0,41.2,4.6,0
El Cuervo,teruel,el-cuervo,44092,576,95,0,-83.50694444444444,481,83.50694444444444,0,41.1,4.2,0
Añón de Moncayo,zaragoza,anon-de-moncayo,50030,1106,216,0,-80.47016274864376,890,80.47016274864376,0,41,10.4,0
Pitarque,teruel,pitarque,44183,938,61,0,-93.49680170575692,877,93.49680170575692,0,41,1.6,0
Monterde,zaragoza,monterde,50173,932,152,0,-83.69098712446352,780,83.69098712446352,0,40.9,2.6,0
Arens de Lledó,teruel,arens-de-lledo,44027,759,194,0,-74.44005270092227,565,74.44005270092227,0,40.8,5.1,0
Villarroya de la Sierra,zaragoza,villarroya-de-la-sierra,50293,2405,413,0,-82.82744282744284,1992,82.82744282744284,0,40.8,4.9,0
La Vilueña,zaragoza,la-viluena,50282,401,57,0,-85.785536159601,344,85.785536159601,0,40.7,11.9,0
Loscos,teruel,loscos,44138,1507,112,0,-92.56801592568016,1395,92.56801592568016,0,40.7,2.7,0
Val de San Martín,zaragoza,val-de-san-martin,50274,345,59,0,-82.89855072463767,286,82.89855072463767,0,40.7,1.7,0
Monesma y Cajigar,huesca,monesma-y-cajigar,22155,513,69,0,-86.54970760233918,444,86.54970760233918,0,40.6,2.9,0
Riodeva,teruel,riodeva,44196,716,121,0,-83.10055865921788,595,83.10055865921788,0,40.5,5,0
Carenas,zaragoza,carenas,50072,1181,167,0,-85.85944115156647,1014,85.85944115156647,0,40.4,0.6,0
Los Fayos,zaragoza,los-fayos,50106,521,133,0,-74.4721689059501,388,74.4721689059501,0,40.3,6.7,0
Alba,teruel,alba,44007,634,187,0,-70.50473186119874,447,70.50473186119874,0,40.1,7.5,0
Ibieca,huesca,ibieca,22126,417,104,0,-75.0599520383693,313,75.0599520383693,0,40,5.7,0
Olvena,huesca,olvena,22164,384,65,0,-83.07291666666666,319,83.07291666666666,0,40,13.8,0
Vera de Moncayo,zaragoza,vera-de-moncayo,50280,1329,315,0,-76.2979683972912,1014,76.2979683972912,0,39.9,4.7,0
Argente,teruel,argente,44028,716,201,0,-71.92737430167597,515,71.92737430167597,0,39.8,10.9,0
Laperdiguera,huesca,laperdiguera,22139,369,88,0,-76.15176151761518,281,76.15176151761518,0,39.8,3.4,0
Encinacorba,zaragoza,encinacorba,50098,1020,182,0,-82.15686274509804,838,82.15686274509804,0,39.7,4.3,0
Santa Eulalia de Gállego,zaragoza,santa-eulalia-de-gallego,50238,924,101,0,-89.06926406926407,823,89.06926406926407,0,39.6,8.9,0
Monreal de Ariza,zaragoza,monreal-de-ariza,50172,680,173,0,-74.55882352941177,507,74.55882352941177,0,39.5,2.9,0
Belmonte de Gracián,zaragoza,belmonte-de-gracian,50046,997,181,0,-81.84553660982948,816,81.84553660982948,0,39.4,4.4,0
La Portellada,teruel,la-portellada,44187,860,241,0,-71.97674418604652,619,71.97674418604652,0,39.4,12.4,0
Valmadrid,zaragoza,valmadrid,50275,202,127,0,-37.12871287128713,75,37.12871287128713,0,39.4,4.7,0
Bueña,teruel,buena,44046,352,55,0,-84.375,297,84.375,0,39.3,12.5,0
Ródenas,teruel,rodenas,44197,415,61,0,-85.3012048192771,354,85.3012048192771,0,39.3,4.9,0
Used,zaragoza,used,50271,1432,260,0,-81.84357541899442,1172,81.84357541899442,0,39.2,4.9,0
Lagata,zaragoza,lagata,50133,503,115,0,-77.13717693836978,388,77.13717693836978,0,39.1,5.2,0
Mesones de Isuela,zaragoza,mesones-de-isuela,50166,613,266,0,-56.6068515497553,347,56.6068515497553,0,39.1,6,0
Mezalocha,zaragoza,mezalocha,50167,510,206,0,-59.6078431372549,304,59.6078431372549,0,39.1,4.3,0
Castejón de las Armas,zaragoza,castejon-de-las-armas,50076,750,88,0,-88.26666666666667,662,88.26666666666667,0,38.9,0,0
Sesa,huesca,sesa,22220,881,162,0,-81.61180476730988,719,81.61180476730988,0,38.9,3.7,0
Agüero,huesca,aguero,22004,1182,140,0,-88.15566835871405,1042,88.15566835871405,0,38.8,5,0
Blancas,teruel,blancas,44042,859,134,0,-84.40046565774156,725,84.40046565774156,0,38.8,8.2,0
Ilche,huesca,ilche,22128,720,185,0,-74.30555555555556,535,74.30555555555556,0,38.8,1.6,0
Torremocha de Jiloca,teruel,torremocha-de-jiloca,44228,420,103,0,-75.47619047619048,317,75.47619047619048,0,38.8,7.8,0
