Sexo,Municipios,Edad (año a año),Periodo,Total
Total,44007 Alba,33 años,2017,3
Total,44007 Alba,34 años,2017,5
Total,44007 Alba,35 años,2017,1
Total,44007 Alba,36 años,2017,6
Total,44007 Alba,37 años,2017,2
Total,44007 Alba,38 años,2017,0
Total,44007 Alba,39 años,2017,1
Total,44007 Alba,40 años,2017,0
Total,44008 Albalate del Arzobispo,19 años,2017,21
Total,44008 Albalate del Arzobispo,20 años,2017,20
Total,44008 Albalate del Arzobispo,21 años,2017,18
Total,44008 Albalate del Arzobispo,22 años,2017,16
Total,44008 Albalate del Arzobispo,23 años,2017,20
Total,44008 Albalate del Arzobispo,24 años,2017,35
Total,44008 Albalate del Arzobispo,25 años,2017,19
Total,44008 Albalate del Arzobispo,26 años,2017,17
Total,44008 Albalate del Arzobispo,27 años,2017,24
Total,44008 Albalate del Arzobispo,28 años,2017,24
Total,44008 Albalate del Arzobispo,29 años,2017,23
Total,44008 Albalate del Arzobispo,30 años,2017,17
Total,44008 Albalate del Arzobispo,31 años,2017,20
Total,44008 Albalate del Arzobispo,32 años,2017,23
Total,44008 Albalate del Arzobispo,33 años,2017,22
Total,44008 Albalate del Arzobispo,34 años,2017,18
Total,44008 Albalate del Arzobispo,35 años,2017,21
Total,44008 Albalate del Arzobispo,36 años,2017,23
Total,44008 Albalate del Arzobispo,37 años,2017,21
Total,44008 Albalate del Arzobispo,38 años,2017,25
Total,44008 Albalate del Arzobispo,39 años,2017,17
Total,44008 Albalate del Arzobispo,40 años,2017,25
Total,44009 Albarracín,19 años,2017,6
Total,44009 Albarracín,20 años,2017,10
Total,44009 Albarracín,21 años,2017,11
Total,44009 Albarracín,22 años,2017,16
Total,44009 Albarracín,23 años,2017,9
Total,44009 Albarracín,24 años,2017,4
Total,44009 Albarracín,25 años,2017,14
Total,44009 Albarracín,26 años,2017,10
Total,44009 Albarracín,27 años,2017,17
Total,44009 Albarracín,28 años,2017,15
Total,44009 Albarracín,29 años,2017,8
Total,44009 Albarracín,30 años,2017,13
Total,44009 Albarracín,31 años,2017,13
Total,44009 Albarracín,32 años,2017,12
Total,44009 Albarracín,33 años,2017,14
Total,44009 Albarracín,34 años,2017,9
Total,44009 Albarracín,35 años,2017,23
Total,44009 Albarracín,36 años,2017,16
Total,44009 Albarracín,37 años,2017,14
Total,44009 Albarracín,38 años,2017,17
Total,44009 Albarracín,39 años,2017,9
Total,44009 Albarracín,40 años,2017,6
Total,44010 Albentosa,19 años,2017,1
Total,44010 Albentosa,20 años,2017,6
Total,44010 Albentosa,21 años,2017,0
Total,44010 Albentosa,22 años,2017,2
Total,44010 Albentosa,23 años,2017,2
Total,44010 Albentosa,24 años,2017,3
Total,44010 Albentosa,25 años,2017,3
Total,44010 Albentosa,26 años,2017,2
Total,44010 Albentosa,27 años,2017,1
Total,44010 Albentosa,28 años,2017,2
Total,44010 Albentosa,29 años,2017,1
Total,44010 Albentosa,30 años,2017,3
Total,44010 Albentosa,31 años,2017,2
Total,44010 Albentosa,32 años,2017,2
Total,44010 Albentosa,33 años,2017,1
Total,44010 Albentosa,34 años,2017,1
Total,44010 Albentosa,35 años,2017,3
Total,44010 Albentosa,36 años,2017,4
Total,44010 Albentosa,37 años,2017,3
Total,44010 Albentosa,38 años,2017,5
Total,44010 Albentosa,39 años,2017,5
Total,44010 Albentosa,40 años,2017,6
Total,44011 Alcaine,19 años,2017,0
Total,44011 Alcaine,20 años,2017,0
Total,44011 Alcaine,21 años,2017,1
Total,44011 Alcaine,22 años,2017,0
Total,44011 Alcaine,23 años,2017,0
Total,44011 Alcaine,24 años,2017,0
Total,44011 Alcaine,25 años,2017,0
Total,44011 Alcaine,26 años,2017,0
Total,44011 Alcaine,27 años,2017,0
Total,44011 Alcaine,28 años,2017,0
Total,44011 Alcaine,29 años,2017,1
Total,44011 Alcaine,30 años,2017,1
Total,44011 Alcaine,31 años,2017,1
Total,44011 Alcaine,32 años,2017,0
Total,44011 Alcaine,33 años,2017,2
Total,44011 Alcaine,34 años,2017,0
Total,44011 Alcaine,35 años,2017,2
Total,44011 Alcaine,36 años,2017,1
Total,44011 Alcaine,37 años,2017,2
Total,44011 Alcaine,38 años,2017,1
Total,44011 Alcaine,39 años,2017,0
Total,44011 Alcaine,40 años,2017,1
Total,44012 Alcalá de la Selva,19 años,2017,2
Total,44012 Alcalá de la Selva,20 años,2017,4
Total,44012 Alcalá de la Selva,21 años,2017,4
Total,44012 Alcalá de la Selva,22 años,2017,5
Total,44012 Alcalá de la Selva,23 años,2017,1
Total,44012 Alcalá de la Selva,24 años,2017,1
Total,44012 Alcalá de la Selva,25 años,2017,3
Total,44012 Alcalá de la Selva,26 años,2017,9
Total,44012 Alcalá de la Selva,27 años,2017,7
Total,44012 Alcalá de la Selva,28 años,2017,4
Total,44012 Alcalá de la Selva,29 años,2017,0
Total,44012 Alcalá de la Selva,30 años,2017,5
Total,44012 Alcalá de la Selva,31 años,2017,1
Total,44012 Alcalá de la Selva,32 años,2017,2
Total,44012 Alcalá de la Selva,33 años,2017,6
Total,44012 Alcalá de la Selva,34 años,2017,4
Total,44012 Alcalá de la Selva,35 años,2017,4
Total,44012 Alcalá de la Selva,36 años,2017,3
Total,44012 Alcalá de la Selva,37 años,2017,6
Total,44012 Alcalá de la Selva,38 años,2017,1
Total,44012 Alcalá de la Selva,39 años,2017,1
Total,44012 Alcalá de la Selva,40 años,2017,4
Total,44013 Alcañiz,19 años,2017,161
Total,44013 Alcañiz,20 años,2017,152
Total,44013 Alcañiz,21 años,2017,122
Total,44013 Alcañiz,22 años,2017,149
Total,44013 Alcañiz,23 años,2017,164
Total,44013 Alcañiz,24 años,2017,151
Total,44013 Alcañiz,25 años,2017,148
Total,44013 Alcañiz,26 años,2017,152
Total,44013 Alcañiz,27 años,2017,154
Total,44013 Alcañiz,28 años,2017,184
Total,44013 Alcañiz,29 años,2017,183
Total,44013 Alcañiz,30 años,2017,207
Total,44013 Alcañiz,31 años,2017,188
Total,44013 Alcañiz,32 años,2017,187
Total,44013 Alcañiz,33 años,2017,170
Total,44013 Alcañiz,34 años,2017,198
Total,44013 Alcañiz,35 años,2017,240
Total,44013 Alcañiz,36 años,2017,255
Total,44013 Alcañiz,37 años,2017,277
Total,44013 Alcañiz,38 años,2017,254
Total,44013 Alcañiz,39 años,2017,266
Total,44013 Alcañiz,40 años,2017,282
Total,44014 Alcorisa,19 años,2017,36
Total,44014 Alcorisa,20 años,2017,38
Total,44014 Alcorisa,21 años,2017,28
Total,44014 Alcorisa,22 años,2017,39
Total,44014 Alcorisa,23 años,2017,41
Total,44014 Alcorisa,24 años,2017,33
Total,44014 Alcorisa,25 años,2017,32
Total,44014 Alcorisa,26 años,2017,32
Total,44014 Alcorisa,27 años,2017,45
Total,44014 Alcorisa,28 años,2017,48
Total,44014 Alcorisa,29 años,2017,33
Total,44014 Alcorisa,30 años,2017,39
Total,44014 Alcorisa,31 años,2017,47
Total,44014 Alcorisa,32 años,2017,34
Total,44014 Alcorisa,33 años,2017,42
Total,44014 Alcorisa,34 años,2017,36
Total,44014 Alcorisa,35 años,2017,45
Total,44014 Alcorisa,36 años,2017,42
Total,44014 Alcorisa,37 años,2017,37
Total,44014 Alcorisa,38 años,2017,43
Total,44014 Alcorisa,39 años,2017,46
Total,44014 Alcorisa,40 años,2017,49
Total,44016 Alfambra,19 años,2017,5
Total,44016 Alfambra,20 años,2017,4
Total,44016 Alfambra,21 años,2017,3
Total,44016 Alfambra,22 años,2017,7
Total,44016 Alfambra,23 años,2017,6
Total,44016 Alfambra,24 años,2017,3
Total,44016 Alfambra,25 años,2017,9
Total,44016 Alfambra,26 años,2017,6
Total,44016 Alfambra,27 años,2017,4
Total,44016 Alfambra,28 años,2017,2
Total,44016 Alfambra,29 años,2017,3
Total,44016 Alfambra,30 años,2017,4
Total,44016 Alfambra,31 años,2017,5
Total,44016 Alfambra,32 años,2017,11
Total,44016 Alfambra,33 años,2017,1
Total,44016 Alfambra,34 años,2017,5
Total,44016 Alfambra,35 años,2017,5
Total,44016 Alfambra,36 años,2017,6
Total,44016 Alfambra,37 años,2017,6
Total,44016 Alfambra,38 años,2017,2
Total,44016 Alfambra,39 años,2017,9
Total,44016 Alfambra,40 años,2017,5
Total,44017 Aliaga,19 años,2017,0
Total,44017 Aliaga,20 años,2017,1
Total,44017 Aliaga,21 años,2017,6
Total,44017 Aliaga,22 años,2017,1
Total,44017 Aliaga,23 años,2017,0
Total,44017 Aliaga,24 años,2017,2
Total,44017 Aliaga,25 años,2017,3
Total,44017 Aliaga,26 años,2017,6
Total,44017 Aliaga,27 años,2017,1
Total,44017 Aliaga,28 años,2017,4
Total,44017 Aliaga,29 años,2017,8
Total,44017 Aliaga,30 años,2017,7
Total,44017 Aliaga,31 años,2017,0
Total,44017 Aliaga,32 años,2017,7
Total,44017 Aliaga,33 años,2017,2
Total,44017 Aliaga,34 años,2017,8
Total,44017 Aliaga,35 años,2017,3
Total,44017 Aliaga,36 años,2017,6
Total,44017 Aliaga,37 años,2017,5
Total,44017 Aliaga,38 años,2017,7
Total,44017 Aliaga,39 años,2017,9
Total,44017 Aliaga,40 años,2017,3
Total,44021 Allepuz,19 años,2017,0
Total,44021 Allepuz,20 años,2017,1
Total,44021 Allepuz,21 años,2017,0
Total,44021 Allepuz,22 años,2017,0
Total,44021 Allepuz,23 años,2017,1
Total,44021 Allepuz,24 años,2017,1
Total,44021 Allepuz,25 años,2017,1
Total,44021 Allepuz,26 años,2017,1
Total,44021 Allepuz,27 años,2017,3
Total,44021 Allepuz,28 años,2017,1
Total,44021 Allepuz,29 años,2017,0
Total,44021 Allepuz,30 años,2017,1
Total,44021 Allepuz,31 años,2017,1
Total,44021 Allepuz,32 años,2017,1
Total,44021 Allepuz,33 años,2017,0
Total,44021 Allepuz,34 años,2017,4
Total,44021 Allepuz,35 años,2017,0
Total,44021 Allepuz,36 años,2017,1
Total,44021 Allepuz,37 años,2017,2
Total,44021 Allepuz,38 años,2017,0
Total,44021 Allepuz,39 años,2017,3
Total,44021 Allepuz,40 años,2017,2
Total,44022 Alloza,19 años,2017,1
Total,44022 Alloza,20 años,2017,4
Total,44022 Alloza,21 años,2017,3
Total,44022 Alloza,22 años,2017,5
Total,44022 Alloza,23 años,2017,8
Total,44022 Alloza,24 años,2017,6
Total,44022 Alloza,25 años,2017,4
Total,44022 Alloza,26 años,2017,7
Total,44022 Alloza,27 años,2017,7
Total,44022 Alloza,28 años,2017,6
Total,44022 Alloza,29 años,2017,8
Total,44022 Alloza,30 años,2017,6
Total,44022 Alloza,31 años,2017,11
Total,44022 Alloza,32 años,2017,7
Total,44022 Alloza,33 años,2017,5
Total,44022 Alloza,34 años,2017,6
Total,44022 Alloza,35 años,2017,6
Total,44022 Alloza,36 años,2017,6
Total,44022 Alloza,37 años,2017,9
Total,44022 Alloza,38 años,2017,4
Total,44022 Alloza,39 años,2017,8
Total,44022 Alloza,40 años,2017,3
Total,44023 Allueva,19 años,2017,0
Total,44023 Allueva,20 años,2017,1
Total,44023 Allueva,21 años,2017,1
Total,44023 Allueva,22 años,2017,0
Total,44023 Allueva,23 años,2017,1
Total,44023 Allueva,24 años,2017,0
Total,44023 Allueva,25 años,2017,0
Total,44023 Allueva,26 años,2017,0
Total,44023 Allueva,27 años,2017,0
Total,44023 Allueva,28 años,2017,0
Total,44023 Allueva,29 años,2017,0
Total,44023 Allueva,30 años,2017,0
Total,44023 Allueva,31 años,2017,0
Total,44023 Allueva,32 años,2017,0
Total,44023 Allueva,33 años,2017,0
Total,44023 Allueva,34 años,2017,0
Total,44023 Allueva,35 años,2017,0
Total,44023 Allueva,36 años,2017,0
Total,44023 Allueva,37 años,2017,1
Total,44023 Allueva,38 años,2017,0
Total,44023 Allueva,39 años,2017,0
Total,44023 Allueva,40 años,2017,0
Total,44018 Almohaja,19 años,2017,0
Total,44018 Almohaja,20 años,2017,0
Total,44018 Almohaja,21 años,2017,0
Total,44018 Almohaja,22 años,2017,0
Total,44018 Almohaja,23 años,2017,0
Total,44018 Almohaja,24 años,2017,0
Total,44018 Almohaja,25 años,2017,0
Total,44018 Almohaja,26 años,2017,0
Total,44018 Almohaja,27 años,2017,0
Total,44018 Almohaja,28 años,2017,0
Total,44018 Almohaja,29 años,2017,0
Total,44018 Almohaja,30 años,2017,0
Total,44018 Almohaja,31 años,2017,0
Total,44018 Almohaja,32 años,2017,0
Total,44018 Almohaja,33 años,2017,1
Total,44018 Almohaja,34 años,2017,0
Total,44018 Almohaja,35 años,2017,0
Total,44018 Almohaja,36 años,2017,0
Total,44018 Almohaja,37 años,2017,1
Total,44018 Almohaja,38 años,2017,0
Total,44018 Almohaja,39 años,2017,0
Total,44018 Almohaja,40 años,2017,1
Total,44019 Alobras,19 años,2017,0
Total,44019 Alobras,20 años,2017,0
Total,44019 Alobras,21 años,2017,0
Total,44019 Alobras,22 años,2017,0
Total,44019 Alobras,23 años,2017,1
Total,44019 Alobras,24 años,2017,0
Total,44019 Alobras,25 años,2017,1
Total,44019 Alobras,26 años,2017,0
Total,44019 Alobras,27 años,2017,2
Total,44019 Alobras,28 años,2017,1
Total,44019 Alobras,29 años,2017,0
Total,44019 Alobras,30 años,2017,1
Total,44019 Alobras,31 años,2017,1
Total,44019 Alobras,32 años,2017,0
Total,44019 Alobras,33 años,2017,0
Total,44019 Alobras,34 años,2017,1
Total,44019 Alobras,35 años,2017,0
Total,44019 Alobras,36 años,2017,0
Total,44019 Alobras,37 años,2017,0
Total,44019 Alobras,38 años,2017,1
Total,44019 Alobras,39 años,2017,1
Total,44019 Alobras,40 años,2017,0
Total,44020 Alpeñés,19 años,2017,0
Total,44020 Alpeñés,20 años,2017,0
Total,44020 Alpeñés,21 años,2017,1
Total,44020 Alpeñés,22 años,2017,1
Total,44020 Alpeñés,23 años,2017,0
Total,44020 Alpeñés,24 años,2017,0
Total,44020 Alpeñés,25 años,2017,1
Total,44020 Alpeñés,26 años,2017,0
Total,44020 Alpeñés,27 años,2017,1
Total,44020 Alpeñés,28 años,2017,0
Total,44020 Alpeñés,29 años,2017,0
Total,44020 Alpeñés,30 años,2017,0
Total,44020 Alpeñés,31 años,2017,0
Total,44020 Alpeñés,32 años,2017,0
Total,44020 Alpeñés,33 años,2017,0
Total,44020 Alpeñés,34 años,2017,0
Total,44020 Alpeñés,35 años,2017,1
Total,44020 Alpeñés,36 años,2017,0
Total,44020 Alpeñés,37 años,2017,0
Total,44020 Alpeñés,38 años,2017,0
Total,44020 Alpeñés,39 años,2017,0
Total,44020 Alpeñés,40 años,2017,0
Total,44024 Anadón,19 años,2017,0
Total,44024 Anadón,20 años,2017,0
Total,44024 Anadón,21 años,2017,1
Total,44024 Anadón,22 años,2017,0
Total,44024 Anadón,23 años,2017,1
Total,44024 Anadón,24 años,2017,0
Total,44024 Anadón,25 años,2017,0
Total,44024 Anadón,26 años,2017,1
Total,44024 Anadón,27 años,2017,0
Total,44024 Anadón,28 años,2017,0
Total,44024 Anadón,29 años,2017,1
Total,44024 Anadón,30 años,2017,1
Total,44024 Anadón,31 años,2017,0
Total,44024 Anadón,32 años,2017,0
Total,44024 Anadón,33 años,2017,0
Total,44024 Anadón,34 años,2017,1
Total,44024 Anadón,35 años,2017,0
Total,44024 Anadón,36 años,2017,0
Total,44024 Anadón,37 años,2017,1
Total,44024 Anadón,38 años,2017,1
Total,44024 Anadón,39 años,2017,1
Total,44024 Anadón,40 años,2017,1
Total,44025 Andorra,19 años,2017,89
Total,44025 Andorra,20 años,2017,79
Total,44025 Andorra,21 años,2017,76
Total,44025 Andorra,22 años,2017,80
Total,44025 Andorra,23 años,2017,95
Total,44025 Andorra,24 años,2017,63
Total,44025 Andorra,25 años,2017,97
Total,44025 Andorra,26 años,2017,97
Total,44025 Andorra,27 años,2017,70
Total,44025 Andorra,28 años,2017,100
Total,44025 Andorra,29 años,2017,94
Total,44025 Andorra,30 años,2017,96
Total,44025 Andorra,31 años,2017,99
Total,44025 Andorra,32 años,2017,102
Total,44025 Andorra,33 años,2017,113
Total,44025 Andorra,34 años,2017,105
Total,44025 Andorra,35 años,2017,104
Total,44025 Andorra,36 años,2017,122
Total,44025 Andorra,37 años,2017,113
Total,44025 Andorra,38 años,2017,121
Total,44025 Andorra,39 años,2017,109
Total,44025 Andorra,40 años,2017,117
Total,44026 Arcos de las Salinas,19 años,2017,0
Total,44026 Arcos de las Salinas,20 años,2017,0
Total,44026 Arcos de las Salinas,21 años,2017,2
Total,44026 Arcos de las Salinas,22 años,2017,1
Total,44026 Arcos de las Salinas,23 años,2017,0
Total,44026 Arcos de las Salinas,24 años,2017,1
Total,44026 Arcos de las Salinas,25 años,2017,1
Total,44026 Arcos de las Salinas,26 años,2017,3
Total,44026 Arcos de las Salinas,27 años,2017,1
Total,44026 Arcos de las Salinas,28 años,2017,2
Total,44026 Arcos de las Salinas,29 años,2017,1
Total,44026 Arcos de las Salinas,30 años,2017,0
Total,44026 Arcos de las Salinas,31 años,2017,2
Total,44026 Arcos de las Salinas,32 años,2017,0
Total,44026 Arcos de las Salinas,33 años,2017,1
Total,44026 Arcos de las Salinas,34 años,2017,0
Total,44026 Arcos de las Salinas,35 años,2017,1
Total,44026 Arcos de las Salinas,36 años,2017,1
Total,44026 Arcos de las Salinas,37 años,2017,1
Total,44026 Arcos de las Salinas,38 años,2017,3
Total,44026 Arcos de las Salinas,39 años,2017,1
Total,44026 Arcos de las Salinas,40 años,2017,4
Total,44027 Arens de Lledó,19 años,2017,2
Total,44027 Arens de Lledó,20 años,2017,3
Total,44027 Arens de Lledó,21 años,2017,0
Total,44027 Arens de Lledó,22 años,2017,2
Total,44027 Arens de Lledó,23 años,2017,1
Total,44027 Arens de Lledó,24 años,2017,1
Total,44027 Arens de Lledó,25 años,2017,1
Total,44027 Arens de Lledó,26 años,2017,1
Total,44027 Arens de Lledó,27 años,2017,1
Total,44027 Arens de Lledó,28 años,2017,1
Total,44027 Arens de Lledó,29 años,2017,1
Total,44027 Arens de Lledó,30 años,2017,0
Total,44027 Arens de Lledó,31 años,2017,1
Total,44027 Arens de Lledó,32 años,2017,0
Total,44027 Arens de Lledó,33 años,2017,2
Total,44027 Arens de Lledó,34 años,2017,1
Total,44027 Arens de Lledó,35 años,2017,2
Total,44027 Arens de Lledó,36 años,2017,0
Total,44027 Arens de Lledó,37 años,2017,1
Total,44027 Arens de Lledó,38 años,2017,3
Total,44027 Arens de Lledó,39 años,2017,1
Total,44027 Arens de Lledó,40 años,2017,1
Total,44028 Argente,19 años,2017,3
Total,44028 Argente,20 años,2017,0
Total,44028 Argente,21 años,2017,2
Total,44028 Argente,22 años,2017,2
