year,province,cp,cities,nacidos,defunciones,saldo
2017,Huesca,22001,Abiego,2,4,-2
2017,Huesca,22002,Abizanda,1,1,0
2017,Huesca,22003,Adahuesca,4,2,2
2017,Huesca,22004,Agüero,0,3,-3
2017,Huesca,22007,Albalate de Cinca,10,16,-6
2017,Huesca,22008,Albalatillo,1,4,-3
2017,Huesca,22009,Albelda,5,15,-10
2017,Huesca,22011,Albero Alto,2,2,0
2017,Huesca,22012,Albero Bajo,0,1,-1
2017,Huesca,22013,Alberuela de Tubo,3,3,0
2017,Huesca,22014,Alcalá de Gurrea,0,5,-5
2017,Huesca,22015,Alcalá del Obispo,0,5,-5
2017,Huesca,22016,Alcampell,5,14,-9
2017,Huesca,22017,Alcolea de Cinca,10,7,3
2017,Huesca,22018,Alcubierre,0,3,-3
2017,Huesca,22019,Alerre,2,3,-1
2017,Huesca,22020,Alfántega,2,1,1
2017,Huesca,22021,Almudévar,21,41,-20
2017,Huesca,22022,Almunia de San Juan,6,10,-4
2017,Huesca,22023,Almuniente,0,4,-4
2017,Huesca,22024,Alquézar,2,4,-2
2017,Huesca,22025,Altorricón,12,20,-8
2017,Huesca,22027,Angüés,1,5,-4
2017,Huesca,22028,Ansó,1,3,-2
2017,Huesca,22032,Aragüés del Puerto,0,2,-2
2017,Huesca,22036,Argavieso,0,1,-1
2017,Huesca,22037,Arguis,1,0,1
2017,Huesca,22035,Arén,0,2,-2
2017,Huesca,22039,Ayerbe,6,26,-20
2017,Huesca,22040,Azanuy-Alins,3,4,-1
2017,Huesca,22041,Azara,2,6,-4
2017,Huesca,22042,Azlor,3,2,1
2017,Huesca,22907,Aínsa-Sobrarbe,20,15,5
2017,Huesca,22006,Aísa,0,1,-1
2017,Huesca,22044,Bailo,0,4,-4
2017,Huesca,22045,Baldellou,0,2,-2
2017,Huesca,22046,Ballobar,4,9,-5
2017,Huesca,22047,Banastás,1,4,-3
2017,Huesca,22048,Barbastro,167,208,-41
2017,Huesca,22049,Barbués,0,0,0
2017,Huesca,22052,Belver de Cinca,12,25,-13
2017,Huesca,22053,Benabarre,5,21,-16
2017,Huesca,22054,Benasque,18,6,12
2017,Huesca,22246,Beranuy,0,3,-3
2017,Huesca,22055,Berbegal,0,5,-5
2017,Huesca,22057,Bielsa,0,4,-4
2017,Huesca,22058,Bierge,0,1,-1
2017,Huesca,22059,Biescas,10,17,-7
2017,Huesca,22060,Binaced,12,17,-5
2017,Huesca,22061,Binéfar,85,90,-5
2017,Huesca,22062,Bisaurri,1,2,-1
2017,Huesca,22063,Biscarrués,0,3,-3
2017,Huesca,22064,Blecua y Torres,0,5,-5
2017,Huesca,22066,Boltaña,6,7,-1
2017,Huesca,22067,Bonansa,1,0,1
2017,Huesca,22069,Broto,5,8,-3
2017,Huesca,22072,Caldearenas,3,3,0
2017,Huesca,22074,Campo,2,9,-7
2017,Huesca,22075,Camporrells,0,0,0
2017,Huesca,22076,Canal de Berdún,0,4,-4
2017,Huesca,22077,Candasnos,1,3,-2
2017,Huesca,22078,Canfranc,0,4,-4
2017,Huesca,22079,Capdesaso,1,0,1
2017,Huesca,22080,Capella,2,6,-4
2017,Huesca,22081,Casbas de Huesca,1,6,-5
2017,Huesca,22083,Castejón de Monegros,1,5,-4
2017,Huesca,22084,Castejón de Sos,4,8,-4
2017,Huesca,22082,Castejón del Puente,2,3,-1
2017,Huesca,22085,Castelflorite,0,3,-3
2017,Huesca,22086,Castiello de Jaca,0,3,-3
2017,Huesca,22087,Castigaleu,1,2,-1
2017,Huesca,22088,Castillazuelo,2,4,-2
2017,Huesca,22089,Castillonroy,1,9,-8
2017,Huesca,22094,Chalamera,0,2,-2
2017,Huesca,22096,Chimillas,2,8,-6
2017,Huesca,22095,Chía,1,1,0
2017,Huesca,22090,Colungo,0,2,-2
2017,Huesca,22099,Esplús,1,7,-6
2017,Huesca,22102,Estada,0,1,-1
2017,Huesca,22103,Estadilla,5,16,-11
2017,Huesca,22105,Estopiñán del Castillo,1,1,0
2017,Huesca,22109,Fiscal,2,1,1
2017,Huesca,22110,Fonz,4,19,-15
2017,Huesca,22111,Foradada del Toscar,2,0,2
2017,Huesca,22112,Fraga,172,125,47
2017,Huesca,22113,Fueva (La),4,8,-4
2017,Huesca,22114,Gistaín,0,3,-3
2017,Huesca,22115,Grado (El),4,5,-1
2017,Huesca,22117,Graus,33,58,-25
2017,Huesca,22116,Grañén,7,33,-26
2017,Huesca,22119,Gurrea de Gállego,14,22,-8
2017,Huesca,22122,Hoz de Jaca,0,1,-1
2017,Huesca,22908,Hoz y Costeán,1,1,0
2017,Huesca,22124,Huerto,1,3,-2
2017,Huesca,22125,Huesca,451,564,-113
2017,Huesca,22126,Ibieca,1,2,-1
2017,Huesca,22127,Igriés,7,9,-2
2017,Huesca,22128,Ilche,0,1,-1
2017,Huesca,22129,Isábena,1,6,-5
2017,Huesca,22130,Jaca,92,145,-53
2017,Huesca,22131,Jasa,0,1,-1
2017,Huesca,22133,Labuerda,0,1,-1
2017,Huesca,22135,Laluenga,1,6,-5
2017,Huesca,22136,Lalueza,4,15,-11
2017,Huesca,22137,Lanaja,8,23,-15
2017,Huesca,22141,Lascellas-Ponzano,1,1,0
2017,Huesca,22142,Lascuarre,1,1,0
2017,Huesca,22143,Laspaúles,0,2,-2
2017,Huesca,22144,Laspuña,4,4,0
2017,Huesca,22149,Loarre,0,5,-5
2017,Huesca,22150,Loporzano,3,4,-1
2017,Huesca,22151,Loscorrales,1,3,-2
2017,Huesca,22905,Lupiñén-Ortilla,2,6,-4
2017,Huesca,22155,Monesma y Cajigar,0,5,-5
2017,Huesca,22156,Monflorite-Lascasas,4,4,0
2017,Huesca,22157,Montanuy,1,7,-6
2017,Huesca,22158,Monzón,147,194,-47
2017,Huesca,22160,Naval,3,2,1
2017,Huesca,22162,Novales,2,1,1
2017,Huesca,22163,Nueno,2,3,-1
2017,Huesca,22165,Ontiñena,4,6,-2
2017,Huesca,22167,Osso de Cinca,4,10,-6
2017,Huesca,22168,Palo,0,1,-1
2017,Huesca,22170,Panticosa,5,6,-1
2017,Huesca,22174,Peralta de Alcofea,2,10,-8
2017,Huesca,22175,Peralta de Calasanz,1,4,-3
2017,Huesca,22176,Peraltilla,2,2,0
2017,Huesca,22177,Perarrúa,1,2,-1
2017,Huesca,22178,Pertusa,1,2,-1
2017,Huesca,22172,Peñalba,2,13,-11
2017,Huesca,22173,Peñas de Riglos (Las),0,5,-5
2017,Huesca,22181,Piracés,0,1,-1
2017,Huesca,22182,Plan,2,4,-2
2017,Huesca,22184,Poleñino,1,2,-1
2017,Huesca,22186,Pozán de Vero,2,2,0
2017,Huesca,22187,Puebla de Castro (La),1,4,-3
2017,Huesca,22188,Puente de Montañana,0,2,-2
2017,Huesca,22902,Puente la Reina de Jaca,0,2,-2
2017,Huesca,22190,Pueyo de Araguás (El),1,3,-2
2017,Huesca,22193,Pueyo de Santa Cruz,2,4,-2
2017,Huesca,22189,Puértolas,3,3,0
2017,Huesca,22195,Quicena,0,2,-2
2017,Huesca,22197,Robres,3,8,-5
2017,Huesca,22199,Sabiñánigo,67,107,-40
2017,Huesca,22200,Sahún,3,7,-4
2017,Huesca,22201,Salas Altas,1,2,-1
2017,Huesca,22202,Salas Bajas,0,5,-5
2017,Huesca,22203,Salillas,1,4,-3
2017,Huesca,22204,Sallent de Gállego,8,12,-4
2017,Huesca,22205,San Esteban de Litera,1,9,-8
2017,Huesca,22207,San Juan de Plan,2,1,1
2017,Huesca,22903,San Miguel del Cinca,7,12,-5
2017,Huesca,22206,Sangarrén,2,2,0
2017,Huesca,22208,Santa Cilia,5,2,3
2017,Huesca,22209,Santa Cruz de la Serós,2,2,0
2017,Huesca,22906,Santa María de Dulcis,0,4,-4
2017,Huesca,22213,Sariñena,44,42,2
2017,Huesca,22214,Secastilla,2,0,2
2017,Huesca,22215,Seira,1,2,-1
2017,Huesca,22217,Sena,0,7,-7
2017,Huesca,22220,Sesa,0,6,-6
2017,Huesca,22221,Sesué,1,2,-1
2017,Huesca,22222,Siétamo,6,4,2
2017,Huesca,22223,Sopeira,0,2,-2
2017,Huesca,22904,Sotonera (La),2,20,-18
2017,Huesca,22225,Tamarite de Litera,23,47,-24
2017,Huesca,22226,Tardienta,4,14,-10
2017,Huesca,22227,Tella-Sin,1,4,-3
2017,Huesca,22228,Tierz,6,6,0
2017,Huesca,22229,Tolva,0,5,-5
2017,Huesca,22230,Torla-Ordesa,3,3,0
2017,Huesca,22232,Torralba de Aragón,0,3,-3
2017,Huesca,22233,Torre la Ribera,1,1,0
2017,Huesca,22234,Torrente de Cinca,0,10,-10
2017,Huesca,22235,Torres de Alcanadre,0,2,-2
2017,Huesca,22236,Torres de Barbués,0,4,-4
2017,Huesca,22239,Tramaced,1,1,0
2017,Huesca,22242,Valfarta,0,2,-2
2017,Huesca,22901,Valle de Hecho,3,8,-5
2017,Huesca,22244,Valle de Lierp,0,1,-1
2017,Huesca,22245,Velilla de Cinca,2,6,-4
