cp,municipio,población,superficie,densidad
50266,Trasobares,123,71.76,1.71
50267,Uncastillo,625,230.87,2.70
50268,Undués de Lerda,52,42.99,1.20
50269,Urrea de Jalón,438,25.64,17.08
50270,Urriés,49,37.27,1.31
50271,Used,269,85.29,3.15
50272,Utebo,18955,17.72,1069.69
50273,Valdehorna,32,7.95,4.02
50274,Val de San Martín,62,25.66,2.41
50275,Valmadrid,126,50.57,2.49
50276,Valpalmas,136,39.79,3.41
50277,Valtorres,72,3.29,21.88
50278,Velilla de Ebro,202,59.79,3.37
50279,Velilla de Jiloca,67,10,6.70
50280,Vera de Moncayo,315,27.66,11.38
50281,Vierlas,85,2.67,31.83
50282,La Vilueña,63,8.61,7.31
50283,Villadoz,82,17.18,4.77
50284,Villafeliche,146,22,6.63
50285,Villafranca de Ebro,840,63.64,13.19
50286,Villalba de Perejil,91,13.33,6.82
50287,Villalengua,289,40.16,7.19
50288,Villanueva de Gállego,4806,75.99,63.24
50289,Villanueva de Jiloca,69,75.99,.90
50290,Villanueva de Huerva,385,75.99,5.06
50291,Villar de los Navarros,148,49,3.02
50292,Villarreal de Huerva,278,27.13,10.24
50293,Villarroya de la Sierra,430,91,4.72
50294,Villarroya del Campo,71,91,.78
50295,Vistabella,51,21.82,2.33
50296,La Zaida,439,17.27,25.41
50297,Zaragoza,682513,973.78,700.89
50298,Zuera,8677,332.25,26.11
50901,Biel,167,130.73,1.27
50902,Marracos,87,16.92,5.14
50903,Villamayor de Gállego,2866,89.36,32.07
