cp,municipio,población,superficie,densidad
44059,Cantavieja,726,124.56,5.82
44060,Cañada de Benatanduz,34,34.89,.97
44061,La Cañada de Verich,88,10.86,8.10
44062,Cañada Vellida,40,23,1.73
44063,Cañizar del Olivar,103,22.29,4.62
44064,Cascante del Río,70,32.38,2.16
44065,Castejón de Tornos,68,17.56,3.87
44066,Castel de Cabra,89,29.44,3.02
44067,Castelnou,108,37.09,2.91
44068,Castelserás,795,31.52,25.22
44070,El Castellar,55,50.33,1.09
44071,Castellote,678,235.18,2.88
44074,Cedrillas,653,73.57,8.87
44075,Celadas,345,100.45,3.43
44076,Cella,2644,124.68,21.20
44077,La Cerollera,75,33.75,2.22
44080,La Codoñera,320,20.97,15.25
44082,Corbalán,113,82.44,1.37
44084,Cortes de Aragón,61,24.43,2.49
44085,Cosa,61,54.81,1.11
44086,Cretas,556,52.66,10.55
44087,Crivillén,90,42.03,2.14
44088,La Cuba,49,6.51,7.52
44089,Cubla,71,48.63,1.46
44090,Cucalón,78,31.93,2.44
44092,El Cuervo,98,20.76,4.72
44093,Cuevas de Almudén,119,35.85,3.31
44094,Cuevas Labradas,135,40.81,3.30
44096,Ejulve,176,109.49,1.60
44097,Escorihuela,141,56.99,2.47
44099,Escucha,766,41.57,18.42
44100,Estercuel,196,55.59,3.52
44101,Ferreruela de Huerva,71,20.44,3.47
44102,Fonfría,32,20.58,1.55
44103,Formiche Alto,159,78.17,2.03
44105,Fórnoles,84,32.56,2.57
44106,Fortanete,222,168.21,1.31
44107,Foz-Calanda,279,37.87,7.36
44108,La Fresneda,463,39.48,11.72
44109,Frías de Albarracín,111,50.79,2.18
44110,Fuenferrada,37,24.53,1.50
44111,Fuentes Calientes,81,25.01,3.23
44112,Fuentes Claras,435,36.91,11.78
44113,Fuentes de Rubielos,169,38.91,4.34
44114,Fuentespalda,288,39,7.38
44115,Galve,144,61.23,2.35
44116,Gargallo,91,30.08,3.02
44117,Gea de Albarracín,452,57,7.92
44118,La Ginebrosa,192,80,2.40
44119,Griegos,140,31.77,4.40
44120,Guadalaviar,242,28.08,8.61
44121,Gúdar,70,60.77,1.15
44122,Híjar,1797,165.36,10.86
44123,Hinojosa de Jarque,104,36.47,2.85
44124,La Hoz de la Vieja,87,43.73,1.98
44125,Huesa del Común,64,61.69,1.03
44126,La Iglesuela del Cid,382,40.29,9.48
44127,Jabaloyas,74,61.73,1.19
44128,Jarque de la Val,64,29.23,2.18
44129,Jatiel,46,10.84,4.24
44130,Jorcas,43,26,1.65
44131,Josa,37,28.23,1.31
44132,Lagueruela,72,26.32,2.73
44133,Lanzuela,28,14.22,1.96
44135,Libros,101,37.91,2.66
44136,Lidón,51,40,1.27
44137,Linares de Mora,232,116.28,1.99
44138,Loscos,116,71.78,1.61
44141,Lledó,171,15.61,10.95
44142,Maicas,32,24.74,1.29
44143,Manzanera,540,168.66,3.20
44144,Martín del Río,370,54.88,6.74
44145,Mas de las Matas,1237,29.99,41.24
44146,La Mata de los Olmos,281,23.73,11.84
44147,Mazaleón,487,86.25,5.64
44148,Mezquita de Jarque,82,31.14,2.63
44149,Mirambel,105,45.47,2.30
44150,Miravete de la Sierra,28,36.51,.76
44151,Molinos,225,79.61,2.82
44152,Monforte de Moyuela,83,47.74,1.73
44153,Monreal del Campo,2486,89.05,27.91
44154,Monroyo,315,79.23,3.97
44155,Montalbán,1180,82.04,14.38
44156,Monteagudo del Castillo,43,44.36,.96
44157,Monterde de Albarracín,56,45.21,1.23
44158,Mora de Rubielos,1568,166.23,9.43
44159,Moscardón,56,26.93,2.07
44160,Mosqueruela,538,265.03,2.02
44161,Muniesa,571,129,4.42
44163,Noguera de Albarracín,131,47.44,2.76
44164,Nogueras,32,18.85,1.69
44165,Nogueruelas,192,99.49,1.92
44167,Obón,35,68.38,.51
44168,Odón,207,74.24,2.78
44169,Ojos Negros,330,90.92,3.62
44171,Olba,279,20.99,13.29
44172,Oliete,349,85.48,4.08
44173,Los Olmos,119,43.97,2.70
44174,Orihuela del Tremedal,453,71.52,6.33
44175,Orrios,122,35,3.48
44176,Palomar de Arroyos,167,33.62,4.96
44177,Pancrudo,114,100.12,1.13
44178,Las Parras de Castellote,61,42.13,1.44
44179,Peñarroya de Tastavins,443,83.28,5.31
44180,Peracense,75,28.66,2.61
44181,Peralejos,86,36,2.38
44182,Perales del Alfambra,264,104.24,2.53
44183,Pitarque,65,54.35,1.19
44184,Plou,49,17.21,2.84
44185,El Pobo,102,63,1.61
44187,La Portellada,242,21.37,11.32
44189,Pozondón,54,67.64,.79
44190,Pozuel del Campo,66,27.85,2.36
44191,La Puebla de Híjar,917,17.03,53.84
44192,La Puebla de Valverde,470,17.03,27.59
44193,Puertomingalvo,137,103.62,1.32
44194,Ráfales,150,35.61,4.21
44195,Rillo,97,53.31,1.81
44196,Riodeva,132,34.34,3.84
44197,Ródenas,62,44.26,1.40
44198,Royuela,231,32,7.21
44199,Rubiales,42,27.42,1.53
44200,Rubielos de la Cérida,30,66,.45
44201,Rubielos de Mora,627,66,9.50
44203,Salcedillo,10,16.89,.59
