population,year
15.326,1900
15.511,1910
15.605,1920
15.367,1930
13.673,1940
13.282,1950
11.849,1960
8.504,1970
6.076,1981
5.392,1991
4.854,2001
4.863,2011
4.423,2018
4.377,2019
15.326,
15.511,
15.605,
15.367,
13.673,
13.282,
11.849,
8.504,
6.076,
5.392,
4.854,
4.863,
4.423,
4.377,
