population,year
20.864,1900
21.311,1910
21.586,1920
20.498,1930
17.836,1940
16.448,1950
13.753,1960
11.379,1970
9.670,1981
8.771,1991
8.005,2001
7.943,2011
8.222,2018
8.502,2019
20.864,
21.311,
21.586,
20.498,
17.836,
16.448,
13.753,
11.379,
9.670,
8.771,
8.005,
7.943,
8.222,
8.502,
