population,year
21.601,1900
23.469,1910
22.553,1920
22.218,1930
20.382,1940
21.997,1950
21.531,1960
15.847,1970
13.870,1981
11.055,1991
9.362,2001
8.803,2011
8.067,2018
8.016,2019
21.601,
23.469,
22.553,
22.218,
20.382,
21.997,
21.531,
15.847,
13.870,
11.055,
9.362,
8.803,
8.067,
8.016,
