population,year
15.605,1900
16.979,1910
17.490,1920
17.502,1930
16.362,1940
15.992,1950
14.185,1960
11.292,1970
9.665,1981
8.484,1991
7.329,2001
6.932,2011
6.383,2018
6.224,2019
15.605,
16.979,
17.490,
17.502,
16.362,
15.992,
14.185,
11.292,
9.665,
8.484,
7.329,
6.932,
6.383,
6.224,
