population,year
27.099,1900
29.108,1910
28.944,1920
28.971,1930
27.203,1940
26.432,1950
25.008,1960
23.566,1970
23.841,1981
24.772,1991
25.230,2001
28.769,2011
28.265,2018
27.883,2019
27.099,
29.108,
28.944,
28.971,
27.203,
26.432,
25.008,
23.566,
23.841,
24.772,
25.230,
28.769,
28.265,
27.883,
