population,year
13.500,1900
13.813,1910
13.604,1920
13.650,1930
12.589,1940
12.424,1950
13.411,1960
12.687,1970
12.501,1981
12.297,1991
12.176,2001
14.558,2011
13.474,2018
13.462,2019
