population,year
33.554,1900
33.639,1910
32.896,1920
31.128,1930
29.103,1940
25.135,1950
22.948,1960
16.475,1970
12.838,1981
11.765,1991
11.607,2001
12.674,2011
11.678,2018
11.684,2019
