population,year
16.920,1900
19.365,1910
20.892,1920
20.068,1930
20.426,1940
21.088,1950
21.132,1960
21.331,1970
20.387,1981
19.208,1991
18.240,2001
18.689,2011
18.079,2018
18.159,2019
