Sexo,Municipios,Edad (año a año),Periodo,Total
Total,50001 Abanto,66 años,2020,1
Total,50001 Abanto,67 años,2020,1
Total,50001 Abanto,68 años,2020,1
Total,50001 Abanto,69 años,2020,1
Total,50001 Abanto,70 años,2020,3
Total,50001 Abanto,71 años,2020,3
Total,50001 Abanto,72 años,2020,2
Total,50001 Abanto,73 años,2020,0
Total,50001 Abanto,74 años,2020,2
Total,50001 Abanto,75 años,2020,4
Total,50001 Abanto,76 años,2020,0
Total,50001 Abanto,77 años,2020,2
Total,50001 Abanto,78 años,2020,1
Total,50001 Abanto,79 años,2020,1
Total,50001 Abanto,80 años,2020,1
Total,50001 Abanto,81 años,2020,1
Total,50001 Abanto,82 años,2020,0
Total,50001 Abanto,83 años,2020,1
Total,50001 Abanto,84 años,2020,0
Total,50001 Abanto,85 años,2020,2
Total,50001 Abanto,86 años,2020,2
Total,50001 Abanto,87 años,2020,0
Total,50001 Abanto,88 años,2020,4
Total,50001 Abanto,89 años,2020,2
Total,50001 Abanto,90 años,2020,0
Total,50001 Abanto,91 años,2020,2
Total,50001 Abanto,92 años,2020,0
Total,50001 Abanto,93 años,2020,2
Total,50001 Abanto,94 años,2020,0
Total,50001 Abanto,95 años,2020,0
Total,50001 Abanto,96 años,2020,0
Total,50001 Abanto,97 años,2020,0
Total,50001 Abanto,98 años,2020,0
Total,50001 Abanto,99 años,2020,0
Total,50001 Abanto,100 y más años,2020,1
Total,50002 Acered,66 años,2020,4
Total,50002 Acered,67 años,2020,3
Total,50002 Acered,68 años,2020,3
Total,50002 Acered,69 años,2020,1
Total,50002 Acered,70 años,2020,6
Total,50002 Acered,71 años,2020,5
Total,50002 Acered,72 años,2020,1
Total,50002 Acered,73 años,2020,5
Total,50002 Acered,74 años,2020,1
Total,50002 Acered,75 años,2020,1
Total,50002 Acered,76 años,2020,3
Total,50002 Acered,77 años,2020,0
Total,50002 Acered,78 años,2020,5
Total,50002 Acered,79 años,2020,2
Total,50002 Acered,80 años,2020,1
Total,50002 Acered,81 años,2020,2
Total,50002 Acered,82 años,2020,0
Total,50002 Acered,83 años,2020,7
Total,50002 Acered,84 años,2020,2
