population,year
48.566,1900
50.075,1910
51.215,1920
52.356,1930
49.554,1940
50.605,1950
49.143,1960
51.393,1970
56.707,1981
57.604,1991
59.250,2001
66.982,2011
66.605,2018
67.271,2019
