cp,name,percentage
50001,Abanto,3.09
50002,Acered,0.60
50003,Agón,-6.16
50004,Aguarón,0.79
50005,Aguilón,6.80
50006,Ainzón,-0.73
50007,Aladrén,0
50008,Alagón,0.97
50009,Alarba,-6.76
50010,Alberite de San Juan,-4.16
50011,Albeta,0.75
50012,Alborge,-0.92
50013,Alcalá de Ebro,-1.99
50014,Alcalá de Moncayo,-0.69
50015,Alconchel de Ariza,-1.58
50016,Aldehuela de Liestos,-2.04
50017,Alfajarín,0.12
50018,Alfamén,0.34
50019,Alforque,9.67
50020,Alhama de Aragón,-1.54
50021,Almochuel,-13.79
50022,La Almolda,-2.46
50023,Almonacid de la Cuba,-3.57
50024,Almonacid de la Sierra,6.36
50025,La Almunia de Doña Godina,1.68
50026,Alpartir,-4.14
50027,Ambel,-0.78
50028,Anento,11.57
50029,Aniñón,-0.28
50030,Añón de Moncayo,-0.46
50031,Aranda de Moncayo,-5.00
50032,Arándiga,-2.26
50033,Ardisa,-2.77
50034,Ariza,-2.10
50035,Artieda,9.58
50036,Asín,14.58
50037,Atea,-3.20
50038,Ateca,-1.72
50039,Azuara,-0.55
50040,Badules,2.40
50041,Bagüés,41.66
50042,Balconchán,-5.88
50043,Bárboles,-2.33
50044,Bardallur,-2.68
50045,Belchite,-1.50
50046,Belmonte de Gracián,-0.50
50047,Berdejo,0
50048,Berrueco,3.03
50050,Bijuesca,-4.08
50051,Biota,-0.73
50052,Bisimbre,-5.15
50053,Boquiñeni,-2.59
50054,Bordalba,0
50055,Borja,0.95
50056,Botorrita,-2.00
50057,Brea de Aragón,-3.36
50058,Bubierca,4.76
50059,Bujaraloz,-1.99
50060,Bulbuente,1.84
50061,Bureta,-1.38
50062,El Burgo de Ebro,0.16
50063,El Buste,-8.33
50064,Cabañas de Ebro,1.40
50065,Cabolafuente,3.12
50066,Cadrete,3.62
50067,Calatayud,-0.05
50068,Calatorao,0.69
50069,Calcena,-4.00
50070,Calmarza,-3.38
50071,Campillo de Aragón,-1.34
50072,Carenas,20.33
50073,Cariñena,0.79
50074,Caspe,2.34
50075,Castejón de Alarba,-1.08
50076,Castejón de las Armas,-3.33
50077,Castejón de Valdejasa,-4.97
50078,Castiliscar,-0.75
50079,Cervera de la Cañada,0
50080,Cerveruela,-5.71
50081,Cetina,0.16
50082,Cimballa,4.30
50083,Cinco Olivas,-5.35
50084,Clarés de Ribota,1.53
50085,Codo,1.51
50086,Codos,27.86
50087,Contamina,0
50088,Cosuenda,-0.81
50089,Cuarte de Huerva,1.89
50090,Cubel,-7.73
50091,Cuerlas Las,5.12
50092,Chiprana,2.95
50093,Chodes,-7.96
50094,Daroca,-0.65
50095,Ejea de los Caballeros,1.07
50096,Embid de Ariza,2.77
50098,Encinacorba,-5.82
50099,Épila,-0.36
50100,Erla,-0.86
50101,Escatrón,2.43
50102,Fabara,-2.34
50104,Farlete,-1.81
50105,Fayón,7.06
50106,Fayos Los,-1.41
50107,Figueruelas,1.53
50108,Fombuena,3.70
50109,Frago El,0
50110,Frasno El,-1.04
50111,Fréscano,0.99
50113,Fuendejalón,-1.89
50114,Fuendetodos,19.83
50115,Fuentes de Ebro,-0.85
50116,Fuentes de Jiloca,0.87
50117,Gallocanta,-1.29
50118,Gallur,-1.21
50119,Gelsa,1.80
50120,Godojos,0
50121,Gotor,3.92
50122,Grisel,10.44
50123,Grisén,-1.34
50124,Herrera de los Navarros,0
50125,Ibdes,0
50126,Illueca,-1.34
50128,Isuerre,0
50129,Jaraba,0
50130,Jarque,-0.22
50131,Jaulín,-0.84
50132,Joyosa La,0.09
50133,Lagata,0
50134,Langa del Castillo,-8.33
50135,Layana,-3.00
50136,Lécera,-4.23
50137,Leciñena,-0.60
50138,Lechón,-3.77
50139,Letux,6.43
50140,Litago,-3.01
50141,Lituénigo,-5.51
50142,Lobera de Onsella,0
50143,Longares,6.29
50144,Longás,-11.42
50146,Lucena de Jalón,1.26
50147,Luceni,1.16
50148,Luesia,-7.09
