year,province,cp,cities,nacidos,defunciones,saldo
2017,Zaragoza,50001,Abanto,0,3,-3
2017,Zaragoza,50002,Acered,0,4,-4
2017,Zaragoza,50004,Aguarón,4,15,-11
2017,Zaragoza,50005,Aguilón,1,2,-1
2017,Zaragoza,50003,Agón,1,7,-6
2017,Zaragoza,50006,Ainzón,6,26,-20
2017,Zaragoza,50008,Alagón,53,60,-7
2017,Zaragoza,50009,Alarba,0,4,-4
2017,Zaragoza,50011,Albeta,1,2,-1
2017,Zaragoza,50013,Alcalá de Ebro,0,4,-4
2017,Zaragoza,50014,Alcalá de Moncayo,0,4,-4
2017,Zaragoza,50015,Alconchel de Ariza,1,0,1
2017,Zaragoza,50017,Alfajarín,22,26,-4
2017,Zaragoza,50018,Alfamén,11,13,-2
2017,Zaragoza,50019,Alforque,0,1,-1
2017,Zaragoza,50020,Alhama de Aragón,7,11,-4
2017,Zaragoza,50022,Almolda (La),3,9,-6
2017,Zaragoza,50023,Almonacid de la Cuba,1,10,-9
2017,Zaragoza,50024,Almonacid de la Sierra,7,20,-13
2017,Zaragoza,50025,Almunia de Doña Godina (La),81,94,-13
2017,Zaragoza,50026,Alpartir,2,5,-3
2017,Zaragoza,50027,Ambel,1,3,-2
2017,Zaragoza,50029,Aniñón,1,13,-12
2017,Zaragoza,50031,Aranda de Moncayo,0,3,-3
2017,Zaragoza,50034,Ariza,10,19,-9
2017,Zaragoza,50035,Artieda,0,1,-1
2017,Zaragoza,50032,Arándiga,1,6,-5
2017,Zaragoza,50036,Asín,0,2,-2
2017,Zaragoza,50037,Atea,2,4,-2
2017,Zaragoza,50038,Ateca,8,23,-15
2017,Zaragoza,50039,Azuara,3,6,-3
2017,Zaragoza,50030,Añón de Moncayo,1,4,-3
2017,Zaragoza,50044,Bardallur,2,7,-5
2017,Zaragoza,50045,Belchite,9,27,-18
2017,Zaragoza,50046,Belmonte de Gracián,1,8,-7
2017,Zaragoza,50901,Biel,0,5,-5
2017,Zaragoza,50050,Bijuesca,0,3,-3
2017,Zaragoza,50051,Biota,0,24,-24
