population,year
26.263,1900
26.230,1910
25.664,1920
26.273,1930
24.356,1940
23.802,1950
20.782,1960
17.663,1970
16.675,1981
15.686,1991
16.274,2001
17.807,2011
17.302,2018
17.384,2019
