population,year
22.233,1900
24.254,1910
25.492,1920
23.303,1930
22.993,1940
23.209,1950
26.033,1960
23.475,1970
22.978,1981
22.666,1991
22.254,2001
24.552,2011
24.425,2018
24.589,2019
