year,name,menor,mayor,population
2024,Mianos,0.0,39.3,28
2024,Miedes de Aragón,8.2,29.7,404
2024,Monegrillo,5.9,36.4,376
2024,Moneva,7.5,34.2,120
2024,Monreal de Ariza,2.9,39.5,172
2024,Monterde,2.6,40.9,154
2024,Montón,6.3,44.2,95
2024,Morata de Jalón,8.7,30.9,1086
2024,Morata de Jiloca,6.8,29.3,249
2024,Morés,7.5,36.4,305
2024,Moros,1.5,38.3,269
2024,Moyuela,0.0,47.1,227
2024,Mozota,10.8,33.8,130
2024,Muel,13.9,21.6,1491
2024,La Muela,20.6,10.1,6569
2024,Munébrega,6.8,28.5,368
2024,Murero,2.2,37.0,92
2024,Murillo de Gállego,8.3,22.1,204
2024,Navardún,0.0,36.8,38
2024,Nigüella,0.0,48.4,62
2024,Nombrevilla,5.1,38.5,39
2024,Nonaspe,12.8,27.1,1017
2024,Novallas,12.9,24.6,861
2024,Novillas,6.0,34.9,502
2024,Nuévalos,11.6,24.2,310
2024,Nuez de Ebro,15.6,20.3,906
2024,Olvés,8.9,36.6,112
2024,Orcajo,1.7,44.1,59
2024,Orera,4.0,32.7,101
2024,Orés,2.7,36.5,74
2024,Oseja,0.0,38.6,44
2024,Osera de Ebro,11.0,26.1,429
2024,Paniza,9.9,30.7,574
2024,Paracuellos de Jiloca,10.4,23.2,613
2024,Paracuellos de la Ribera,0.0,44.6,112
2024,Pastriz,12.8,21.0,1314
2024,Pedrola,15.1,18.7,3757
2024,Las Pedrosas,8.0,30.1,113
2024,Perdiguera,9.8,23.0,543
2024,Piedratajada,1.0,46.4,97
2024,Pina de Ebro,14.1,20.2,2445
2024,Pinseque,18.8,13.7,4541
2024,Los Pintanos,0.0,59.0,39
2024,Plasencia de Jalón,12.1,24.7,381
2024,Pleitas,13.3,33.3,30
2024,Plenas,7.1,44.2,113
2024,Pomer,0.0,33.3,24
2024,Pozuel de Ariza,20.8,37.5,24
2024,Pozuelo de Aragón,6.4,33.7,249
2024,Pradilla de Ebro,8.5,27.6,565
2024,Puebla de Albortón,3.6,32.1,137
2024,Puebla de La Alfindén,20.4,9.9,6518
2024,Puendeluna,0.0,42.9,42
2024,Purujosa,0.0,27.6,29
2024,Quinto,13.0,26.0,1880
2024,Remolinos,8.7,31.4,1024
2024,Retascón,6.8,30.1,73
2024,Ricla,11.1,16.1,2998
2024,Romanos,7.6,45.1,144
2024,Rueda de Jalón,12.9,29.1,326
2024,Ruesca,8.7,14.5,69
2024,Sádaba,8.4,28.5,1268
2024,Salillas de Jalón,14.1,24.7,361
2024,Salvatierra de Esca,15.5,25.4,193
2024,Samper del Salz,7.3,41.5,82
2024,San Martín de la Virgen de Moncayo,12.4,31.4,274
2024,San Mateo de Gállego,15.4,18.9,3417
2024,Santa Cruz de Grío,5.8,33.7,104
2024,Santa Cruz de Moncayo,11.3,26.6,124
2024,Santa Eulalia de Gállego,8.9,39.6,101
2024,Santed,1.4,43.7,71
2024,Sástago,12.6,32.6,1093
2024,Saviñán,10.4,32.3,690
2024,Sediles,9.8,37.5,112
2024,Sestrica,3.2,32.1,340
2024,Sierra de Luna,11.3,29.2,257
2024,Sigüés,9.9,35.2,71
2024,Sisamón,2.1,44.7,47
2024,Sobradiel,16.4,19.7,1137
2024,Sos del Rey Católico,9.9,34.0,586
2024,Tabuenca,5.1,38.3,311
2024,Talamantes,12.2,28.0,82
2024,Tarazona,14.1,22.6,10766
