year,total
1900,421023
1910,449501
1920,498590
1930,530127
1940,574566
1950,609393
1960,641115
1970,757433
1981,828588
1991,837327
2001,861855
2011,975395
2020,972528
2021,973684
2022,968884
2023,979365

