year,cp,population,name,
2011,50001,130,Abanto
2011,50002,198,Acered
2011,50003,164,Agón
2011,50004,873,Aguarón
2011,50005,258,Aguilón
2011,50006,1245,Ainzón
2011,50007,67,Aladrén
2011,50008,7112,Alagón
2011,50009,160,Alarba
2011,50010,99,Alberite de San Juan
2011,50011,149,Albeta
2011,50012,121,Alborge
2011,50013,283,Alcalá de Ebro
2011,50014,205,Alcalá de Moncayo
2011,50015,96,Alconchel de Ariza
2011,50016,52,Aldehuela de Liestos
2011,50017,2215,Alfajarín
2011,50018,1577,Alfamén
2011,50019,87,Alforque
2011,50020,1146,Alhama de Aragón
2011,50021,37,Almochuel
2011,50022,615,La Almolda
2011,50023,270,Almonacid de la Cuba
2011,50024,824,Almonacid de la Sierra
2011,50025,7851,La Almunia de Doña Godina
2011,50026,570,Alpartir
2011,50027,290,Ambel
2011,50028,133,Anento
2011,50029,803,Aniñón
2011,50030,208,Añón de Moncayo
2011,50031,208,Aranda de Moncayo
2011,50032,412,Arándiga
2011,50033,85,Ardisa
2011,50034,1286,Ariza
2011,50035,92,Artieda
2011,50036,110,Asín
2011,50037,128,Atea
2011,50038,2160,Ateca
2011,50039,702,Azuara
2011,50040,100,Badules
2011,50041,21,Bagüés
2011,50042,15,Balconchán
2011,50043,326,Bárboles
2011,50044,328,Bardallur
2011,50045,1683,Belchite
2011,50046,236,Belmonte de Gracián
2011,50047,71,Berdejo
2011,50048,45,Berrueco
2011,50901,166,Bijuesca
2011,50050,115,Biota
2011,50051,1095,Bisimbre
2011,50052,108,Boquiñeni
2011,50053,985,Bordalba
2011,50054,73,Borja
2011,50055,5020,Botorrita
2011,50056,526,Brea de Aragón
2011,50057,1816,Bubierca
2011,50058,82,Bujaraloz
2011,50059,1048,Bulbuente
2011,50060,241,Bureta
2011,50061,272,El Burgo de Ebro
2011,50062,2341,El Buste
2011,50063,83,Cabañas de Ebro
2011,50064,550,Cabolafuente
2011,50065,46,Cadrete
2011,50066,3177,Calatayud
2011,50067,20837,Calatorao
2011,50068,3054,Calcena
2011,50069,70,Calmarza
2011,50070,105,Campillo de Aragón
2011,50071,151,Carenas
2011,50072,195,Cariñena
2011,50073,3728,Caspe
2011,50074,9871,Castejón de Alarba
2011,50075,97,Castejón de las Armas
2011,50076,121,Castejón de Valdejasa
2011,50077,274,Castiliscar
2011,50078,328,Cervera de la Cañada
2011,50079,313,Cerveruela
2011,50080,46,Cetina
2011,50081,687,Cimballa
2011,50092,465,Cinco Olivas
2011,50093,147,Clarés de Ribota
2011,50082,127,Codo
2011,50083,125,Codos
2011,50084,97,Contamina
2011,50085,213,Cosuenda
2011,50086,251,Cuarte de Huerva
2011,50087,39,Cubel
2011,50088,413,Las Cuerlas
2011,50089,9564,Chiprana
2011,50090,194,Chodes
2011,50091,62,Daroca
2011,50094,2313,Ejea de los Caballeros
2011,50095,17306,Embid de Ariza
2011,50096,53,Encinacorba
2011,50098,253,Épila
2011,50099,4720,Erla
2011,50100,406,Escatrón
2011,50101,1121,Fabara
2011,50102,1263,Farlete
2011,50104,435,Fayón
2011,50105,406,Los Fayos
2011,50106,153,Figueruelas
2011,50107,1303,Fombuena
2011,50108,50,El Frago
2011,50109,107,El Frasno
2011,50110,477,Fréscano
2011,50111,217,Fuendejalón
2011,50113,979,Fuendetodos
2011,50114,180,Fuentes de Ebro
2011,50115,4603,Fuentes de Jiloca
2011,50116,279,Gallocanta
2011,50117,156,Gallur
2011,50118,2931,Gelsa
2011,50119,1174,Godojos
2011,50120,44,Gotor
2011,50121,384,Grisel
2011,50122,71,Grisén
2011,50123,563,Herrera de los Navarros
2011,50124,604,Ibdes
2011,50125,482,Illueca
2011,50126,3282,Isuerre
2011,50128,36,Jaraba
2011,50129,363,Jarque de Moncayo
2011,50130,543,Jaulín
2011,50131,302,La Joyosa
