population,year
45.394,1900
49.284,1910
50.753,1920
54.416,1930
52.244,1940
56.074,1950
54.526,1960
46.575,1970
45.800,1981
45.436,1991
45.758,2001
50.018,2011
48.782,2018
49.548,2019
45.394,
49.284,
50.753,
54.416,
52.244,
56.074,
54.526,
46.575,
45.800,
45.436,
45.758,
50.018,
48.782,
49.548,
