municipio,cp,superficie
Abiego,22001,38.19
Abizanda,22002,44.84
Adahuesca,22003,52.47
Agüero,22004,94.16
Aísa,22006,80.97
Albalate de Cinca,22007,44.23
Albalatillo,22008,9.15
Albelda,22009,51.92
Albero Alto,22011,19.28
Albero Bajo,22012,22.22
Alberuela de Tubo,22013,20.79
Alcalá de Gurrea,22014,71.42
Alcalá del Obispo,22015,47.85
Alcampell,22016,58
Alcolea de Cinca,22017,83.24
Alcubierre,22018,115.31
Alerre,22019,8.94
Alfántega,22020,8.76
Almudévar,22021,201.49
Almunia de San Juan,22022,35.66
Almuniente,22023,37.56
Alquézar,22024,32.36
Altorricón,22025,32.41
Angüés,22027,56.51
Anso,22028,223.08
Antillón,22029,22.41
AragÃ¼Ã©s del Puerto,22032,64.44
ArÃ©n,22035,119.32
Argavieso,22036,9
Arguis,22037,62.75
Ayerbe,22039,63.89
Azanuy-Alins,22040,51.17
Azara,22041,14.49
Azlor,22042,15.89
BaÃ©lls,22043,39.82
Bailo,22044,164.43
Baldellou,22045,30.42
Ballobar,22046,127.73
Banastás,22047,4.66
Barbastro,22048,107
BarbuÃ©s,22049,19.59
Barbuñales,22050,18.75
Bárcabo,22051,87.92
Belver de Cinca,22052,82.63
Benabarre,22053,157.14
Benasque,22054,233
Berbegal,22055,49.03
Bielsa,22057,202.41
Bierge,22058,145.03
Biescas,22059,189.09
Binaced,22060,78.49
Binéfar,22061,25
Bisaurri,22062,63.19
Biscarrués,22063,30.18
Blecua y Torres,22064,36
Boltaña,22066,139.45
Bonansa,22067,37.29
Borau,22068,41.72
Broto,22069,128
Caldearenas,22072,192.31
Campo,22074,22.86
Camporrells,22075,26.71
Canal de Berdún,22076,133.27
Candasnos,22077,122.45
Canfranc,22078,71.56
Capdesaso,22079,17
Capella,22080,60.71
Casbas de Huesca,22081,132.69
CastejÃ³n del Puente,22082,25.43
Castejón de Monegros,22083,17.56
Castejón de Sos,22084,17.56
Castelflorite,22085,34.76
Castiello de Jaca,22086,17.31
Castigaleu,22087,26.53
Castillazuelo,22088,15.32
Castillonroy,22089,37.58
Colungo,22090,40.64
Chalamera,22094,11
Chía,22095,26
Chimillas,22096,10.04
Esplús,22099,73
Estada,22102,15.87
Estadilla,22103,50.39
Estopiñán del Castillo,22105,88.71
Fago,22106,28.76
Fanlo,22107,187
Fiscal,22109,170.06
Fonz,22110,51.86
Foradada del Toscar,22111,106.25
Fraga,22112,437.64
La Fueva,22113,218.85
Gistaín,22114,75
El Grado,22115,63.77
Grañén,22116,123.98
Graus,22117,299.79
Gurrea de Gállego,22119,191.97
Hoz de Jaca,22122,12.45
Huerto,22124,86.72
Huesca,22125,161.04
Ibieca,22126,14.94
IgriÃ©s,22127,19.17
Ilche,22128,63.72
Isábena,22129,118.53
Jaca,22130,406.34
Jasa,22131,8
Labuerda,22133,17.85
Laluenga,22135,36.47
Lalueza,22136,88.19
Lanaja,22137,183
Laperdiguera,22139,11.32
Lascellas Ponzano,22141,27.33
Lascuarre,22142,31.87
LaspaÃºles,22143,81.75
LaspuÃ±a,22144,45.29
Loarre,22149,74.42
Loporzano,22150,169.28
Loscorrales,22151,40.25
Monesma y Cajigar,22155,62
Monflorite Lascasas,22156,29.16
Montanuy,22157,174
Monzón,22158,155.02
Naval,22160,47.32
Novales,22162,20.08
Nueno,22163,147.24
Olvena,22164,15.89
Ontiñena,22165,136.96
Osso de Cinca,22167,27.66
Palo,22168,14.41
Panticosa,22170,95
Peñalba,22172,156
Las Peñas de Riglos,22173,217.87
Peralta de Alcofea,22174,116.14
Peralta de Calasanz,22175,114.88
Peraltilla,22176,16
Perarrúa,22177,30.05
Pertusa,22178,29.37
Piracés,22181,25.15
Plan,22182,92.53
Poleñino,22184,33.02
PozÃ¡n de Vero,22186,14.75
La Puebla de Castro,22187,17.03
Puente de Montañana,22188,48.56
Puertolas,22189,99.86
El Pueyo de Araguás,22190,61.84
Pueyo de Santa Cruz,22193,9.29
Quicena,22195,9.67
Robres,22197,64
Sabiñanigo,22199,586.82
Sahún,22200,73.36
Salas Altas,22201,20.74
Salas Bajas,22202,12.93
Salillas,22203,28.33
Sallent de Gállego,22204,162.14
San Esteban de Litera,22205,71
Sangarrén,22206,32.22
San Juan de Plan,22207,55.53
Santa Cilia,22208,28.08
Santa Cruz de La Serós,22209,19.51
Santaliestra y San QuÃ­lez,22212,23.34
Sariñena,22213,275.57
Secastilla,22214,47.42
Seira,22215,69
Sena,22217,104.69
SenÃ©s de Alcubierre,22218,20.53
Sesa,22220,30.84
Sesué,22221,5.35
Siétamo,22222,48.98
Sopeira,22223,44.09
Tamarite de Litera,22225,110.58
Tardienta,22226,90.65
Tella-Sin,22227,90.33
Tierz,22228,6.54
Tolva,22229,58.97
Torla-Ordesa,22230,185.21
Torralba de Aragón,22232,40.39
Torre La Ribera,22233,32.06
Torrente de Cinca,22234,56.77
Torres de Alcanadre,22235,28.31
Torres de BarbuÃ©s,22236,13.94
Tramaced,22239,15.42
Valfarta,22242,33
Valle de BardajÃ­,22243,45.48
Valle de Lierp,22244,32.76
Velilla de Cinca,22245,16.54
Beranuy,22246,63.75
Viacamp y Litera,22247,107.74
Vicién,22248,13.76
Villanova,22249,7.05
Villanúa,22250,58.19
Villanueva de Sigena,22251,75.99
Yebra de Basa,22252,90.88
Yésero,22253,30.23
ZaidÃ­n,22254,92.55
Valle de Hecho,22901,234.43
Puente La Reina de Jaca,22902,48.13
San Miguel del Cinca,22903,106.49
La Sotonera,22904,165.54
Lupiñén-Ortilla,22905,110.07
Santa MarÃ­a de Dulcis,22906,27
AÃ­nsa-Sobrarbe,22907,284.77
Hoz y Costeán,22908,57.48
Vencillón,22909,10.37
