municipio,cp,superficie
Abanto,50001,63.84
Acered,50002,30
Agón,50003,18.52
Aguarón,50004,36.62
AguilÃ³n,50005,59.45
Ainzón,50006,40.46
AladrÃ©n,50007,21.06
Alagón,50008,24.22
Alarba,50009,19
Alberite de San Juan,50010,11.23
Albeta,50011,2.65
Alborge,50012,4.84
Alcalá de Ebro,50013,9.87
Alcalá de Moncayo,50014,13.76
Alconchel de Ariza,50015,34.85
Aldehuela de Liestos,50016,38.04
Alfajarín,50017,137.57
Alfamén,50018,102.04
Alforque,50019,10.62
Alhama de Aragón,50020,31.14
Almochuel,50021,32
La Almolda,50022,131.33
Almonacid de La Cuba,50023,55.21
Almonacid de La Sierra,50024,55.21
La Almunia de Doña Godina,50025,56.65
Alpartir,50026,32.54
Ambel,50027,61
Anento,50028,21.52
AniÃ±Ã³n,50029,52.46
Añón de Moncayo,50030,64.19
Aranda de Moncayo,50031,91
ArÃ¡ndiga,50032,50.22
Ardisa,50033,27.28
Ariza,50034,103.08
Artieda,50035,13.57
AsÃ­n,50036,18.47
Atea,50037,34.67
Ateca,50038,84.71
Azuara,50039,165.81
Badules,50040,20.09
BagÃ¼Ã©s,50041,30.72
BalconchÃ¡n,50042,19
BÃ¡rboles,50043,15.68
Bardallur,50044,27.34
Belchite,50045,273.68
Belmonte de Gracián,50046,43.68
Berdejo,50047,19.39
Berrueco,50048,19
Bijuesca,50050,57.08
Biota,50051,128
Bisimbre,50052,11.22
Boquiñeni,50053,18.87
Bordalba,50054,41.58
Borja,50055,107.29
Botorrita,50056,19.81
Brea de Aragón,50057,13.38
Bubierca,50058,29.54
Bujaraloz,50059,120.92
Bulbuente,50060,25.44
Bureta,50061,11.91
El Burgo de Ebro,50062,24.86
El Buste,50063,7.61
Cabañas de Ebro,50064,8.53
Cabolafuente,50065,39.24
Cadrete,50066,11.86
Calatayud,50067,154.25
Calatorao,50068,48.15
Calcena,50069,64.74
Calmarza,50070,28.15
Campillo de Aragón,50071,36.86
Carenas,50072,31.22
Cariñena,50073,82.51
Caspe,50074,503.15
Castejón de Alarba,50075,17.56
CastejÃ³n de Las Armas,50076,17.56
Castejón de Valdejasa,50077,17.56
Castiliscar,50078,40.68
Cervera de La Cañada,50079,29.22
Cerveruela,50080,23.49
Cetina,50081,78.76
Cimballa,50082,31.95
Cinco Olivas,50083,2.25
Clarés de Ribota,50084,18
Codo,50085,11.36
Codos,50086,62.69
Contamina,50087,14.02
Cosuenda,50088,31.68
Cuarte de Huerva,50089,8.95
Cubel,50090,58.62
Las Cuerlas,50091,32.58
Chiprana,50092,38.98
Chodes,50093,15.97
Daroca,50094,52.05
Ejea de Los Caballeros,50095,609.92
Embid de Ariza,50096,41.26
Encinacorba,50098,36.74
Épila,50099,194.32
Erla,50100,18.96
Escatrón,50101,94.64
Fabara,50102,101.63
Farlete,50104,104.12
FayÃ³n,50105,67.19
Los Fayos,50106,3.88
Figueruelas,50107,16.99
Fombuena,50108,26.37
