municipio,cp,superficie
Ababuj,44001,54
Abejuela,44002,86.67
Aguatón,44003,21.64
Aguaviva,44004,42.15
Aguilar del Alfambra,44005,39.04
AlacÃ³n,44006,47
Alba,44007,69.53
Albalate del Arzobispo,44008,205.69
Albarracín,44009,452.72
Albentosa,44010,68
Alcaine,44011,57.38
Alcalá de La Selva,44012,104.95
Alcañiz,44013,472.12
Alcorisa,44014,121
Alfambra,44016,122.44
Aliaga,44017,193.08
Almohaja,44018,25.55
Alobras,44019,30.72
AlpeÃ±Ã©s,44020,28.62
Allepuz,44021,67.26
Alloza,44022,81
Allueva,44023,18.65
Anadón,44024,24.62
Andorra,44025,141.36
Arcos de Las Salinas,44026,112.99
Arens de Lledó,44027,34.27
Argente,44028,62.58
Ariño,44029,81.93
Azaila,44031,81.44
BÃ¡denas,44032,31.31
BÃ¡guena,44033,25.17
BaÃ±Ã³n,44034,54.27
Barrachina,44035,24.86
Bea,44036,23.37
Beceite,44037,96.72
Belmonte de San JosÃ©,44038,43.68
Bello,44039,52.49
Berge,44040,42.64
Bezas,44041,26.32
Blancas,44042,73
Blesa,44043,80.39
Bordón,44044,29.98
Bronchales,44045,59
BueÃ±a,44046,40.75
Burbáguena,44047,39.02
Cabra de Mora,44048,34.31
Calaceite,44049,81.33
Calamocha,44050,316.63
Calanda,44051,112.25
Calomarde,44052,28.18
CamaÃ±as,44053,78.67
Camarena de La Sierra,44054,79.54
Camarillas,44055,50.55
Caminreal,44056,44.39
Cantavieja,44059,124.56
Cañada de Benatanduz,44060,34.89
La Cañada de Verich,44061,10.86
Cañada Vellida,44062,23
Cañizar del Olivar,44063,22.29
Cascante del Río,44064,32.38
Castejón de Tornos,44065,17.56
Castel de Cabra,44066,29.44
Castelnou,44067,37.09
Castelserás,44068,31.52
El Castellar,44070,50.33
Castellote,44071,235.18
Cedrillas,44074,73.57
Celadas,44075,100.45
Cella,44076,124.68
La Cerollera,44077,33.75
La CodoÃ±era,44080,20.97
Corbalán,44082,82.44
Cortes de Aragón,44084,24.43
Cosa,44085,54.81
Cretas,44086,52.66
Crivillén,44087,42.03
La Cuba,44088,6.51
Cubla,44089,48.63
Cucalón,44090,31.93
El Cuervo,44092,20.76
Cuevas de AlmudÃ©n,44093,35.85
Cuevas Labradas,44094,40.81
Ejulve,44096,109.49
Escorihuela,44097,56.99
Escucha,44099,41.57
Estercuel,44100,55.59
Ferreruela de Huerva,44101,20.44
Fonfría,44102,20.58
Formiche Alto,44103,78.17
Fórnoles,44105,32.56
Fortanete,44106,168.21
Foz-Calanda,44107,37.87
La Fresneda,44108,39.48
Frías de Albarrací­n,44109,50.79
Fuenferrada,44110,24.53
Fuentes Calientes,44111,25.01
Fuentes Claras,44112,36.91
Fuentes de Rubielos,44113,38.91
Fuentespalda,44114,39
Galve,44115,61.23
Gargallo,44116,30.08
Gea de Albarracín,44117,57
La Ginebrosa,44118,80
Griegos,44119,31.77
Guadalaviar,44120,28.08
Gúdar,44121,60.77
Híjar,44122,165.36
Hinojosa de Jarque,44123,36.47
La Hoz de La Vieja,44124,43.73
Huesa del Común,44125,61.69
La Iglesuela del Cid,44126,40.29
Jabaloyas,44127,61.73
Jarque de La Val,44128,29.23
Jatiel,44129,10.84
Jorcas,44130,26
Josa,44131,28.23
Lagueruela,44132,26.32
Lanzuela,44133,14.22
Libros,44135,37.91
Lidón,44136,40
Linares de Mora,44137,116.28
Loscos,44138,71.78
Lledó,44141,15.61
Maicas,44142,24.74
Manzanera,44143,168.66
Martín del Río,44144,54.88
Mas de Las Matas,44145,29.99
La Mata de Los Olmos,44146,23.73
Mazaleón,44147,86.25
Mezquita de Jarque,44148,31.14
Mirambel,44149,45.47
Miravete de La Sierra,44150,36.51
Molinos,44151,79.61
Monforte de Moyuela,44152,47.74
Monreal del Campo,44153,89.05
Monroyo,44154,79.23
Montalbán,44155,82.04
Monteagudo del Castillo,44156,44.36
Monterde de Albarracín,44157,45.21
Mora de Rubielos,44158,166.23
Moscardón,44159,26.93
Mosqueruela,44160,265.03
Muniesa,44161,129
Noguera de Albarracín,44163,47.44
Nogueras,44164,18.85
Nogueruelas,44165,99.49
ObÃ³n,44167,68.38
OdÃ³n,44168,74.24
Ojos Negros,44169,90.92
Olba,44171,20.99
Oliete,44172,85.48
Los Olmos,44173,43.97
Orihuela del Tremedal,44174,71.52
Orrios,44175,35
Palomar de Arroyos,44176,33.62
Pancrudo,44177,100.12
Las Parras de Castellote,44178,42.13
Peñarroya de Tastavins,44179,83.28
Peracense,44180,28.66
Peralejos,44181,36
Perales del Alfambra,44182,104.24
Pitarque,44183,54.35
Plou,44184,17.21
El Pobo,44185,63
La Portellada,44187,21.37
Pozondón,44189,67.64
Pozuel del Campo,44190,27.85
La Puebla de Híjar,44191,17.03
La Puebla de Valverde,44192,17.03
Puertomingalvo,44193,103.62
RÃ¡fales,44194,35.61
Rillo,44195,53.31
Riodeva,44196,34.34
Ródenas,44197,44.26
Royuela,44198,32
Rubiales,44199,27.42
Rubielos de La CÃ©rida,44200,66
Rubielos de Mora,44201,66
Salcedillo,44203,16.89
Saldón,44204,28.37
Samper de Calanda,44205,142
San Agustín,44206,56.57
San Martín del Río,44207,5.42
Santa Cruz de Nogueras,44208,19.51
Santa Eulalia,44209,80.97
Sarrión,44210,140.44
Segura de Los Baños,44211,54.15
Seno,44212,17.85
Singra,44213,36.72
Terriente,44215,47.98
Teruel,44216,440.41
Toril y Masegoso,44217,30.67
Tormón,44218,29.34
Tornos,44219,48.95
Torralba de Los Sisones,44220,40.39
Torrecilla de Alcañiz,44221,26.76
Torrecilla del Rebollar,44222,26.76
Torre de Arcas,44223,34.28
Torre de Las Arcas,44224,37.17
Torre del Compte,44225,19.46
Torrelacárcel,44226,35.54
Torre Los Negros,44227,29.15
Torremocha de Jiloca,44228,33.94
Torres de Albarracín,44229,28.31
Torrevelilla,44230,33.44
Torrijas,44231,57.34
Torrijo del Campo,44232,44.04
Tramacastiel,44234,47.29
Tramacastilla,44235,24.81
Tronchón,44236,57.11
Urrea de Gaén,44237,41.12
Utrillas,44238,39.82
Valacloche,44239,15.02
Valbona,44240,40.72
Valdealgorfa,44241,46.93
Valdecuenca,44243,18.64
Valdelinares,44244,55.09
Valdeltormo,44245,16
Valderrobres,44246,124.04
Valjunquera,44247,41.84
El Vallecillo,44249,21.59
Veguillas de La Sierra,44250,13.67
Villafranca del Campo,44251,63.64
