porcentaje18,year,cp,name,population,percentage65
8.05,1900,50185,Murillo de Gállego,1159,23.91
5.60,1900,50186,Navardún,413,32.60
14.94,1900,50187,Nigüella,270,53.42
0,1900,50188,Nombrevilla,262,41.17
3.03,1900,50189,Nonaspe,1681,25.45
3.44,1900,50190,Novallas,1527,22.36
16.11,1900,50191,Novillas,908,30.66
16.82,1900,50192,Nuévalos,902,23.54
12.22,1900,50193,Nuez de Ebro,455,15.72
18.46,1900,50194,Olvés,674,41.88
18.86,1900,50195,Orcajo,495,38.29
6.60,1900,50196,Orera,411,38.23
3.38,1900,50197,Orés,734,31.95
10.16,1900,50198,Oseja,346,35.41
11.53,1900,50199,Osera de Ebro,497,29.17
0,1900,50200,Paniza,1820,25.65
13.41,1900,50201,Paracuellos de Jiloca,712,24.32
11.82,1900,50202,Paracuellos de la Ribera,908,52.84
15.47,1900,50203,Pastriz,707,14.32
3.16,1900,50204,Pedrola,2269,16.89
18.25,1900,50205,Pedrosas (Las),390,28.57
19.00,1900,50206,Perdiguera,725,23.05
7.77,1900,50207,Piedratajada,300,32.33
17.67,1900,50208,Pina de Ebro,2409,17.90
3.09,1900,50209,Pinseque,750,11.14
20.22,1900,50210,Pintanos (Los),773,64.44
24.53,1900,50211,Plasencia de Jalón,875,29.53
0,1900,50212,Pleitas,154,59.61
10.89,1900,50213,Plenas,681,43.07
5.55,1900,50214,Pomer,474,42.85
4.95,1900,50215,Pozuel de Ariza,287,45.45
13.63,1900,50216,Pozuelo de Aragón,710,31.59
4.76,1900,50217,Pradilla de Ebro,688,28.45
12.32,1900,50218,Puebla de Albortón,631,41.22
10.80,1900,50219,Puebla de Alfindén (La),985,7.00
5.83,1900,50220,Puendeluna,228,48.38
27.24,1900,50221,Purujosa,463,30.23
0,1900,50222,Quinto,2521,21.45
2.77,1900,50223,Remolinos,1019,26.16
16.22,1900,50224,Retascón,180,46.37
12.67,1900,50225,Ricla,2503,16.98
1.35,1900,50227,Romanos,321,34.14
15.45,1900,50228,Rueda de Jalón,896,29.76
5.04,1900,50229,Ruesca,163,26.02
10.46,1900,50230,Sádaba,1812,26.95
6.94,1900,50231,Salillas de Jalón,583,31.59
10.85,1900,50232,Salvatierra de Esca,1196,30.23
12.00,1900,50233,Samper del Salz,404,32.00
11.18,1900,50234,San Martín de la Virgen de Moncayo,385,26.42
17.17,1900,50235,San Mateo de Gállego,960,17.07
6.25,1900,50236,Santa Cruz de Grío,929,42.10
14.33,1900,50237,Santa Cruz de Moncayo,318,17.91
