porcentaje65
48.45
43.63
33.56
30.58
43.82
24.51
40.38
17.70
34.58
38.88
24.24
30.55
30.27
34.02
61.90
44.89
18.29
18.94
35.48
25.09
44.82
33.50
38.88
31.40
15.65
28.67
37.50
15.78
39.26
40.84
35.62
42.39
55.55
29.67
31.50
41.66
41.02
27.04
33.88
43.37
41.66
41.17
25.33
30.26
29.90
46.46
38.29
42.42
29.59
30.90
43.29
28.71
50.00
20.09
23.49
25.28
34.92
25.37
25.80
38.70
15.74
51.38
35.14
50.00
11.77
19.51
21.53
37.33
44.06
34.89
42.93
20.36
19.74
44.56
36.66
42.98
41.88
39.11
28.57
33.78
43.01
25.00
43.07
40.90
45.35
43.24
34.05
5.42
38.09
46.15
24.01
34.51
28.50
19.29
47.22
40.21
19.33
35.36
26.90
29.34
35.49
33.05
48.22
17.50
29.62
34.34
37.76
28.71
27.49
29.75
18.95
41.48
36.36
24.73
31.55
40.74
38.88
23.88
19.76
33.59
36.13
21.15
51.61
25.71
28.44
41.77
13.61
41.44
48.48
34.00
34.03
32.61
37.73
38.59
43.37
33.85
35.71
23.46
48.57
27.84
24.12
38.06
41.17
27.32
31.95
27.35
30.09
27.15
49.00
27.02
30.34
27.07
21.89
51.02
35.35
7.61
26.45
25.03
39.48
36.66
50.00
32.40
32.92
52.12
39.62
44.65
59.57
34.91
33.33
39.22
39.22
46.53
40.00
22.13
9.83
37.14
33.64
22.98
42.50
50.00
58.62
27.85
20.94
33.51
24.30
18.62
42.45
37.28
29.66
39.42
40.38
29.36
28.70
21.29
50.63
16.39
18.38
33.33
24.95
42.26
19.93
11.66
72.97
29.04
52.77
48.51
40.90
38.09
29.92
30.48
37.50
8.52
40.90
36.11
23.40
30.24
41.89
17.12
50.42
29.84
25.00
26.96
32.56
27.27
41.96
29.02
18.92
40.74
21.60
29.59
40.98
36.58
35.45
45.26
34.86
33.99
46.59
45.16
19.28
34.52
40.24
20.63
22.74
22.12
36.70
31.25
42.52
53.48
47.67
49.18
66.66
59.37
37.60
21.71
43.20
31.11
30.33
58.33
32.92
23.63
29.42
60.52
38.37
11.82
53.33
39.06
47.32
36.61
42.64
27.90
41.11
37.22
36.48
40.25
38.63
41.17
21.44
31.31
29.78
15.06
52.17
33.04
38.23
18.61
40.77
48.52
44.89
26.81
21.20
15.12
42.14
38.37
21.62
