year,cp,name,population,porcentaje65,porcentaje18
2018,50146,Lucena de Jalón,237,27.84,17.29
2018,50147,Luceni,945,24.12,15.44
2018,50148,Luesia,310,38.06,7.09
2018,50149,Luesma,34,41.17,0
2018,50150,Lumpiaque,827,27.32,15.96
2018,50151,Luna,701,31.95,8.41
2018,50152,Maella,2007,27.35,15.04
2018,50153,Magallón,1133,30.09,14.73
2018,50154,Mainar,151,27.15,7.94
2018,50155,Malanquilla,100,49.00,1.00
2018,50156,Maleján,259,27.02,12.74
2018,50157,Malón,323,30.34,15.78
2018,50159,Maluenda,942,27.07,14.11
2018,50160,Mallén,3083,21.89,16.18
2018,50161,Manchones,98,51.02,7.14
2018,50162,Mara,181,35.35,12.15
2018,50163,María de Huerva,5663,7.61,29.96
2018,50164,Mediana de Aragón,465,26.45,12.25
2018,50165,Mequinenza,2301,25.03,16.47
2018,50166,Mesones de Isuela,271,39.48,8.11
2018,50167,Mezalocha,240,36.66,3.75
2018,50168,Mianos,32,50.00,6.25
2018,50169,Miedes de Aragón,432,32.40,9.25
2018,50170,Monegrillo,413,32.92,7.99
2018,50171,Moneva,94,52.12,2.12
2018,50172,Monreal de Ariza,212,39.62,6.13
2018,50173,Monterde,159,44.65,0
2018,50174,Montón,94,59.57,4.25
2018,50175,Morata de Jalón,1097,34.91,9.57
2018,50176,Morata de Jiloca,282,33.33,7.09
2018,50177,Morés,334,39.22,11.07
2018,50178,Moros,362,39.22,8.83
2018,50179,Moyuela,245,46.53,4.89
2018,50180,Mozota,130,40.00,9.23
2018,50181,Muel,1333,22.13,16.65
2018,50182,Muela La,5479,9.83,25.24
2018,50183,Munébrega,385,37.14,8.05
2018,50184,Murero,107,33.64,5.60
2018,50185,Murillo de Gállego,174,22.98,14.94
2018,50186,Navardún,40,42.50,0
2018,50187,Nigüella,66,50.00,3.03
2018,50188,Nombrevilla,29,58.62,3.44
2018,50189,Nonaspe,962,27.85,16.11
2018,50190,Novallas,850,20.94,16.82
2018,50191,Novillas,540,33.51,12.22
2018,50192,Nuévalos,325,24.30,18.46
2018,50193,Nuez de Ebro,827,18.62,18.86
2018,50194,Olvés,106,42.45,6.60
2018,50195,Orcajo,59,37.28,3.38
2018,50196,Orera,118,29.66,10.16
2018,50197,Orés,104,39.42,11.53
2018,50198,Oseja,52,40.38,0
2018,50199,Osera de Ebro,395,29.36,13.41
2018,50200,Paniza,634,28.70,11.82
2018,50201,Paracuellos de Jiloca,601,21.29,15.47
2018,50202,Paracuellos de la Ribera,158,50.63,3.16
2018,50203,Pastriz,1293,16.39,18.25
2018,50204,Pedrola,3509,18.38,19.00
2018,50205,Pedrosas Las,90,33.33,7.77
2018,50206,Perdiguera,577,24.95,17.67
2018,50207,Piedratajada,97,42.26,3.09
2018,50208,Pina de Ebro,2373,19.93,20.22
2018,50209,Pinseque,3908,11.66,24.53
2018,50210,Pintanos Los,37,72.97,0
2018,50211,Plasencia de Jalón,303,29.04,10.89
2018,50212,Pleitas,36,52.77,5.55
2018,50213,Plenas,101,48.51,4.95
2018,50214,Pomer,22,40.90,13.63
