cp,municipio,year,population
50001,Abanto,2020,92
50001,Abanto,2019,100
50001,Abanto,2018,97
50001,Abanto,2017,98
50001,Abanto,2016,106
50001,Abanto,2015,113
50001,Abanto,2014,113
50001,Abanto,2013,133
50001,Abanto,2012,127
50001,Abanto,2011,130
50001,Abanto,2010,124
50002,Acered,2020,158
50002,Acered,2019,166
50002,Acered,2018,165
50002,Acered,2017,171
50002,Acered,2016,223
50002,Acered,2015,217
50002,Acered,2014,220
50002,Acered,2013,245
50002,Acered,2012,243
50002,Acered,2011,198
50002,Acered,2010,160
50003,Agón,2020,138
50003,Agón,2019,137
50003,Agón,2018,146
50003,Agón,2017,146
50003,Agón,2016,155
50003,Agón,2015,155
50003,Agón,2014,155
50003,Agón,2013,155
50003,Agón,2012,167
50003,Agón,2011,164
50003,Agón,2010,166
50004,Aguarón,2020,624
50004,Aguarón,2019,636
50004,Aguarón,2018,631
50004,Aguarón,2017,684
50004,Aguarón,2016,686
50004,Aguarón,2015,724
50004,Aguarón,2014,796
50004,Aguarón,2013,743
50004,Aguarón,2012,848
50004,Aguarón,2011,873
50004,Aguarón,2010,863
50005,Aguilón,2020,233
50005,Aguilón,2019,251
50005,Aguilón,2018,235
50005,Aguilón,2017,238
50005,Aguilón,2016,247
50005,Aguilón,2015,254
50005,Aguilón,2014,260
50005,Aguilón,2013,252
50005,Aguilón,2012,254
50005,Aguilón,2011,258
50005,Aguilón,2010,250
50006,Ainzón,2020,1064
50006,Ainzón,2019,1077
50006,Ainzón,2018,1085
50006,Ainzón,2017,1095
50006,Ainzón,2016,1136
50006,Ainzón,2015,1143
50006,Ainzón,2014,1162
50006,Ainzón,2013,1187
50006,Ainzón,2012,1214
50006,Ainzón,2011,1245
50006,Ainzón,2010,1269
50007,Aladrén,2020,52
50007,Aladrén,2019,52
50007,Aladrén,2018,52
50007,Aladrén,2017,47
50007,Aladrén,2016,48
50007,Aladrén,2015,52
50007,Aladrén,2014,54
50007,Aladrén,2013,54
50007,Aladrén,2012,60
50007,Aladrén,2011,67
50007,Aladrén,2010,62
50008,Alagón,2020,7154
50008,Alagón,2019,7163
50008,Alagón,2018,7094
50008,Alagón,2017,7025
50008,Alagón,2016,7045
50008,Alagón,2015,7014
50008,Alagón,2014,7052
50008,Alagón,2013,7175
50008,Alagón,2012,7167
50008,Alagón,2011,7112
50008,Alagón,2010,7178
50009,Alarba,2020,116
50009,Alarba,2019,124
50009,Alarba,2018,133
50009,Alarba,2017,144
50009,Alarba,2016,137
50009,Alarba,2015,152
50009,Alarba,2014,153
50009,Alarba,2013,152
50009,Alarba,2012,161
50009,Alarba,2011,160
50009,Alarba,2010,155
50010,Alberite de San Juan,2020,74
50010,Alberite de San Juan,2019,69
50010,Alberite de San Juan,2018,72
50010,Alberite de San Juan,2017,77
50010,Alberite de San Juan,2016,80
50010,Alberite de San Juan,2015,84
50010,Alberite de San Juan,2014,86
50010,Alberite de San Juan,2013,91
50010,Alberite de San Juan,2012,97
50010,Alberite de San Juan,2011,99
50010,Alberite de San Juan,2010,101
50011,Albeta,2020,134
50011,Albeta,2019,133
50011,Albeta,2018,132
50011,Albeta,2017,134
50011,Albeta,2016,139
50011,Albeta,2015,145
50011,Albeta,2014,153
50011,Albeta,2013,144
50011,Albeta,2012,149
50011,Albeta,2011,149
50011,Albeta,2010,141
50012,Alborge,2020,107
50012,Alborge,2019,107
50012,Alborge,2018,108
50012,Alborge,2017,105
50012,Alborge,2016,111
50012,Alborge,2015,121
50012,Alborge,2014,124
50012,Alborge,2013,119
50012,Alborge,2012,118
50012,Alborge,2011,121
50012,Alborge,2010,126
50013,Alcalá de Ebro,2020,245
