cp,municipio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
50169,Miedes de Aragón,1,0,2,1,3,1,1,2,2,0,4,1,2,2,6,2,3,2,5
50170,Monegrillo,1,0,2,1,0,3,2,2,5,1,3,0,2,2,1,1,2,1,4
50171,Moneva,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
50172,Monreal de Ariza,1,0,2,0,0,0,1,1,1,2,0,0,0,0,0,1,2,0,2
50173,Monterde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50174,Montón,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
50175,Morata de Jalón,3,4,3,4,5,9,3,3,2,10,3,12,8,5,4,7,6,6,8
50176,Morata de Jiloca,2,0,1,1,1,0,0,1,0,3,2,1,0,1,0,0,2,2,3
50177,Morés,0,2,1,0,0,3,3,1,3,3,1,1,6,3,1,1,3,4,1
50178,Moros,0,2,1,0,0,0,2,0,0,0,2,1,0,2,4,5,0,8,5
50179,Moyuela,0,1,0,1,0,0,0,2,0,1,2,2,0,1,1,0,0,0,1
50180,Mozota,0,1,0,1,4,1,0,1,2,0,1,0,0,0,1,0,0,0,0
50181,Muel,4,13,12,11,22,9,11,10,14,10,10,10,9,16,11,14,11,12,13
50182,Muela La,64,78,89,96,90,87,97,99,85,86,77,75,62,55,62,64,48,35,34
50183,Munébrega,0,1,3,0,1,0,1,0,2,0,1,1,3,4,1,2,5,4,2
50184,Murero,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0
50185,Murillo de Gállego,0,1,0,1,2,0,2,2,0,1,1,6,2,1,1,1,3,1,1
50186,Navardún,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50187,Nigüella,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
50188,Nombrevilla,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50189,Nonaspe,5,8,2,5,8,4,5,8,10,10,5,6,9,8,15,13,13,9,12
50190,Novallas,6,8,5,6,7,8,12,8,9,8,7,8,7,6,7,6,8,11,6
50191,Novillas,5,1,0,3,3,2,3,0,2,5,5,5,4,6,3,6,6,4,3
50192,Nuévalos,2,0,4,1,1,5,1,7,4,1,1,4,0,5,4,6,5,2,7
50193,Nuez de Ebro,8,6,9,8,9,11,9,7,9,11,8,14,7,5,6,11,6,7,5
50194,Olvés,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,2
50195,Orcajo,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50196,Orera,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,2,1,3
50197,Orés,0,0,0,1,0,0,0,1,0,0,1,4,0,0,0,3,2,0,0
50198,Oseja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50199,Osera de Ebro,3,3,4,1,5,3,1,3,3,3,5,2,3,3,1,1,3,1,5
50200,Paniza,3,6,1,9,5,7,5,4,3,3,3,4,2,3,4,4,2,6,1
50201,Paracuellos de Jiloca,4,1,5,2,7,3,7,6,4,7,7,2,9,3,7,4,3,7,5
50202,Paracuellos de la Ribera,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0
50203,Pastriz,8,8,11,3,9,10,16,8,12,16,15,15,10,23,16,15,19,12,10
50204,Pedrola,34,33,31,27,31,45,28,37,40,41,32,36,47,34,35,19,35,37,45
50205,Pedrosas Las,0,0,0,1,1,0,0,2,1,0,1,0,0,0,0,0,1,0,0
50206,Perdiguera,0,3,5,4,3,2,4,3,9,3,7,7,5,13,5,11,7,8,3
50207,Piedratajada,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
50208,Pina de Ebro,12,29,9,25,13,21,35,18,36,23,31,21,28,38,25,21,32,33,30
50209,Pinseque,46,51,66,46,53,58,65,60,61,58,57,63,44,38,40,33,43,32,45
50210,Pintanos Los,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50211,Plasencia de Jalón,3,1,0,1,4,3,3,1,2,1,0,3,2,0,3,1,0,3,2
50212,Pleitas,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50213,Plenas,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1
50214,Pomer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
50215,Pozuel de Ariza,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50216,Pozuelo de Aragón,0,0,1,1,1,1,1,1,5,3,3,4,1,2,2,3,3,1,2
50217,Pradilla de Ebro,0,5,4,0,5,2,6,5,0,0,6,3,3,5,4,4,4,4,2
50218,Puebla de Albortón,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,1
50219,Puebla de Alfindén La,52,76,103,95,89,111,108,115,106,124,104,103,107,88,82,72,54,48,45
50220,Puendeluna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50221,Purujosa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50222,Quinto,14,12,17,22,11,15,11,17,16,18,17,23,24,14,18,19,19,12,17
50223,Remolinos,5,5,1,10,6,2,8,7,7,9,6,11,8,5,7,9,9,15,7
50224,Retascón,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50225,Ricla,21,22,16,16,19,21,17,18,20,22,23,33,26,19,30,22,24,27,39
50227,Romanos,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0
50228,Rueda de Jalón,4,6,1,2,4,0,3,4,1,2,1,1,2,1,0,1,0,1,0
50229,Ruesca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
50241,Sabiñán,2,3,1,6,2,2,6,2,4,8,5,7,2,4,6,4,3,4,4
50230,Sádaba,6,6,4,7,1,5,8,12,6,15,5,11,13,5,8,9,13,15,10
50231,Salillas de Jalón,3,2,2,0,2,4,2,1,0,1,3,0,1,2,3,3,2,2,1
50232,Salvatierra de Esca,1,1,0,3,3,2,1,0,2,2,2,1,1,1,3,4,1,4,2
50233,Samper del Salz,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0
50234,San Martín de la Virgen de Moncayo,1,4,3,0,5,1,2,2,2,1,2,2,2,0,3,3,1,5,2
50235,San Mateo de Gállego,35,26,39,34,32,35,32,29,39,34,32,31,35,34,31,28,28,25,35
50236,Santa Cruz de Grío,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
50237,Santa Cruz de Moncayo,0,2,0,1,0,3,3,1,2,1,1,1,3,2,3,0,0,2,1
50238,Santa Eulalia de Gállego,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
50239,Santed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50240,Sástago,5,11,9,11,10,10,6,6,6,9,5,8,7,4,9,6,10,8,8
50242,Sediles,0,0,0,0,2,0,0,0,1,0,1,2,1,1,0,0,0,0,1
50243,Sestrica,0,0,0,0,0,3,1,3,0,1,0,2,3,3,2,1,3,5,2
50244,Sierra de Luna,3,3,0,0,1,0,2,0,1,0,2,2,1,0,1,3,0,3,2
50245,Sigüés,1,0,0,1,0,1,1,0,0,2,0,0,0,1,0,1,0,1,0
50246,Sisamón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50247,Sobradiel,8,12,9,16,15,17,13,13,14,14,14,13,14,13,6,11,9,14,4
50248,Sos del Rey Católico,5,5,5,0,5,5,1,4,1,8,1,1,2,2,4,3,5,8,4
50249,Tabuenca,0,0,2,0,1,0,0,1,2,0,1,3,0,2,4,3,1,3,3
50250,Talamantes,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
50251,Tarazona,72,79,79,95,88,104,99,106,111,119,124,100,100,105,105,118,96,115,92
50252,Tauste,55,61,49,65,36,55,50,65,57,68,73,66,77,67,69,75,61,61,69
50253,Terrer,1,1,1,3,0,1,4,3,2,0,3,1,2,1,1,1,2,1,3
50254,Tierga,0,0,2,1,0,0,1,0,0,0,0,1,0,2,2,0,1,0,5
50255,Tobed,0,1,0,0,0,0,3,0,3,1,1,2,0,0,0,0,2,0,1
50256,Torralba de los Frailes,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
