cp,nombre,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
50001,Abanto,1,4,3,0,3,1,2,0,4,1,2,2,3,2,0,6,4,4,2,3,5,2,1,2,1,3,0,0,2,0,0,0,0,0,1,1
50002,Acered,8,1,3,3,0,7,3,1,3,2,8,2,2,5,5,5,3,5,4,2,1,2,0,1,0,2,1,0,0,0,0,0,0,0,1,0
50003,Agón,4,0,5,4,1,0,4,2,2,4,2,5,1,3,5,2,2,2,2,3,2,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0
50004,Aguarón,11,5,6,17,7,11,10,13,5,9,16,8,8,19,11,11,12,10,4,9,7,7,5,2,5,2,5,2,1,3,0,0,1,0,0,0
50005,Aguilón,6,4,4,2,4,5,3,5,4,5,4,3,2,7,3,4,7,5,7,5,0,0,1,5,5,1,3,0,0,0,0,0,1,0,0,0
50006,Ainzón,12,11,13,8,16,10,10,10,9,15,12,14,10,25,12,11,14,12,14,11,11,13,14,6,15,3,2,5,1,2,1,1,2,0,1,1
50007,Aladrén,0,3,1,1,0,1,0,4,0,1,1,1,1,2,2,0,1,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
50008,Alagón,56,68,51,52,50,39,51,52,42,47,52,45,50,55,52,45,49,36,42,40,26,22,34,18,21,15,17,9,9,11,2,4,1,1,2,1
50009,Alarba,1,1,1,2,2,1,0,4,0,2,6,3,3,2,1,2,2,3,2,4,2,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0
50010,Alberite de San Juan,1,1,3,2,1,3,2,2,1,0,2,0,0,2,3,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
50011,Albeta,1,1,2,3,1,2,3,1,1,2,3,1,2,1,1,1,3,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
