cp,name,percentage,dosmildiecinueve,dosmildieciocho
44001,Ababuj,-3.94,73,76
44002,Abejuela,-2.04,48,49
44003,Aguatón,0,18,18
44004,Aguaviva,-1.53,514,522
44005,Aguilar del Alfambra,0,63,63
44006,Alacón,-4.54,252,264
44007,Alba,-4.49,170,178
44008,Albalate del Arzobispo,-1.19,1980,2004
44009,Albarracín,0.88,1025,1016
44010,Albentosa,7.39,276,257
44011,Alcaine,-6.34,59,63
44012,Alcalá de la Selva,-1.15,343,347
44013,Alcañiz,0.05,15947,15939
44014,Alcorisa,-0.30,3266,3276
44016,Alfambra,-4.33,508,531
44017,Aliaga,-4.74,341,358
44018,Almohaja,0,16,126
44019,Alobras,3.22,64,582
44020,Alpeñés,0,22,29
44021,Allepuz,-0.79,125,16
44022,Alloza,-4.12,558,62
44023,Allueva,-10.34,26,22
44024,Anadón,3.70,28,27
44025,Andorra,-2.10,7472,7633
44026,Arcos de las Salinas,13.33,119,105
44027,Arens de Lledó,2.42,211,206
44028,Argente,-1.51,195,198
44029,Ariño,2.25,724,708
44031,Azaila,-4.25,90,94
44032,Bádenas,-5.00,19,20
44033,Báguena,-7.71,287,311
44034,Bañón,-5.88,144,153
44035,Barrachina,-5.08,112,118
44036,Bea,0,31,31
44037,Beceite,0,541,541
44038,Belmonte de San José,0,113,225
44039,Bello,-0.44,224,113
44040,Berge,-3.68,235,244
44041,Bezas,0,70,70
44042,Blancas,0.80,126,125
44043,Blesa,-1.05,94,95
44044,Bordón,-5.66,100,106
44045,Bronchales,-2.48,432,443
44046,Bueña,-20.63,50,63
44047,Burbáguena,2.46,249,243
44048,Cabra de Mora,-1.81,54,55
44049,Calaceite,-1.68,994,1011
44050,Calamocha,0.46,4339,4319
44051,Calanda,1.07,3748,3708
44052,Calomarde,1.35,75,74
44053,Camañas,8.06,134,124
44054,Camarena de la Sierra,-7.07,105,113
44055,Camarillas,16.27,100,86
44056,Caminreal,0.16,620,619
44059,Cantavieja,-0.70,709,714
44060,Cañada de Benatanduz,-7.69,36,39
44061,Cañada de Verich La,2.29,89,87
44062,Cañada Vellida,-11.42,31,35
44063,Cañizar del Olivar,2.04,100,98
44064,Cascante del Río,-5.63,67,71
44065,Castejón de Tornos,-3.22,60,62
44066,Castel de Cabra,-7.69,96,104
44067,Castelnou,-11.87,141,52
44068,Castelserás,-1.92,815,676
44070,Castellar El,11.53,58,160
44071,Castellote,0.73,681,831
44074,Cedrillas,5.39,664,630
44075,Celadas,-2.02,388,396
44076,Cella,-1.22,2574,2606
44077,Cerollera La,-7.00,93,100
44080,Codoñera La,-2.32,336,344
44082,Corbalán,-1.83,107,109
44084,Cortes de Aragón,0,61,61
44085,Cosa,-3.84,50,52
44086,Cretas,-0.70,567,571
44087,Crivillén,-8.82,62,68
44088,Cuba La,4.87,43,41
44089,Cubla,7.40,58,54
44090,Cucalón,-2.50,78,80
44092,Cuervo El,-9.30,78,86
44093,Cuevas de Almudén,3.27,126,122
44094,Cuevas Labradas,0.76,132,131
44096,Ejulve,-2.77,175,180
44097,Escorihuela,-2.15,136,139
44099,Escucha,-3.72,852,885
