cp,nombre,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
44036,Bea,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44037,Beceite,11,8,5,7,3,9,6,3,4,5,10,10,7,5,7,3,6,5,9,7,6,6,4,3,2,4,1,1,1,0,1,0,1,0,0,0
44039,Bello,4,2,6,9,2,1,2,2,5,3,3,2,4,4,2,3,2,10,5,7,8,4,4,1,1,2,3,1,1,3,1,1,0,0,0,0
44038,Belmonte de San José,4,1,1,4,2,3,6,1,5,2,2,0,3,0,0,2,1,2,3,1,1,0,0,1,1,0,1,1,0,2,1,0,0,0,0,0
44040,Berge,1,1,1,2,5,0,1,0,3,1,3,1,2,1,3,2,6,1,2,5,4,2,3,4,1,4,0,0,0,0,2,0,1,0,0,0
44041,Bezas,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1
44042,Blancas,3,0,1,2,2,3,1,2,1,2,2,4,3,1,3,1,4,5,1,0,3,0,2,0,1,1,2,0,1,0,0,0,0,0,0,0
44043,Blesa,5,1,0,1,2,0,4,1,2,2,1,0,4,1,0,2,4,2,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
44044,Bordón,0,0,1,1,2,2,1,1,3,0,1,1,2,0,2,0,3,1,3,1,1,2,0,3,1,1,0,0,2,0,0,0,0,0,0,0
44045,Bronchales,4,1,6,8,10,4,3,3,2,5,1,1,3,0,3,9,1,0,0,3,3,3,5,7,1,3,3,0,1,0,1,1,1,0,0,0
44046,Bueña,1,1,0,0,2,0,2,0,0,1,1,1,3,0,2,1,0,1,2,2,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0
44047,Burbáguena,3,5,2,4,2,6,2,1,5,3,4,7,2,3,3,4,7,3,4,2,8,6,6,7,7,7,3,2,3,2,5,2,0,1,4,1
44048,Cabra de Mora,0,0,0,0,0,1,0,1,1,0,1,2,1,0,0,0,2,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0
44049,Calaceite,18,13,14,10,14,16,17,17,12,14,8,8,12,9,9,11,9,14,14,9,5,15,6,12,17,10,6,6,1,5,4,3,1,0,2,0
44050,Calamocha,42,38,43,39,46,51,30,33,41,32,36,27,36,38,22,30,33,31,26,27,44,25,20,22,19,16,12,16,3,10,4,1,4,4,1,1
44051,Calanda,45,38,40,38,47,33,28,28,36,33,17,25,22,12,26,37,24,26,27,38,24,27,25,14,22,16,16,8,8,9,2,3,3,0,1,2
44052,Calomarde,2,0,0,2,2,1,0,2,1,2,2,2,2,0,0,1,1,1,3,1,0,2,0,1,2,0,0,0,1,0,0,0,0,0,1,0
44053,Camañas,0,0,3,2,2,0,1,0,3,1,1,1,4,0,1,4,2,0,2,1,2,1,2,2,0,1,1,0,0,1,0,0,0,0,0,0
44054,Camarena de la Sierra,1,2,2,2,2,1,1,1,0,2,2,0,1,0,0,0,4,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1
44055,Camarillas,0,0,2,3,0,2,1,0,1,0,2,3,0,1,3,0,0,2,1,1,2,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0
44056,Caminreal,7,6,9,5,7,6,6,6,7,8,4,12,7,5,5,12,7,8,10,8,8,12,3,7,6,2,5,1,2,1,1,1,1,0,0,2
44059,Cantavieja,10,14,9,9,8,10,7,6,5,5,6,3,7,3,2,7,6,14,3,7,2,3,5,5,1,1,1,5,1,1,3,0,0,0,1,0
44060,Cañada de Benatanduz,1,1,0,0,1,0,1,2,0,1,1,2,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44061,Cañada de Verich La,2,0,0,1,1,1,0,0,1,0,1,1,3,1,1,1,2,1,2,4,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
44062,Cañada Vellida,0,1,1,1,1,2,2,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
44063,Cañizar del Olivar,1,2,0,2,0,1,1,2,0,0,1,3,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
44064,Cascante del Río,1,0,0,4,2,1,1,5,2,2,0,2,3,0,2,2,1,0,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
44065,Castejón de Tornos,0,2,4,2,2,1,0,1,1,0,0,4,1,0,1,1,2,1,0,2,1,2,1,0,1,0,0,1,2,2,0,0,0,1,0,0
44066,Castel de Cabra,1,0,0,0,2,2,1,0,2,1,1,3,2,1,0,1,2,3,3,5,2,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0
44070,Castellar El,0,0,2,0,0,0,1,0,1,0,1,1,1,1,2,2,1,3,1,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
44071,Castellote,8,10,8,6,7,17,8,6,7,11,6,8,12,4,6,9,10,8,14,9,12,4,7,5,2,2,3,2,4,1,1,1,1,0,0,0
44067,Castelnou,2,1,1,1,1,1,0,2,2,0,1,1,0,2,1,0,3,3,3,3,2,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0
44068,Castelserás,16,7,7,12,9,17,14,7,11,6,10,9,8,1,6,5,6,8,8,12,5,5,5,7,6,9,3,0,7,5,2,0,0,1,0,1
44074,Cedrillas,9,4,6,5,5,6,4,4,6,9,7,5,3,1,5,7,5,5,4,6,8,7,9,2,4,3,1,2,1,1,1,0,0,0,0,0
44075,Celadas,4,1,1,6,3,4,4,5,4,3,0,5,4,3,5,9,3,5,4,5,8,3,4,2,1,5,2,4,3,1,4,0,0,0,1,0
44076,Cella,41,34,35,41,25,24,30,38,36,29,22,24,27,19,24,23,27,28,29,38,19,27,18,12,13,14,12,7,6,6,5,2,1,1,1,0
44077,Cerollera La,2,1,0,1,1,0,0,1,0,2,0,2,1,0,0,1,1,2,0,0,1,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0
44080,Codoñera La,1,2,3,4,3,3,4,5,3,1,1,1,5,2,2,4,6,5,12,6,5,6,3,5,3,5,0,5,0,0,0,4,1,0,0,1
44082,Corbalán,0,0,1,0,1,1,1,0,0,2,0,0,0,0,1,0,2,0,0,0,4,1,2,1,1,1,1,0,0,1,0,1,0,0,0,0
44084,Cortes de Aragón,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,0
44085,Cosa,0,0,0,1,1,0,0,1,2,2,2,0,6,1,0,3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
44086,Cretas,4,13,9,9,11,10,7,8,7,6,5,3,10,5,2,6,6,1,5,5,7,5,12,3,4,4,1,5,1,4,1,1,1,0,0,0
44087,Crivillén,1,1,0,2,3,0,2,0,3,3,0,0,1,1,2,0,1,4,0,0,0,1,1,0,2,0,1,3,1,2,1,0,1,0,2,5
44088,Cuba La,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44089,Cubla,0,0,0,0,1,0,1,0,1,1,0,2,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44090,Cucalón,0,1,1,1,2,4,0,1,2,1,0,2,2,2,0,1,1,0,2,2,1,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0
44092,Cuervo El,1,0,1,0,1,0,0,2,5,2,6,2,2,1,1,3,0,2,1,3,0,1,1,0,1,2,1,0,0,1,0,0,1,0,0,1
44093,Cuevas de Almudén,1,1,2,1,1,2,1,0,0,2,1,2,1,1,1,1,2,0,1,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0
44094,Cuevas Labradas,2,3,1,3,1,1,3,2,4,4,3,2,3,0,0,0,4,5,1,3,2,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0
44096,Ejulve,2,4,2,1,2,1,3,4,1,3,0,4,0,2,3,1,3,5,2,0,3,4,4,0,3,2,2,2,0,1,0,0,0,1,0,0
44097,Escorihuela,3,0,0,3,3,0,0,2,5,2,0,1,2,0,0,3,5,2,2,4,8,3,7,2,2,3,3,2,0,1,1,0,0,0,0,0
44099,Escucha,5,9,6,11,7,6,7,8,5,5,8,5,8,2,6,7,6,6,8,8,2,8,0,4,2,1,3,1,1,0,0,0,0,0,0,0
44100,Estercuel,6,3,3,1,3,2,1,1,1,3,1,3,1,0,4,3,1,1,2,3,2,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0
44101,Ferreruela de Huerva,2,3,0,1,0,0,2,0,1,0,2,0,0,2,0,1,0,4,2,1,1,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0
44102,Fonfría,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,2,0,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0
44103,Formiche Alto,1,1,2,3,2,1,0,3,1,1,3,3,3,2,2,2,3,2,2,3,4,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0
44105,Fórnoles,5,0,4,1,0,0,1,3,2,1,0,1,0,1,1,2,1,2,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
44106,Fortanete,2,0,4,1,2,3,1,1,1,2,3,2,4,0,1,1,3,2,2,3,4,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0
44107,Foz-Calanda,1,2,0,3,2,3,4,2,3,4,1,2,3,3,0,4,2,7,3,1,3,3,2,1,0,4,1,0,1,0,1,0,0,0,0,0
44108,Fresneda La,6,2,5,4,4,4,5,5,6,4,3,3,2,6,4,11,3,7,5,8,5,2,3,2,3,2,0,3,3,1,0,1,0,0,2,0
44109,Frías de Albarracín,2,0,2,2,1,2,0,1,3,0,1,1,4,0,0,2,0,1,0,1,1,2,3,1,2,1,2,2,0,0,0,0,0,0,0,0
44110,Fuenferrada,1,1,0,1,0,1,1,1,4,1,1,1,0,1,0,1,1,0,1,2,1,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0
44111,Fuentes Calientes,3,0,2,1,0,3,1,1,3,3,0,1,0,2,0,3,1,3,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
44112,Fuentes Claras,7,8,5,6,6,8,9,10,9,6,5,7,5,9,9,4,8,9,9,10,6,8,6,7,4,3,2,1,1,1,0,1,1,0,0,0
44113,Fuentes de Rubielos,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
44114,Fuentespalda,5,5,7,4,3,6,2,8,5,3,4,5,4,1,1,3,3,4,5,3,5,2,3,1,3,0,2,1,2,0,1,0,0,0,1,0
44115,Galve,0,0,0,1,1,0,3,1,2,0,2,0,3,2,3,1,3,2,1,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
44116,Gargallo,2,0,3,0,0,2,1,2,1,1,1,2,0,0,1,1,1,2,1,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0
44117,Gea de Albarracín,2,4,1,7,6,4,3,6,4,3,4,6,8,2,5,4,7,6,2,5,8,4,7,8,4,4,1,2,0,1,0,0,0,0,1,0
44118,Ginebrosa La,4,1,2,2,6,3,2,2,3,1,4,1,3,0,3,1,0,3,5,3,3,2,1,3,2,1,1,3,0,0,0,0,0,0,0,0
44119,Griegos,3,1,0,3,1,4,1,2,2,2,1,1,2,0,1,3,1,3,2,0,1,1,0,2,2,2,0,0,0,1,0,1,0,0,0,0
44120,Guadalaviar,4,3,4,1,3,4,4,1,2,1,3,1,4,1,2,4,3,0,2,1,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0
44121,Gúdar,0,0,0,0,1,2,0,1,2,0,1,0,1,1,1,0,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
44122,Híjar,29,19,14,12,21,23,11,28,15,16,15,8,22,11,15,14,19,17,16,18,18,18,11,19,13,8,9,6,5,2,4,3,2,1,1,2
44123,Hinojosa de Jarque,6,2,1,2,2,1,0,1,4,0,2,2,1,0,3,1,1,3,3,1,3,1,5,2,0,3,1,0,0,0,0,0,0,0,0,0
44124,Hoz de la Vieja La,1,1,2,2,1,2,4,0,1,3,1,0,3,1,0,2,0,0,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
