poblacion,poblacion65>
Ababuj,28
Abejuela,16
Aguatón,8
Aguaviva,176
Aguilar del Alfambra,30
Alacón,147
Alba,89
Albalate del Arzobispo,568
Albarracín,306
Albentosa,63
Alcaine,25
Alcalá de la Selva,109
Alcañiz,2765
Alcorisa,666
Alfambra,247
Aliaga,101
Almohaja,7
Alobras,30
Alpeñés,12
Allepuz,48
Alloza,217
Allueva,6
Anadón,6
Andorra,1401
Arcos de las Salinas,28
Arens de Lledó,76
Argente,92
Ariño,187
Azaila,60
Bádenas,10
Báguena,162
Bañón,81
Barrachina,50
Bea,9
Beceite,152
Belmonte de San José,51
Bello,126
Berge,71
Bezas,19
Blancas,57
Blesa,53
Bordón,42
Bronchales,109
Bueña,36
Burbáguena,166
Cabra de Mora,27
Calaceite,321
Calamocha,930
Calanda,798
Calomarde,38
Camañas,47
Camarena de la Sierra,37
Camarillas,34
Caminreal,235
Cantavieja,160
Cañada de Benatanduz,17
Cañada de Verich La,40
Cañada Vellida,18
Cañizar del Olivar,18
Cascante del Río,43
Castejón de Tornos,27
Castel de Cabra,57
Castelnou,39
Castelserás,235
Castellar El,29
Castellote,256
Cedrillas,133
Celadas,126
Cella,760
Cerollera La,37
Codoñera La,119
Corbalán,26
Cortes de Aragón,21
Cosa,36
Cretas,180
Crivillén,47
Cuba La,15
Cubla,20
Cucalón,36
Cuervo El,57
Cuevas de Almudén,25
Cuevas Labradas,55
Ejulve,73
Escorihuela,91
Escucha,171
Estercuel,59
Ferreruela de Huerva,30
Fonfría,19
Formiche Alto,61
Fórnoles,37
Fortanete,64
Foz-Calanda,74
Fresneda La,140
Frías de Albarracín,45
Fuenferrada,30
Fuentes Calientes,41
Fuentes Claras,222
Fuentes de Rubielos,19
Fuentespalda,96
Galve,52
Gargallo,34
Gea de Albarracín,150
Ginebrosa La,69
Griegos,41
Guadalaviar,62
Gúdar,21
Híjar,511
Hinojosa de Jarque,51
Hoz de la Vieja La,29
Huesa del Común,41
Iglesuela del Cid La,132
Jabaloyas,37
Jarque de la Val,39
Jatiel,17
Jorcas,19
Josa,12
Lagueruela,36
Lanzuela,7
Libros,71
Lidón,31
Linares de Mora,83
Loscos,79
Lledó,55
Maicas,14
Manzanera,133
Martín del Río,102
Mas de las Matas,407
Mata de los Olmos La,58
Mazaleón,167
Mezquita de Jarque,45
Mirambel,28
Miravete de la Sierra,16
Molinos,80
Monforte de Moyuela,29
Monreal del Campo,582
Monroyo,86
Montalbán,319
Monteagudo del Castillo,21
Monterde de Albarracín,32
Mora de Rubielos,314
Moscardón,21
Mosqueruela,191
Muniesa,247
Noguera de Albarracín,40
Nogueras,7
Nogueruelas,73
Obón,20
Odón,88
Ojos Negros,173
Olba,54
Oliete,182
Olmos Los,43
Orihuela del Tremedal,142
Orrios,53
Palomar de Arroyos,56
Pancrudo,51
Parras de Castellote Las,33
Peñarroya de Tastavins,127
Peracense,38
Peralejos,34
Perales del Alfambra,74
Pitarque,26
Plou,17
Pobo El,51
Portellada La,92
Pozondón,42
Pozuel del Campo,38
Puebla de Híjar La,303
Puebla de Valverde La,133
Puertomingalvo,40
Ráfales,49
Rillo,46
Riodeva,76
Ródenas,33
Royuela,79
Rubiales,13
Rubielos de la Cérida,23
Rubielos de Mora,157
Salcedillo,2
Saldón,13
Samper de Calanda,316
San Agustín,44
San Martín del Río,100
Santa Cruz de Nogueras,19
Santa Eulalia,383
Sarrión,239
Segura de los Baños,23
Seno,24
Singra,30
Terriente,57
Teruel,6230
Toril y Masegoso,10
Tormón,16
Tornos,96
Torralba de los Sisones,65
Torrecilla de Alcañiz,145
Torrecilla del Rebollar,57
Torre de Arcas,30
Torre de las Arcas,12
Torre del Compte,53
Torrelacárcel,106
Torre los Negros,35
Torremocha de Jiloca,64
Torres de Albarracín,53
Torrevelilla,71
Torrijas,24
Torrijo del Campo,171
Tramacastiel,37
Tramacastilla,48
Tronchón,31
Urrea de Gaén,180
Utrillas,530
Valacloche,13
Valbona,61
Valdealgorfa,212
Valdecuenca,13
Valdelinares,33
Valdeltormo,117
Valderrobres,473
Valjunquera,152
Vallecillo El,18
Veguillas de la Sierra,12
Villafranca del Campo,119
Villahermosa del Campo,22
Villanueva del Rebollar de la Sierra,19
Villar del Cobo,67
Villar del Salz,38
Villarluengo,42
Villarquemado,278
Villarroya de los Pinares,55
Villastar,95
Villel,106
Vinaceite,86
Visiedo,66
Vivel del Río Martín,44
Zoma La,11
