year,cp,name,population,mayor,menor
2022,22001,Abiego,278,26.61,10.79
2022,22002,Abizanda,151,26.49,12.58
2022,22003,Adahuesca,204,24.50,16.17
2022,22004,Agüero,145,37.93,6.20
2022,22907,Aínsa-Sobrarbe,2315,16.97,17.14
2022,22006,Aisa,339,24.77,6.48
2022,22007,Albalate de Cinca,1125,23.28,12.71
2022,22008,Albalatillo,204,33.33,9.31
2022,22009,Albelda,694,35.01,10.95
2022,22011,Albero Alto,117,26.49,11.96
2022,22012,Albero Bajo,134,25.37,14.17
2022,22013,Alberuela de Tubo,305,33.11,7.86
2022,22014,Alcalá de Gurrea,230,43.04,2.60
2022,22015,Alcalá del Obispo,374,34.75,8.55
2022,22016,Alcampell,623,42.05,8.18
2022,22017,Alcolea de Cinca,1160,24.48,12.58
2022,22018,Alcubierre,399,34.58,8.02
2022,22019,Alerre,213,30.98,9.38
2022,22021,Alfántega,124,36.29,6.45
2022,22021,Almudévar,2394,25.35,14.53
2022,22022,Almunia de San Juan,707,25.88,12.02
2022,22023,Almuniente,453,32.00,10.81
2022,22024,Alquézar,354,24.29,12.14
2022,22025,Altorricón,1416,24.36,12.78
2022,22027,Angüés,368,32.06,5.97
2022,22028,Ansó,406,34.72,9.11
2022,22029,Antillón,136,36.02,11.76
2022,22032,Aragüés del Puerto,117,31.62,6.83
2022,22035,Arén,318,30.50,8.80
2022,22036,Argavieso,126,34.12,13.49
2022,22037,Arguis,153,16.33,11.76
2022,22039,Ayerbe,1059,29.93,11.04
2022,22040,Azanuy-Alins,174,36.20,10.34
2022,22041,Azara,160,35.00,8.12
2022,22042,Azlor,148,29.05,14.18
2022,22043,Baélls,90,46.66,6.66
2022,22044,Bailo,273,29.67,8.79
2022,22045,Baldellou,79,32.91,2.53
2022,22046,Ballobar,864,30.20,11.11
2022,22047,Banastás,333,21.02,15.01
2022,22048,Barbastro,17214,21.15,15.46
2022,22049,Barbués,90,25.55,6.66
2022,22050,Barbuñales,98,44.89,4.08
2022,22051,Bárcabo,108,40.74,3.70
2022,22052,Belver de Cinca,1330,24.96,13.15
2022,22053,Benabarre,1175,29.70,14.04
2022,22054,Benasque,2282,12.26,14.37
2022,22246,Beranuy,72,44.44,4.16
2022,22055,Berbegal,335,29.25,4.47
2022,22057,Bielsa,480,25.41,10.41
2022,22058,Bierge,251,29.08,9.16
2022,22059,Biescas,1584,20.58,12.43
2022,22060,Binaced,1621,24.05,12.58
2022,22061,Binéfar,9927,19.62,15.73
2022,22062,Bisaurri,173,32.36,6.93
2022,22063,Biscarrués,193,34.19,3.10
2022,22064,Blecua y Torres,188,26.59,6.38
2022,22066,Boltaña,1097,18.77,12.76
