superficie
38.19
44.84
52.47
94.16
80.97
44.23
9.15
51.92
19.28
22.22
20.79
71.42
47.85
58
83.24
115.31
8.94
8.76
201.49
35.66
37.56
32.36
32.41
56.51
223.08
22.41
64.44
119.32
9
62.75
63.89
51.17
14.49
15.89
39.82
164.43
30.42
127.73
4.66
107
19.59
18.75
87.92
82.63
157.14
233
49.03
202.41
145.03
189.09
78.49
25
63.19
30.18
36
139.45
37.29
41.72
128
192.31
22.86
26.71
133.27
122.45
71.56
17
60.71
132.69
25.43
17.56
17.56
34.76
17.31
26.53
15.32
37.58
40.64
11
26
10.04
73
15.87
50.39
88.71
28.76
187
170.06
51.86
106.25
437.64
218.85
75
63.77
123.98
299.79
191.97
12.45
86.72
161.04
14.94
19.17
63.72
118.53
406.34
8
17.85
36.47
88.19
183
11.32
27.33
31.87
81.75
45.29
74.42
169.28
40.25
62
29.16
174
155.02
47.32
20.08
147.24
15.89
136.96
27.66
14.41
95
156
217.87
116.14
114.88
16
30.05
29.37
25.15
92.53
33.02
14.75
17.03
48.56
99.86
61.84
9.29
9.67
64
586.82
73.36
20.74
12.93
28.33
162.14
71
32.22
55.53
28.08
19.51
23.34
275.57
47.42
69
104.69
20.53
30.84
5.35
48.98
44.09
110.58
90.65
90.33
6.54
58.97
185.21
40.39
32.06
56.77
28.31
13.94
15.42
33
45.48
32.76
16.54
63.75
107.74
13.76
7.05
58.19
75.99
90.88
30.23
92.55
234.43
48.13
106.49
165.54
110.07
27
284.77
57.48
38.19
44.84
52.47
94.16
80.97
44.23
9.15
51.92
19.28
22.22
20.79
71.42
47.85
58
83.24
115.31
8.94
8.76
201.49
35.66
37.56
32.36
32.41
56.51
223.08
22.41
64.44
119.32
9
62.75
63.89
51.17
14.49
15.89
39.82
164.43
30.42
127.73
4.66
107
19.59
18.75
87.92
82.63
157.14
233
49.03
202.41
145.03
189.09
78.49
25
63.19
30.18
36
139.45
37.29
41.72
128
192.31
22.86
26.71
133.27
122.45
71.56
17
60.71
132.69
25.43
17.56
17.56
34.76
17.31
26.53
15.32
37.58
40.64
11
26
10.04
73
