porcentaje65
31.22
27.15
27.90
40.00
24.61
23.95
44.19
36.19
23.80
21.27
33.33
40.65
36.00
44.01
24.31
36.63
31.34
35.43
26.85
27.06
30.99
29.05
26.33
35.96
37.35
34.89
30.17
27.67
46.87
19.37
30.64
35.22
32.75
32.02
39.42
30.82
46.75
31.59
17.12
20.28
32.46
42.10
36.19
25.77
29.26
10.61
28.69
24.57
29.87
21.29
23.66
20.28
30.93
32.80
31.14
17.54
26.74
23.75
20.15
29.81
31.57
42.33
37.07
48.89
16.91
25.28
30.79
34.57
32.38
37.66
16.60
41.66
16.10
24.41
42.60
31.08
42.98
34.25
32.55
17.64
34.38
28.43
31.23
34.12
30.43
30.92
21.40
33.56
36.41
16.83
26.63
40.93
32.62
27.43
24.11
32.52
28.94
32.56
19.91
39.17
11.34
36.32
26.89
19.05
27.17
17.90
38.65
32.20
32.86
32.96
27.77
29.41
34.34
31.61
37.16
30.45
28.30
35.61
11.91
23.25
18.98
27.13
27.09
23.68
46.00
31.89
25.47
44.44
15.77
30.06
29.08
36.47
39.26
23.61
33.02
32.72
36.73
28.91
28.00
30.73
23.38
41.93
27.90
23.37
28.98
17.31
31.05
21.70
23.80
33.44
26.94
40.62
15.72
36.16
40.63
24.34
19.04
20.00
40.74
21.97
26.71
32.66
30.67
36.58
43.11
15.74
16.11
23.40
25.93
30.88
37.16
8.70
37.39
28.85
32.03
33.33
24.56
48.91
31.95
44.44
43.47
58.82
58.69
25.26
34.61
22.22
33.62
16.98
21.70
25.38
31.97
48.33
22.94
28.60
30.00
27.67
34.78
28.73
30.76
17.20
35.39
26.81
