cp,name,2018,2015,diferencia
44210, Sarrión,1133,1167,-2
44211, Segura de los Baños,39,40,-2
44212, Seno,39,43,-9
44213, Singra,80,80,0
44215, Terriente,183,178,2
44216, Teruel,35691,35590,0
44217, Toril y Masegoso,30,30,0
44218, Tormón,31,34,-8
44219, Tornos,213,235,-9
44220, Torralba de los Sisones,156,157,0
44223, Torre de Arcas,89,81,9
44224, Torre de las Arcas,28,29,-3
44225, Torre del Compte,132,137,-3
44227, Torre los Negros,88,90,-2
44221, Torrecilla de Alcañiz,423,407,3
44222, Torrecilla del Rebollar,127,144,-11
44226, Torrelacárcel,154,184,-16
44228, Torremocha de Jiloca,107,110,-2
44229, Torres de Albarracín,183,181,1
44230, Torrevelilla,189,200,-5
44231, Torrijas,38,45,-15
44232, Torrijo del Campo,447,489,-8
44234, Tramacastiel,64,75,-14
44235, Tramacastilla,106,107,0
44236, Tronchón,65,68,-4
44237, Urrea de Gaén,436,488,-10
44238, Utrillas,2970,3110,-4
44239, Valacloche,21,27,-22
44240, Valbona,174,193,-9
44241, Valdealgorfa,622,664,-6
44243, Valdecuenca,35,40,-12
44244, Valdelinares,87,85,2
44245, Valdeltormo,279,312,-10
44246, Valderrobres,2388,2342,1
44247, Valjunquera,325,358,-9
44249, Vallecillo El,48,60,-20
44250, Veguillas de la Sierra,20,22,-9
44251, Villafranca del Campo,297,299,0
44252, Villahermosa del Campo,94,103,-8
44256, Villanueva del Rebollar de la Sierra,47,51,-7
44257, Villar del Cobo,164,189,-13
44258, Villar del Salz,60,74,-18
44260, Villarluengo,177,189,-6
44261, Villarquemado,862,869,0
44262, Villarroya de los Pinares,160,163,-1
44263, Villastar,494,526,-6
44264, Villel,327,342,-4
44265, Vinaceite,249,262,-4
44266, Visiedo,125,133,-6
44267, Vivel del Río Martín,79,83,-4
44268, Zoma La,16,18,-11
