year,cp,name,population,superficie
1900,22001,Abiego,1383,38.19
1900,22002,Abizanda,463,44.84
1900,22003,Adahuesca,725,52.47
1900,22004,Agüero,1182,94.16
1900,22006,Aísa,733,80.97
1900,22007,Albalate de Cinca,1519,44.23
1900,22008,Albalatillo,464,9.15
1900,22009,Albelda,1213,51.92
1900,22011,Albero Alto,360,19.28
1900,22012,Albero Bajo,205,22.22
1900,22013,Alberuela de Tubo,238,20.79
1900,22014,Alcalá de Gurrea,638,71.42
1900,22015,Alcalá del Obispo,1328,47.85
1900,22016,Alcampell,1983,58
1900,22017,Alcolea de Cinca,2409,83.24
1900,22018,Alcubierre,1530,115.31
1900,22019,Alerre,227,8.94
1900,22020,Alfántega,309,8.76
1900,22021,Almudévar,2983,201.49
1900,22022,Almunia de San Juan,954,35.66
1900,22023,Almuniente,512,37.56
1900,22024,Alquézar,1313,32.36
1900,22025,Altorricón,532,32.41
1900,22027,Angüés,1912,56.51
1900,22028,Ansó,1549,223.08
1900,22029,Antillón,393,22.41
1900,22032,Aragüés del Puerto,546,64.44
1900,22035,Arén,2119,119.32
1900,22036,Argavieso,322,9
1900,22037,Arguis,570,62.75
1900,22039,Ayerbe,2609,63.89
1900,22040,Azanuy-Alins,1221,51.17
1900,22041,Azara,513,14.49
1900,22042,Azlor,537,15.89
1900,22043,Baélls,737,39.82
1900,22044,Bailo,1488,164.43
1900,22045,Baldellou,813,30.42
1900,22046,Ballobar,2333,127.73
1900,22047,Banastás,113,4.66
1900,22048,Barbastro,7301,107
1900,22049,Barbués,218,19.59
1900,22050,Barbuñales,425,18.75
1900,22051,Bárcabo,829,87.92
1900,22052,Belver de Cinca,1666,82.63
1900,22053,Benabarre,2887,157.14
1900,22054,Benasque,1598,233
1900,22055,Berbegal,1109,49.03
1900,22057,Bielsa,971,202.41
1900,22058,Bierge,1581,145.03
1900,22059,Biescas,3509,189.09
1900,22060,Binaced,1774,78.49
1900,22061,Binéfar,1556,25
1900,22062,Bisaurri,813,63.19
1900,22063,Biscarrués,810,30.18
1900,22064,Blecua y Torres,769,36
1900,22066,Boltaña,1926,139.45
1900,22067,Bonansa,421,37.29
1900,22068,Borau,460,41.72
1900,22069,Broto,1758,128
1900,22072,Caldearenas,1483,192.31
1900,22074,Campo,806,22.86
1900,22075,Camporrells,997,26.71
1900,22076,Canal de Berdún,2022,133.27
1900,22077,Candasnos,1063,122.45
1900,22078,Canfranc,770,71.56
1900,22079,Capdesaso,490,17
1900,22080,Capella,1008,60.71
1900,22081,Casbas de Huesca,2195,132.69
1900,22082,Castejón del Puente,621,25.43
1900,22083,Castejón de Monegros,1594,17.56
1900,22084,Castejón de Sos,813,17.56
1900,22085,Castelflorite,247,34.76
1900,22086,Castiello de Jaca,523,17.31
1900,22087,Castigaleu,266,26.53
1900,22088,Castillazuelo,757,15.32
1900,22089,Castillonroy,863,37.58
1900,22090,Colungo,702,40.64
1900,22094,Chalamera,427,11
1900,22095,Chía,602,26
1900,22096,Chimillas,189,10.04
1900,22099,Esplús,549,73
1900,22102,Estada,524,15.87
1900,22103,Estadilla,1752,50.39
1900,22105,Estopiñán del Castillo,1486,88.71
1900,22106,Fago,419,28.76
1900,22107,Fanlo,1065,187
1900,22109,Fiscal,2505,170.06
1900,22110,Fonz,2006,51.86
1900,22111,Foradada del Toscar,665,106.25
1900,22112,Fraga,6934,437.64
1900,22113,La Fueva,2691,218.85
1900,22114,Gistaín,444,75
1900,22115,El Grado,1605,63.77
1900,22116,Grañén,1431,123.98
1900,22117,Graus,6259,299.79
1900,22119,Gurrea de Gállego,1401,191.97
1900,22122,Hoz de Jaca,160,12.45
1900,22124,Huerto,970,86.72
1900,22125,Huesca,13683,161.04
1900,22126,Ibieca,417,14.94
1900,22127,Igriés,446,19.17
1900,22128,Ilche,720,63.72
1900,22129,Isábena,1246,118.53
1900,22130,Jaca,8964,406.34
1900,22131,Jasa,467,8
1900,22133,Labuerda,425,17.85
1900,22135,Laluenga,794,36.47
1900,22136,Lalueza,867,88.19
1900,22137,Lanaja,1839,183
1900,22139,Laperdiguera,369,11.32
1900,22141,Lascellas-Ponzano,996,27.33
1900,22142,Lascuarre,581,31.87
1900,22143,Laspaúles,1065,81.75
1900,22144,Laspuña,501,45.29
1900,22149,Loarre,1771,74.42
1900,22150,Loporzano,3139,169.28
1900,22151,Loscorrales,371,40.25
1900,22155,Monesma y Cajigar,513,62
1900,22156,Monflorite-Lascasas,452,29.16
1900,22157,Montanuy,1395,174
1900,22158,Monzón,5037,155.02
1900,22160,Naval,1550,47.32
1900,22162,Novales,400,20.08
1900,22163,Nueno,1249,147.24
1900,22164,Olvena,384,15.89
1900,22165,Ontiñena,1862,136.96
1900,22167,Osso de Cinca,728,27.66
1900,22168,Palo,288,14.41
1900,22170,Panticosa,889,95
1900,22172,Peñalba,1158,156
1900,22173,Las Peñas de Riglos,2226,217.87
1900,22174,Peralta de Alcofea,2207,116.14
1900,22175,Peralta de Calasanz,2404,114.88
1900,22176,Peraltilla,439,16
1900,22177,Perarrúa,689,30.05
1900,22178,Pertusa,705,29.37
1900,22181,Piracés,242,25.15
1900,22182,Plan,1124,92.53
1900,22184,Poleñino,512,33.02
1900,22186,Pozán de Vero,885,14.75
1900,22187,La Puebla de Castro,887,17.03
1900,22188,Puente de Montañana,822,48.56
1900,22189,Puértolas,1049,99.86
1900,22190,El Pueyo de Araguás,492,61.84
1900,22193,Pueyo de Santa Cruz,420,9.29
1900,22195,Quicena,259,9.67
1900,22197,Robres,1064,64
1900,22199,Sabiñánigo,4884,586.82
1900,22200,Sahún,871,73.36
1900,22201,Salas Altas,998,20.74
1900,22202,Salas Bajas,601,12.93
1900,22203,Salillas,367,28.33
1900,22204,Sallent de Gállego,1420,162.14
1900,22205,San Esteban de Litera,1532,71
1900,22206,Sangarrén,509,32.22
1900,22207,San Juan de Plan,361,55.53
