cp,nombre,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
22068,Borau,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
22069,Broto,4,7,2,5,3,2,6,4,2,4,1,5,3,5,3,4,11,3,8
22072,Caldearenas,4,1,1,0,1,2,1,3,1,0,3,0,0,0,0,1,2,3,0
22074,Campo,0,0,0,0,0,0,0,1,3,2,1,2,1,4,3,3,8,5,0
22075,Camporrélls,0,1,1,0,0,0,0,1,0,0,1,0,2,1,1,0,1,1,0
22076,Canal de Berdún,0,1,1,1,0,3,1,1,3,2,1,1,3,2,3,1,1,0,2
22077,Candasnos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22078,Canfranc,1,1,8,2,2,2,2,2,8,2,2,10,8,10,8,2,4,3,6
22079,Capdesaso,0,2,1,0,0,0,0,0,1,2,0,1,0,3,0,1,0,0,0
22080,Capella,2,2,1,1,5,2,3,2,5,3,2,1,2,0,2,2,5,4,3
22081,Casbas de Huesca,1,2,1,0,0,0,1,0,0,1,1,1,2,1,3,0,1,2,1
22082,Castejón del Puente,1,2,0,1,0,1,2,1,1,3,1,1,1,1,1,3,4,4,2
22083,Castejón de Monegros,2,4,1,1,1,7,2,2,0,4,2,1,2,3,4,2,6,1,4
22084,Castejón de Sos,2,3,5,3,7,12,6,8,8,12,7,9,7,11,11,10,10,8,9
22085,Castelflorite,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,0,1,0
22086,Castiello de Jaca,1,4,3,1,2,3,4,1,4,4,1,4,1,0,1,0,0,2,3
22087,Castigaleu,1,1,1,1,2,1,1,0,2,0,2,1,0,0,0,0,2,0,0
22088,Castillazuelo,1,0,0,0,0,0,2,1,1,0,1,1,4,0,3,0,3,1,2
22089,Castillonroy,0,5,1,3,1,0,2,0,1,3,2,3,3,1,0,1,3,2,2
22090,Colungo,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0
22094,Chalamera,0,1,0,1,0,0,0,1,2,1,2,1,0,1,0,1,3,0,0
22095,Chía,1,1,0,1,2,1,0,1,1,2,0,0,0,1,1,0,1,2,0
22096,Chimillas,2,2,3,1,2,4,7,13,3,4,5,3,2,4,5,4,4,4,3
22099,Esplús,0,0,2,5,3,6,6,2,3,2,1,1,3,5,2,3,3,6,5
22102,Estada,0,1,1,1,0,1,1,2,1,1,1,0,1,1,1,0,0,2,2
22103,Estadilla,5,4,6,4,5,7,4,5,4,8,6,7,4,8,2,4,5,7,4
22105,Estopiñán del Castillo,1,0,0,0,0,1,0,2,2,2,1,1,2,2,1,1,1,0,1
22106,Fago,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
22107,Fanlo,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22109,Fiscal,1,1,2,2,3,5,0,4,3,0,5,3,3,2,3,2,2,2,3
22110,Fonz,5,3,4,4,2,6,3,7,7,8,8,7,5,15,3,5,10,7,6
22111,Foradada del Toscar,0,0,0,0,1,0,1,2,1,0,0,3,0,0,0,3,2,0,0
22112,Fraga,167,168,160,155,184,173,167,152,168,170,181,152,145,155,164,150,141,146,148
22113,Fueva La,5,9,6,4,5,4,8,8,9,3,8,4,5,3,1,6,1,2,6
22114,Gistaín,1,2,2,2,1,0,0,3,0,1,2,1,0,2,3,0,0,0,0
22115,Grado El,5,2,3,2,2,2,5,3,2,0,7,0,0,1,2,0,2,4,2
22116,Grañén,7,12,10,6,11,17,18,11,13,13,11,14,9,11,10,16,6,11,15
22117,Graus,30,28,39,17,29,32,27,19,20,35,25,26,25,34,34,29,26,29,34
22119,Gurrea de Gállego,14,11,7,4,12,5,6,9,13,10,1,12,9,8,9,4,8,6,7
22122,Hoz de Jaca,0,0,0,0,0,0,0,1,0,2,0,2,1,2,0,1,1,1,0
22124,Huerto,1,2,2,2,1,0,1,1,4,1,0,1,0,2,1,2,0,3,1
22125,Huesca,458,471,511,495,587,565,564,545,567,595,560,565,522,554,537,536,553,528,521
22126,Ibieca,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,0,1
22127,Igriés,5,3,8,10,4,10,9,13,9,17,9,15,13,13,9,7,10,9,9
22128,Ilche,0,1,1,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,3
22129,Isábena,3,1,1,0,0,1,1,0,1,0,0,2,3,0,0,1,0,1,4
22130,Jaca,68,121,134,99,115,113,108,135,136,142,126,145,134,119,134,105,121,115,137
22131,Jasa,0,0,1,0,0,1,2,0,1,0,2,0,0,0,0,0,0,2,0
22133,Labuerda,0,1,1,0,2,1,0,1,2,2,2,1,1,3,1,0,1,1,2
22135,Laluenga,0,1,0,1,0,1,0,0,2,0,1,1,1,1,1,1,2,1,1
22136,Lalueza,4,2,8,5,5,1,3,4,5,0,7,8,4,6,5,10,6,6,6
22137,Lanaja,10,4,6,5,5,5,4,5,8,6,5,5,2,5,6,6,4,7,10
22139,Laperdiguera,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0
22141,Lascellas-Ponzano,1,0,2,0,2,0,0,0,2,0,1,1,1,2,1,0,2,1,1
22142,Lascuarre,1,3,1,2,2,2,3,2,1,0,0,2,1,1,0,1,0,0,1
22143,Laspaúles,0,2,0,0,1,1,2,1,0,1,0,1,4,3,1,0,1,0,1
22144,Laspuña,3,3,1,1,6,1,0,0,1,5,1,0,2,2,1,2,1,2,0
22149,Loarre,0,2,2,2,0,0,0,1,0,3,2,0,1,3,2,0,1,1,0
22150,Loporzano,3,3,2,4,0,1,5,5,4,2,5,2,4,2,4,3,3,0,0
22151,Loscorrales,1,1,2,0,1,0,0,3,2,0,1,0,0,1,0,1,0,0,1
22155,Monesma y Cajigar,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22156,Monflorite-Lascasas,3,10,5,3,7,4,3,5,8,5,2,4,7,1,2,8,0,2,2
22157,Montanuy,1,0,0,2,3,1,0,0,0,3,0,0,2,2,2,2,2,1,0
22158,Monzón,147,149,182,200,188,177,194,185,210,163,204,208,191,190,171,186,168,163,172
