cp,municipio,year,population
22001,Abiego,2020,258
22001,Abiego,2019,248
22001,Abiego,2018,237
22001,Abiego,2017,246
22001,Abiego,2016,247
22001,Abiego,2015,253
22001,Abiego,2014,267
22001,Abiego,2013,279
22001,Abiego,2012,277
22001,Abiego,2011,280
22001,Abiego,2010,281
22002,Abizanda,2020,139
22002,Abizanda,2019,150
22002,Abizanda,2018,151
22002,Abizanda,2017,156
22002,Abizanda,2016,142
22002,Abizanda,2015,142
22002,Abizanda,2014,140
22002,Abizanda,2013,143
22002,Abizanda,2012,136
22002,Abizanda,2011,139
22002,Abizanda,2010,132
22003,Adahuesca,2020,180
22003,Adahuesca,2019,177
22003,Adahuesca,2018,172
22003,Adahuesca,2017,172
22003,Adahuesca,2016,166
22003,Adahuesca,2015,173
22003,Adahuesca,2014,172
22003,Adahuesca,2013,176
22003,Adahuesca,2012,182
22003,Adahuesca,2011,176
22003,Adahuesca,2010,166
22004,Agüero,2020,125
22004,Agüero,2019,129
22004,Agüero,2018,130
22004,Agüero,2017,139
22004,Agüero,2016,141
22004,Agüero,2015,145
22004,Agüero,2014,150
22004,Agüero,2013,150
22004,Agüero,2012,159
22004,Agüero,2011,160
22004,Agüero,2010,164
22006,Aisa,2020,313
22006,Aisa,2019,320
22006,Aisa,2018,321
22006,Aisa,2017,331
22006,Aisa,2016,345
22006,Aisa,2015,358
22006,Aisa,2014,363
22006,Aisa,2013,364
22006,Aisa,2012,367
22006,Aisa,2011,379
22006,Aisa,2010,362
22007,Albalate de Cinca,2020,1099
22007,Albalate de Cinca,2019,1103
22007,Albalate de Cinca,2018,1102
22007,Albalate de Cinca,2017,1120
22007,Albalate de Cinca,2016,1147
22007,Albalate de Cinca,2015,1151
22007,Albalate de Cinca,2014,1201
22007,Albalate de Cinca,2013,1249
22007,Albalate de Cinca,2012,1251
22007,Albalate de Cinca,2011,1259
22007,Albalate de Cinca,2010,1237
22008,Albalatillo,2020,163
22008,Albalatillo,2019,176
22008,Albalatillo,2018,181
22008,Albalatillo,2017,187
22008,Albalatillo,2016,196
22008,Albalatillo,2015,205
22008,Albalatillo,2014,207
22008,Albalatillo,2013,209
22008,Albalatillo,2012,224
22008,Albalatillo,2011,237
22008,Albalatillo,2010,243
22009,Albelda,2020,708
22009,Albelda,2019,698
22009,Albelda,2018,721
22009,Albelda,2017,728
22009,Albelda,2016,735
22009,Albelda,2015,750
22009,Albelda,2014,762
22009,Albelda,2013,794
22009,Albelda,2012,810
22009,Albelda,2011,839
22009,Albelda,2010,847
22011,Albero Alto,2020,120
22011,Albero Alto,2019,117
22011,Albero Alto,2018,105
22011,Albero Alto,2017,114
22011,Albero Alto,2016,114
22011,Albero Alto,2015,124
22011,Albero Alto,2014,125
22011,Albero Alto,2013,123
22011,Albero Alto,2012,134
22011,Albero Alto,2011,134
22011,Albero Alto,2010,132
22012,Albero Bajo,2020,132
22012,Albero Bajo,2019,135
22012,Albero Bajo,2018,141
22012,Albero Bajo,2017,138
22012,Albero Bajo,2016,137
22012,Albero Bajo,2015,138
22012,Albero Bajo,2014,122
22012,Albero Bajo,2013,121
22012,Albero Bajo,2012,114
22012,Albero Bajo,2011,109
22012,Albero Bajo,2010,96
22013,Alberuela de Tubo,2020,290
22013,Alberuela de Tubo,2019,301
22013,Alberuela de Tubo,2018,309
22013,Alberuela de Tubo,2017,310
22013,Alberuela de Tubo,2016,315
22013,Alberuela de Tubo,2015,314
22013,Alberuela de Tubo,2014,327
22013,Alberuela de Tubo,2013,339
22013,Alberuela de Tubo,2012,348
22013,Alberuela de Tubo,2011,355
22013,Alberuela de Tubo,2010,355
22014,Alcalá de Gurrea,2020,239
22014,Alcalá de Gurrea,2019,248
22014,Alcalá de Gurrea,2018,246
22014,Alcalá de Gurrea,2017,267
22014,Alcalá de Gurrea,2016,266
22014,Alcalá de Gurrea,2015,273
22014,Alcalá de Gurrea,2014,277
22014,Alcalá de Gurrea,2013,277
22014,Alcalá de Gurrea,2012,285
22014,Alcalá de Gurrea,2011,275
22014,Alcalá de Gurrea,2010,278
22015,Alcalá del Obispo,2020,298
22015,Alcalá del Obispo,2019,318
22015,Alcalá del Obispo,2018,325
22015,Alcalá del Obispo,2017,332
22015,Alcalá del Obispo,2016,340
22015,Alcalá del Obispo,2015,342
22015,Alcalá del Obispo,2014,349
22015,Alcalá del Obispo,2013,354
22015,Alcalá del Obispo,2012,368
22015,Alcalá del Obispo,2011,411
22015,Alcalá del Obispo,2010,491
22016,Alcampell,2020,623
22016,Alcampell,2019,631
22016,Alcampell,2018,652
22016,Alcampell,2017,671
22016,Alcampell,2016,678
22016,Alcampell,2015,697
