population,year
34.372,1900
36.532,1910
37.440,1920
40.709,1930
40.089,1940
38.857,1950
33.548,1960
23.700,1970
18.470,1981
15.640,1991
13.653,2001
13.590,2011
12.267,2018
12.046,2019
34.372,
36.532,
37.440,
40.709,
40.089,
38.857,
33.548,
23.700,
18.470,
15.640,
13.653,
13.590,
12.267,
12.046,
