year,cp,name,population,mayor,menor
2018,22162,Novales,155,27.09,11.61
2018,22163,Nueno,532,23.68,18.79
2018,22164,Olvena,50,46.00,20.00
2018,22165,Ontiñena,533,31.89,9.94
2018,22167,Osso de Cinca,687,25.47,11.06
2018,22168,Palo,27,44.44,7.40
2018,22170,Panticosa,786,15.77,14.63
2018,22172,Peñalba,622,30.06,11.73
2018,22173,Peñas de Riglos Las,251,29.08,9.16
2018,22174,Peralta de Alcofea,562,36.47,8.71
2018,22175,Peralta de Calasanz,219,39.26,8.21
2018,22176,Peraltilla,199,23.61,11.55
2018,22177,Perarrúa,109,33.02,11.00
2018,22178,Pertusa,110,32.72,9.09
2018,22181,Piracés,98,36.73,10.20
2018,22182,Plan,287,28.91,15.33
2018,22184,Poleñino,200,28.00,10.00
2018,22186,Pozán de Vero,218,30.73,13.76
2018,22187,Puebla de Castro La,372,23.38,17.20
2018,22188,Puente de Montañana,93,41.93,6.45
2018,22189,Puértolas,215,27.90,12.55
2018,22190,Pueyo de Araguás El,154,23.37,20.77
2018,22193,Pueyo de Santa Cruz,314,28.98,13.05
2018,22195,Quicena,283,17.31,16.60
2018,22197,Robres,541,31.05,11.27
2018,22199,Sabiñánigo,9245,21.70,16.97
2018,22200,Sahún,294,23.80,16.32
2018,22201,Salas Altas,308,33.44,12.33
2018,22202,Salas Bajas,167,26.94,13.77
2018,22203,Salillas,96,40.62,7.29
2018,22204,Sallent de Gállego,1463,15.72,17.49
2018,22205,San Esteban de Litera,506,36.16,8.69
2018,22206,Sangarrén,219,40.63,6.39
2018,22207,San Juan de Plan,152,24.34,16.44
2018,22208,Santa Cilia,231,19.04,19.91
2018,22209,Santa Cruz de la Serós,180,20.00,11.66
2018,22212,Santaliestra y San Quílez,81,40.74,9.87
2018,22213,Sariñena,4168,21.97,16.69
2018,22214,Secastilla,146,26.71,11.64
2018,22215,Seira,150,32.66,7.33
2018,22217,Sena,489,30.67,12.47
2018,22218,Senés de Alcubierre,41,36.58,7.31
2018,22220,Sesa,167,43.11,6.58
2018,22221,Sesué,127,15.74,21.25
2018,22222,Siétamo,664,16.11,20.18
2018,22223,Sopeira,94,23.40,15.95
2018,22225,Tamarite de Litera,3528,25.93,16.29
2018,22226,Tardienta,952,30.88,14.81
2018,22227,Tella-Sin,226,37.16,6.19
2018,22228,Tierz,758,8.70,29.15
2018,22229,Tolva,123,37.39,6.50
2018,22230,Torla-Ordesa,298,28.85,7.38
2018,22232,Torralba de Aragón,103,32.03,7.76
2018,22233,Torre la Ribera,102,33.33,8.82
2018,22234,Torrente de Cinca,1148,24.56,10.71
2018,22235,Torres de Alcanadre,92,48.91,0
2018,22236,Torres de Barbués,266,31.95,5.26
2018,22239,Tramaced,99,44.44,7.07
2018,22242,Valfarta,69,43.47,7.24
2018,22243,Valle de Bardají,34,58.82,0
2018,22244,Valle de Lierp,46,58.69,6.52
2018,22245,Velilla de Cinca,463,25.26,17.06
2018,22246,Beranuy,78,34.61,8.97
2018,22247,Viacamp y Litera,36,22.22,5.55
2018,22248,Vicién,116,33.62,7.75
2018,22249,Villanova,159,16.98,25.15
2018,22250,Villanúa,447,21.70,13.87
2018,22251,Villanueva de Sigena,394,25.38,9.89
2018,22252,Yebra de Basa,147,31.97,12.24
2018,22253,Yésero,60,48.33,3.33
2018,22254,Zaidín,1774,22.94,14.93
2018,22901,Valle de Hecho,839,28.60,11.44
2018,22902,Puente la Reina de Jaca,260,30.00,13.84
2018,22903,San Miguel del Cinca,813,27.67,15.62
2018,22904,Sotonera La,894,34.78,10.62
2018,22905,Lupiñén-Ortilla,341,28.73,14.07
2018,22906,Santa María de Dulcis,208,30.76,11.05
2018,22907,Aínsa-Sobrarbe,2151,17.20,18.78
2018,22908,Hoz y Costean,226,35.39,10.61
2018,22909,Vencillón,399,26.81,19.04
