year,cp,name,population,select,menor,mayor
1900,22068,Borau,460,Borau,6.25,23.75
1900,22069,Broto,1758,Broto,15.44,20.15
1900,22072,Caldearenas,1483,Caldearenas,10.55,29.81
1900,22074,Campo,806,Campo,10.21,31.57
1900,22075,Camporrells,997,Camporrells,7.29,42.33
1900,22076,Canal de Berdún,2022,Canal de Berdún,8.41,37.07
1900,22077,Candasnos,1063,Candasnos,0,48.89
1900,22078,Canfranc,770,Canfranc,15.60,16.91
1900,22079,Capdesaso,490,Capdesaso,6.32,25.28
1900,22080,Capella,1008,Capella,13.27,30.79
1900,22081,Casbas de Huesca,2195,Casbas de Huesca,6.69,34.57
1900,22082,Castejón del Puente,621,Castejón del Puente,9.52,32.38
1900,22083,Castejón de Monegros,1594,Castejón de Monegros,9.22,37.66
1900,22084,Castejón de Sos,813,Castejón de Sos,19.65,16.60
1900,22085,Castelflorite,247,Castelflorite,6.48,41.66
1900,22086,Castiello de Jaca,523,Castiello de Jaca,14.60,16.10
1900,22087,Castigaleu,266,Castigaleu,17.44,24.41
1900,22088,Castillazuelo,757,Castillazuelo,11.83,42.60
1900,22089,Castillonroy,863,Castillonroy,10.57,31.08
1900,22090,Colungo,702,Colungo,5.26,42.98
1900,22094,Chalamera,427,Chalamera,12.96,34.25
1900,22095,Chía,602,Chía,17.44,32.55
1900,22096,Chimillas,189,Chimillas,19.18,17.64
1900,22099,Esplús,549,Esplús,10.72,34.38
1900,22102,Estada,524,Estada,8.33,28.43
1900,22103,Estadilla,1752,Estadilla,12.46,31.23
1900,22105,Estopiñán del Castillo,1486,Estopiñán del Castillo,14.28,34.12
1900,22106,Fago,419,Fago,13.04,30.43
1900,22107,Fanlo,1065,Fanlo,2.06,30.92
1900,22109,Fiscal,2505,Fiscal,14.06,21.40
1900,22110,Fonz,2006,Fonz,13.21,33.56
1900,22111,Foradada del Toscar,665,Foradada del Toscar,7.51,36.41
1900,22112,Fraga,6934,Fraga,20.33,16.83
1900,22113,Fueva La,2691,Fueva La,16.24,26.63
1900,22114,Gistaín,444,Gistaín,13.42,40.93
1900,22115,Grado El,1605,Grado El,10.32,32.62
1900,22116,Grañén,1431,Grañén,12.60,27.43
1900,22117,Graus,6259,Graus,16.27,24.11
1900,22119,Gurrea de Gállego,1401,Gurrea de Gállego,10.50,32.52
1900,22122,Hoz de Jaca,160,Hoz de Jaca,14.47,28.94
1900,22124,Huerto,970,Huerto,11.46,32.56
1900,22125,Huesca,13683,Huesca,19.50,19.91
1900,22126,Ibieca,417,Ibieca,7.21,39.17
1900,22127,Igriés,446,Igriés,25.81,11.34
1900,22128,Ilche,720,Ilche,6.13,36.32
1900,22129,Isábena,1246,Isábena,7.98,26.89
1900,22130,Jaca,8964,Jaca,18.00,19.05
1900,22131,Jasa,467,Jasa,9.78,27.17
1900,22133,Labuerda,425,Labuerda,13.58,17.90
1900,22135,Laluenga,794,Laluenga,7.73,38.65
1900,22136,Lalueza,867,Lalueza,10.40,32.20
1900,22137,Lanaja,1839,Lanaja,8.98,32.86
1900,22139,Laperdiguera,369,Laperdiguera,7.69,32.96
1900,22141,Lascellas-Ponzano,996,Lascellas-Ponzano,13.49,27.77
1900,22142,Lascuarre,581,Lascuarre,16.91,29.41
1900,22143,Laspaúles,1065,Laspaúles,8.26,34.34
1900,22144,Laspuña,501,Laspuña,10.99,31.61
1900,22149,Loarre,1771,Loarre,6.04,37.16
1900,22150,Loporzano,3139,Loporzano,9.96,30.45
1900,22151,Loscorrales,371,Loscorrales,13.20,28.30
1900,22155,Monesma y Cajigar,513,Monesma y Cajigar,2.73,35.61
1900,22156,Monflorite-Lascasas,452,Monflorite-Lascasas,20.09,11.91
1900,22157,Montanuy,1395,Montanuy,9.76,23.25
1900,22158,Monzón,5037,Monzón,20.20,18.98
1900,22160,Naval,1550,Naval,13.75,27.13
1900,22162,Novales,400,Novales,11.61,27.09
1900,22163,Nueno,1249,Nueno,18.79,23.68
1900,22164,Olvena,384,Olvena,20.00,46.00
1900,22165,Ontiñena,1862,Ontiñena,9.94,31.89
1900,22167,Osso de Cinca,728,Osso de Cinca,11.06,25.47
1900,22168,Palo,288,Palo,7.40,44.44
1900,22170,Panticosa,889,Panticosa,14.63,15.77
1900,22172,Peñalba,1158,Peñalba,11.73,30.06
1900,22173,Peñas de Riglos Las,2226,Peñas de Riglos Las,9.16,29.08
